magnitudes	WG_SW_6
NODE_A8_length_33517_cov_30.916477_S25	25018
NODE_A9_length_31300_cov_32.230535_S25	25378
NODE_A10_length_28537_cov_28.863387_S25	20348
NODE_A11_length_24583_cov_72.297519_S25	43880
NODE_B4_length_18996_cov_14.510334_S25	58279
NODE_B5_length_17739_cov_615.067490_S25	3184258
NODE_A17_length_15349_cov_1246.287323_S25	533489
NODE_A19_length_15062_cov_28.649183_S25	9383
NODE_A21_length_13840_cov_26.133183_S25	9048
NODE_A23_length_11707_cov_24.108255_S25	7066
NODE_B20_length_5342_cov_5.711681_S25	6309
NODE_A46_length_3453_cov_71.112263_S25	3647
NODE_A54_length_2772_cov_60.997774_S25	4029
NODE_A59_length_2593_cov_27.287758_S25	1760
NODE_B88_length_1851_cov_4.777339_S25	1327
NODE_B118_length_1465_cov_171.773775_S25	25038
NODE_A137_length_1434_cov_40.438467_S25	1181
NODE_A178_length_1222_cov_13.122271_S25	1798
NODE_A201_length_1152_cov_33.056744_S25	870
NODE_C54_length_1094_cov_16.325467_S25	17216
NODE_A248_length_1022_cov_75.717460_S25	1943
NODE_C86_length_771_cov_7.987032_S25	5196
NODE_A503_length_728_cov_707.809524_S25	5581
NODE_C141_length_516_cov_1.826879_S25	359
NODE_C6_length_4416_cov_3.602673_S26	12969
NODE_B114_length_914_cov_8.101553_S26	950
NODE_C56_length_650_cov_1.513089_S26	423
NODE_A4_length_2806_cov_29365.524368_S27	146181
NODE_B107_length_661_cov_5.794521_S27	689
NODE_A1970_length_531_cov_14.887665_S27	698
NODE_B25_length_3329_cov_10.238007_S30	7476
NODE_A2758_length_1442_cov_64.180220_S30	2138
NODE_B324_length_1146_cov_24.715622_S30	982
NODE_B1851_length_608_cov_3.261770_S30	919
NODE_A31_length_3555_cov_1627.451409_S32	3709
NODE_C168_length_639_cov_2.179715_S32	1698
NODE_A13_length_9134_cov_156.869604_S33	17227
NODE_A30_length_4099_cov_533.389110_S33	7669
NODE_A36_length_3440_cov_31.095748_S33	2082
NODE_B225_length_548_cov_0.738854_S33	726
NODE_A150_length_1248_cov_28.818958_S34	2139
NODE_B89_length_704_cov_2.194577_S34	808
NODE_A10_length_4273_cov_21.369161_S3	6332
NODE_A255_length_974_cov_6.739130_S37	1369
NODE_A376_length_842_cov_35.700654_S37	906
NODE_A983_length_593_cov_328.742248_S37	874
NODE_C60_length_535_cov_52.443231_S37	998
NODE_B21_length_2487_cov_130.466805_S38	2760
NODE_A15_length_4855_cov_27.221641_S39	9198
NODE_A41_length_1991_cov_7.110240_S41	2656
NODE_B160_length_616_cov_12.790353_S41	417
NODE_A1062_length_531_cov_2005.469163_S41	863
NODE_A27_length_3481_cov_93.207109_S42	5371
NODE_B9_length_6821_cov_15.918001_S43	29283
NODE_B11_length_4948_cov_10.112913_S43	9421
NODE_A10_length_4679_cov_70.244024_S44	21799
NODE_B12_length_4427_cov_19.298161_S44	3699
NODE_B14_length_4245_cov_7.104367_S44	20363
NODE_A47_length_2406_cov_21.644483_S44	7517
NODE_C49_length_634_cov_9.766607_S44	1013
NODE_A5432_length_500_cov_3.406619_S44	328
NODE_A18_length_2423_cov_29.320119_S4	3354
NODE_A2_length_29617_cov_204.370379_S45	526312
NODE_B4_length_7232_cov_30.231307_S45	47555
NODE_A10_length_4745_cov_282.483290_S45	12791
NODE_B7_length_3443_cov_18.106061_S45	13027
NODE_A14_length_4051_cov_55.716910_S47	4089
NODE_A308_length_938_cov_132.658537_S47	2205
NODE_C75_length_530_cov_2.013245_S47	464
NODE_A121_length_2008_cov_205.500259_S49	2687
NODE_B79_length_1546_cov_302.064670_S49	2269
NODE_A2_length_16366_cov_68.635644_S6	2854175
NODE_B5_length_5275_cov_16.018661_S6	16810
NODE_A18_length_3128_cov_39.531629_S6	2921
NODE_A800_length_873_cov_514.888191_S6	3445
NODE_A889_length_834_cov_1742.047556_S6	726
NODE_B111_length_1410_cov_6.499625_S7	1230
NODE_B698_length_768_cov_65.464544_S7	839
NODE_C26_length_765_cov_9.020349_S7	752
NODE_B4_length_11953_cov_123.444847_S8	14253
NODE_B28_length_4100_cov_419.037037_S8	4998
NODE_B31_length_3912_cov_103.067275_S8	5764
NODE_C33_length_1962_cov_65.005836_S8	3504
NODE_C23_length_602_cov_674.215238_S9	40872
NODE_B362_length_566_cov_10.361963_S9	562
