magnitudes	WG_SW_6
NODE_A1757_length_534_cov_14.929978_S22	1995
NODE_A4982_length_519_cov_1.463801_S44	615
NODE_A5050_length_515_cov_23.543379_S44	1034
NODE_A2171_length_555_cov_103.161088_S4	2064
NODE_A941_length_1131_cov_11.314991_S10	2858
NODE_A5785_length_621_cov_6.704044_S10	590
NODE_B9_length_2604_cov_11.339137_S14	2559
NODE_A294_length_1914_cov_22.870441_S14	1586
NODE_A1654_length_1069_cov_12.252016_S14	931
NODE_A10_length_3617_cov_26.400000_S1	12023
NODE_B2_length_2621_cov_699.047956_S1	164275
NODE_A244_length_1033_cov_202.735356_S1	1847
NODE_A352_length_895_cov_388.638142_S1	1810
NODE_A436_length_833_cov_265.755291_S1	3989
NODE_A494_length_797_cov_1135.662500_S1	623
NODE_A753_length_658_cov_36.900172_S1	511
NODE_B157_length_640_cov_1.310835_S1	391
NODE_A68_length_3120_cov_676.889911_S16	4065
NODE_A15_length_4994_cov_9189.904007_S17	181736
NODE_B8_length_4011_cov_5.051347_S17	23684
NODE_A89_length_1543_cov_40.897681_S17	1521
NODE_B86_length_863_cov_68.325700_S17	695
NODE_A999_length_616_cov_6.313544_S17	491
NODE_A1231_length_559_cov_64.029046_S17	558
NODE_A1386_length_530_cov_359.044150_S17	466
NODE_A1479_length_515_cov_406.739726_S17	12101
NODE_B1_length_64575_cov_138.535489_S19	563369
NODE_A139_length_1559_cov_146.941970_S19	2967
NODE_B187_length_792_cov_124.485315_S19	61270
NODE_A1_length_80211_cov_145.945529_S20	49593
NODE_A37_length_4120_cov_357.620826_S20	3497
NODE_C2_length_3895_cov_4.936092_S20	5726
NODE_B52_length_2833_cov_8.209361_S20	14638
NODE_C17_length_1765_cov_2.888626_S20	1502
NODE_A723_length_526_cov_18.670379_S20	627
NODE_A162_length_1308_cov_1004.818846_S21	1257
NODE_A724_length_848_cov_672.041505_S21	1323
NODE_A950_length_785_cov_800.841808_S21	3480
NODE_A1100_length_749_cov_2161.334821_S21	3579
NODE_B548_length_647_cov_4.787719_S21	674
NODE_B10_length_7015_cov_26.363361_S22	12278
NODE_B539_length_515_cov_6.582192_S22	792
NODE_A3_length_21412_cov_74.714554_S23	66359
NODE_B7_length_4755_cov_3.915348_S23	8635
NODE_A1170_length_507_cov_16.065116_S23	9090
NODE_A394_length_940_cov_25.622248_S24	570
NODE_A634_length_795_cov_2649.444290_S24	512
NODE_A761_length_747_cov_137.786567_S24	881
NODE_A1547_length_585_cov_1958.177165_S24	885
NODE_A1624_length_575_cov_5482.096386_S24	4537
NODE_A46_length_3884_cov_149.199632_S2	18587
NODE_C16_length_1684_cov_14.721220_S2	1134
NODE_B286_length_718_cov_2.939158_S2	3825
NODE_A1_length_91689_cov_29.658407_S25	57151
NODE_A3_length_55471_cov_63.532260_S25	74634
NODE_A4_length_53535_cov_664.961184_S25	895956
NODE_A6_length_40594_cov_95.137843_S25	95908
NODE_A7_length_40013_cov_28.039463_S25	27407
