magnitudes	Swill6_5
NODE_A759_length_1134_cov_22.716178_S12	888
NODE_A785_length_1123_cov_17.911090_S12	1156
NODE_B135_length_1114_cov_2.153327_S12	1077
NODE_A811_length_1111_cov_26.316248_S12	1072
NODE_A828_length_1104_cov_8.701071_S12	807
NODE_B141_length_1100_cov_3.566960_S12	2667
NODE_A853_length_1092_cov_15.677833_S12	2365
NODE_B148_length_1088_cov_4.228487_S12	1156
NODE_B151_length_1085_cov_4.200397_S12	2944
NODE_A897_length_1078_cov_16.911089_S12	748
NODE_B157_length_1067_cov_3.493939_S12	1536
NODE_B159_length_1064_cov_8.901722_S12	1118
NODE_A958_length_1056_cov_14.628192_S12	1162
NODE_B166_length_1054_cov_2.916070_S12	1209
NODE_A1008_length_1042_cov_15.111917_S12	1361
NODE_B172_length_1042_cov_14.582383_S12	4825
NODE_A1025_length_1039_cov_26.577963_S12	1113
NODE_A1126_length_1013_cov_89.198718_S12	1846
NODE_A1147_length_1008_cov_11.240602_S12	825
NODE_A1211_length_995_cov_16.771242_S12	827
NODE_A1223_length_993_cov_12.247817_S12	658
NODE_A1232_length_992_cov_18.377049_S12	641
NODE_A1257_length_988_cov_48.176729_S12	1217
NODE_A1279_length_984_cov_14.176406_S12	578
NODE_A1289_length_982_cov_36.772376_S12	784
NODE_A1368_length_965_cov_13.543919_S12	622
NODE_A1416_length_956_cov_6.370876_S12	952
NODE_A1446_length_951_cov_21.183066_S12	639
NODE_A1500_length_941_cov_17.002315_S12	1034
NODE_A1595_length_925_cov_11.909198_S12	581
NODE_A1626_length_921_cov_29.690758_S12	2530
NODE_A1629_length_920_cov_34.113879_S12	649
NODE_A1647_length_917_cov_23.201190_S12	598
NODE_A1731_length_906_cov_18.469240_S12	582
NODE_A1750_length_904_cov_12.655381_S12	902
NODE_A1783_length_900_cov_21.855407_S12	1196
NODE_B255_length_895_cov_14.825183_S12	1417
NODE_A1845_length_893_cov_7.071078_S12	826
NODE_A1855_length_891_cov_14.523342_S12	669
NODE_A1878_length_887_cov_79.985185_S12	1316
NODE_B261_length_887_cov_2.771605_S12	806
NODE_A1936_length_880_cov_21.292653_S12	781
NODE_A1954_length_878_cov_35.300874_S12	623
NODE_A1965_length_877_cov_25.375000_S12	2206
NODE_A1988_length_874_cov_12.260979_S12	806
NODE_A2006_length_872_cov_36.095597_S12	892
NODE_B277_length_871_cov_7.673804_S12	5668
NODE_B279_length_867_cov_0.993671_S12	627
NODE_A2060_length_866_cov_74.325729_S12	1620
NODE_A2073_length_865_cov_8.478426_S12	850
NODE_A2089_length_863_cov_21.828244_S12	1089
NODE_B284_length_861_cov_2.669643_S12	1344
NODE_A2141_length_858_cov_67.702945_S12	791
NODE_A2244_length_848_cov_14.430610_S12	816
NODE_C39_length_846_cov_2.271782_S12	2527
NODE_A2291_length_843_cov_35.177546_S12	752
NODE_B299_length_843_cov_8.624021_S12	4335
NODE_B302_length_841_cov_2.421466_S12	1610
NODE_A2325_length_839_cov_12.216535_S12	746
NODE_A2377_length_834_cov_19.335535_S12	739
NODE_A2387_length_833_cov_116.116402_S12	1028
NODE_B314_length_831_cov_2.011936_S12	2184
NODE_A2568_length_817_cov_14.685135_S12	618
NODE_B334_length_813_cov_4.786685_S12	856
NODE_A2658_length_810_cov_9.231924_S12	704
NODE_A2689_length_808_cov_25.478796_S12	752
NODE_A2810_length_800_cov_7.250346_S12	603
NODE_A2918_length_792_cov_8.958042_S12	521
NODE_A2958_length_789_cov_53.460674_S12	1741
NODE_A2960_length_789_cov_9.200843_S12	658
NODE_A3057_length_782_cov_49.110638_S12	884
NODE_B386_length_772_cov_3.389928_S12	607
NODE_A3247_length_770_cov_16.927850_S12	510
NODE_A3307_length_766_cov_11.175617_S12	602
NODE_B396_length_764_cov_4.879185_S12	976
NODE_C46_length_761_cov_1.099415_S12	613
NODE_A3412_length_759_cov_28.892962_S12	998
NODE_A3553_length_752_cov_83.029630_S12	889
NODE_A3736_length_741_cov_21.396084_S12	7280
NODE_A3752_length_740_cov_10.597285_S12	499
NODE_A3772_length_739_cov_4.891239_S12	744
NODE_A3832_length_735_cov_24.986322_S12	602
NODE_A3928_length_730_cov_9.289433_S12	439
NODE_A3963_length_728_cov_82.262673_S12	4236
NODE_A4056_length_724_cov_6.208655_S12	811
NODE_B476_length_722_cov_3.744186_S12	1275
NODE_B479_length_721_cov_8.346273_S12	6673
NODE_B481_length_719_cov_7.552960_S12	1479
NODE_A4222_length_715_cov_13.242947_S12	510
NODE_A4228_length_715_cov_7.686520_S12	1578
NODE_B492_length_714_cov_5.558870_S12	1089
NODE_A4341_length_710_cov_93.812006_S12	1788
NODE_A4679_length_695_cov_9.962783_S12	479
NODE_A4805_length_690_cov_12.747145_S12	1205
NODE_A4882_length_687_cov_7.773770_S12	1130
NODE_A4921_length_685_cov_12.738487_S12	638
NODE_A5021_length_681_cov_128.284768_S12	958
NODE_A5045_length_680_cov_17.529022_S12	437
NODE_C53_length_680_cov_1.726368_S12	1314
NODE_A5068_length_679_cov_16.117940_S12	649
NODE_A5091_length_678_cov_36.615641_S12	3269
NODE_A5092_length_678_cov_15.712146_S12	727
NODE_A5126_length_677_cov_8.191667_S12	863
NODE_A5180_length_675_cov_6.640468_S12	526
NODE_A5223_length_673_cov_21.657718_S12	663
NODE_A5272_length_671_cov_10.208754_S12	467
NODE_A5346_length_668_cov_12.358714_S12	566
NODE_A5347_length_668_cov_10.318105_S12	1679
NODE_A5377_length_667_cov_27.701695_S12	990
NODE_B614_length_663_cov_4.851536_S12	875
NODE_B618_length_661_cov_3.904110_S12	1863
NODE_A5571_length_660_cov_12.485420_S12	1187
NODE_A5600_length_659_cov_82.024055_S12	2234
NODE_A5601_length_659_cov_44.740550_S12	518
NODE_A5602_length_659_cov_24.520619_S12	466
NODE_A5680_length_656_cov_10.055268_S12	462
NODE_A5747_length_654_cov_5.748700_S12	695
NODE_A5760_length_654_cov_3.863085_S12	588
NODE_A5854_length_650_cov_14.767888_S12	7754
NODE_A5874_length_650_cov_4.663176_S12	516
NODE_A5953_length_647_cov_14.664912_S12	479
NODE_A6080_length_643_cov_5.234982_S12	659
NODE_A6104_length_642_cov_6.398230_S12	501
NODE_A6226_length_638_cov_48.331551_S12	483
NODE_B706_length_638_cov_3.297683_S12	1077
NODE_C63_length_632_cov_1.129730_S12	1879
NODE_A6539_length_629_cov_53.255435_S12	710
NODE_A6675_length_625_cov_46.405109_S12	1036
NODE_B759_length_625_cov_1.394161_S12	585
NODE_A6742_length_623_cov_28.390110_S12	2946
NODE_A6775_length_622_cov_12.728440_S12	645
NODE_A6827_length_621_cov_7.141544_S12	432
NODE_A6864_length_620_cov_11.979742_S12	1228
NODE_B774_length_620_cov_2.856354_S12	447
NODE_A6917_length_619_cov_4.166052_S12	523
NODE_A6944_length_618_cov_4.622921_S12	445
NODE_A7046_length_615_cov_15.656134_S12	878
NODE_A7071_length_615_cov_4.557621_S12	709
NODE_A7092_length_614_cov_23.374302_S12	713
NODE_A7157_length_613_cov_2.363806_S12	429
NODE_B801_length_612_cov_8.835514_S12	1515
NODE_A7246_length_610_cov_10.215760_S12	471
NODE_B818_length_609_cov_3.847744_S12	996
NODE_A7320_length_608_cov_335.216573_S12	2292
NODE_A7358_length_607_cov_18.741509_S12	592
NODE_B836_length_605_cov_1.827652_S12	1160
