magnitudes	WF_CF_4
NODE_C80_length_1161_cov_15.488007_S32	7612
NODE_C93_length_1035_cov_9.545929_S32	3190
NODE_A312_length_844_cov_154.932203_S32	704
NODE_A422_length_683_cov_154.437294_S32	702
NODE_A13_length_9134_cov_156.869604_S33	6082
NODE_A1180_length_554_cov_10.098532_S37	1298
NODE_A266_length_2862_cov_65.347935_S38	35060
NODE_B21_length_2487_cov_130.466805_S38	3351
NODE_A15_length_4855_cov_27.221641_S39	7930
NODE_A6_length_15806_cov_1153.172738_S40	280520
NODE_B3_length_12473_cov_8.996773_S40	16557
NODE_A79_length_1933_cov_10.656250_S40	7302
NODE_A498_length_599_cov_2.044061_S40	1945
NODE_B135_length_579_cov_0.852590_S40	2879
NODE_A579_length_548_cov_2.868365_S40	577
NODE_A41_length_1991_cov_7.110240_S41	1309
NODE_A20_length_4708_cov_13.752969_S42	36831
NODE_A51_length_2110_cov_15.900639_S42	13860
NODE_A174_length_909_cov_64.402644_S42	5456
NODE_A183_length_882_cov_11.175155_S42	723
NODE_B9_length_6821_cov_15.918001_S43	22523
NODE_B11_length_4948_cov_10.112913_S43	7121
NODE_A44_length_3177_cov_14.599032_S43	21193
NODE_A86_length_2333_cov_14.579344_S43	5706
NODE_A235_length_1119_cov_18.617083_S43	2009
NODE_A468_length_659_cov_11.993127_S43	518
NODE_A717_length_509_cov_7.877315_S43	2335
NODE_A10_length_4679_cov_70.244024_S44	18378
NODE_B14_length_4245_cov_7.104367_S44	18360
NODE_A47_length_2406_cov_21.644483_S44	2508
NODE_A694_length_1077_cov_13.365000_S44	985
NODE_A18_length_2423_cov_29.320119_S4	32416
NODE_A2_length_29617_cov_204.370379_S45	82143
NODE_B4_length_7232_cov_30.231307_S45	16345
NODE_A10_length_4745_cov_282.483290_S45	6410
NODE_B1_length_21906_cov_24.206606_S47	138590
NODE_A145_length_1229_cov_22.995660_S47	15304
NODE_A469_length_800_cov_11.752420_S47	1644
NODE_A16_length_7507_cov_37.624226_S49	5538
NODE_A18_length_6969_cov_50.529019_S49	11854
NODE_A23_length_5972_cov_23.976590_S49	4631
NODE_B19_length_5208_cov_19.729098_S49	10352
NODE_A41_length_4004_cov_34.929972_S49	4207
NODE_A45_length_3830_cov_129.232614_S49	6867
NODE_A52_length_3550_cov_23.718111_S49	2473
NODE_C11_length_2695_cov_3.423224_S49	11316
NODE_A121_length_2008_cov_205.500259_S49	1936
NODE_A128_length_1981_cov_473.805147_S49	8660
NODE_C31_length_1622_cov_1.686731_S49	1431
NODE_A189_length_1583_cov_41.280876_S49	1983
NODE_B79_length_1546_cov_302.064670_S49	18891
NODE_C97_length_967_cov_2.582022_S49	1730
NODE_A384_length_904_cov_90.713422_S49	1631
NODE_C118_length_844_cov_3.405476_S49	4324
NODE_A422_length_829_cov_49.708777_S49	904
NODE_A439_length_801_cov_55.969613_S49	691
NODE_A580_length_638_cov_144.764706_S49	2808
NODE_C188_length_586_cov_1.017682_S49	716
NODE_A18_length_3128_cov_39.531629_S6	7322
NODE_A191_length_1442_cov_15.389744_S6	3358
NODE_A4168_length_580_cov_5.085487_S7	1945
NODE_B1_length_19281_cov_194.391898_S8	109343
NODE_B4_length_11953_cov_123.444847_S8	30781
NODE_A11_length_10470_cov_198.994034_S8	10000
NODE_B8_length_8311_cov_47.404299_S8	7361
NODE_A15_length_7966_cov_760.431233_S8	8465
NODE_C4_length_7184_cov_17.621078_S8	27899
NODE_A19_length_6823_cov_911.523125_S8	18746
NODE_C6_length_6694_cov_17.998640_S8	28496
NODE_A23_length_5886_cov_297.933379_S8	9787
NODE_B15_length_5822_cov_357.496084_S8	31001
NODE_B23_length_4949_cov_72.752463_S8	6632
NODE_C12_length_4731_cov_19.807263_S8	30757
NODE_A32_length_4230_cov_1897.624127_S8	11765
NODE_A34_length_4138_cov_777.526718_S8	23294
NODE_B28_length_4100_cov_419.037037_S8	27546
NODE_B31_length_3912_cov_103.067275_S8	4890
NODE_A36_length_3825_cov_473.363927_S8	6818
NODE_A40_length_3590_cov_3355.681753_S8	46206
NODE_B43_length_2884_cov_59.073032_S8	2274
NODE_C19_length_2794_cov_22.307324_S8	16878
NODE_C22_length_2471_cov_23.953634_S8	13982
NODE_A71_length_2315_cov_3791.689902_S8	31307
NODE_B61_length_2274_cov_10.475193_S8	13938
NODE_A73_length_2226_cov_440.534667_S8	1654
NODE_B67_length_2172_cov_80.489737_S8	1451
NODE_C30_length_2006_cov_31.861586_S8	29510
NODE_A84_length_2005_cov_618.715768_S8	5615
NODE_B77_length_1989_cov_89.466527_S8	1675
NODE_C33_length_1962_cov_65.005836_S8	11944
NODE_A92_length_1858_cov_12.286356_S8	6861
NODE_B89_length_1776_cov_124.466157_S8	6143
NODE_B102_length_1569_cov_17.355228_S8	1085
NODE_A122_length_1542_cov_80.156997_S8	1057
NODE_A214_length_1090_cov_210.854886_S8	2992
NODE_A237_length_993_cov_316.245633_S8	1415
NODE_B215_length_798_cov_219.090153_S8	5456
NODE_C146_length_713_cov_4.055031_S8	2115
NODE_A391_length_703_cov_58.388179_S8	856
