magnitudes	PMG_SW_5
NODE_A262_length_1150_cov_30.858341_S21	688
NODE_A271_length_1136_cov_48.066100_S21	1086
NODE_A272_length_1135_cov_37.963138_S21	934
NODE_A280_length_1126_cov_40.822688_S21	900
NODE_A291_length_1110_cov_38.875121_S21	844
NODE_A312_length_1092_cov_52.554680_S21	1187
NODE_A318_length_1085_cov_31.713294_S21	649
NODE_A324_length_1078_cov_47.036963_S21	1123
NODE_B83_length_1064_cov_2.597771_S21	805
NODE_A345_length_1053_cov_25.571721_S21	615
NODE_A362_length_1040_cov_104.188993_S21	2480
NODE_A369_length_1032_cov_57.940314_S21	1212
NODE_A383_length_1020_cov_42.076352_S21	688
NODE_B102_length_1009_cov_4.263948_S21	966
NODE_A403_length_1000_cov_73.248104_S21	1567
NODE_A404_length_1000_cov_30.065005_S21	625
NODE_A410_length_996_cov_95.845484_S21	2122
NODE_A427_length_987_cov_40.487912_S21	796
NODE_A476_length_960_cov_30.919592_S21	535
NODE_A477_length_960_cov_30.787089_S21	562
NODE_A479_length_958_cov_33.634506_S21	612
NODE_B126_length_956_cov_4.849829_S21	921
NODE_A484_length_953_cov_29.867580_S21	535
NODE_A491_length_949_cov_40.721330_S21	844
NODE_A493_length_948_cov_27.881745_S21	553
NODE_A499_length_946_cov_43.118527_S21	809
NODE_A508_length_942_cov_36.952601_S21	665
NODE_B139_length_934_cov_5.092182_S21	621
NODE_A548_length_926_cov_29.842167_S21	541
NODE_A562_length_918_cov_36.799049_S21	757
NODE_A564_length_918_cov_27.208086_S21	748
NODE_A570_length_916_cov_28.245530_S21	509
NODE_A575_length_912_cov_33.234731_S21	630
NODE_A583_length_907_cov_40.060241_S21	753
NODE_A588_length_905_cov_53.788647_S21	1137
NODE_A599_length_899_cov_33.419708_S21	593
NODE_A606_length_897_cov_32.247561_S21	634
NODE_A618_length_891_cov_320.457002_S21	3980
NODE_B165_length_886_cov_3.883807_S21	652
NODE_A639_length_881_cov_43.064677_S21	799
NODE_A646_length_877_cov_34.556250_S21	610
NODE_A653_length_874_cov_49.062735_S21	903
NODE_A675_length_868_cov_52.520860_S21	857
NODE_A690_length_862_cov_33.002548_S21	632
NODE_A701_length_857_cov_38.211538_S21	613
NODE_A709_length_855_cov_55.659383_S21	967
NODE_A718_length_850_cov_32.564036_S21	562
NODE_A724_length_848_cov_672.041505_S21	11892
NODE_A730_length_846_cov_39.777633_S21	629
NODE_A739_length_842_cov_27.626144_S21	487
NODE_A741_length_841_cov_28.308901_S21	503
NODE_A757_length_836_cov_35.807642_S21	559
NODE_A760_length_835_cov_77.175462_S21	951
NODE_A782_length_829_cov_37.593085_S21	596
NODE_A783_length_829_cov_37.244681_S21	621
NODE_A787_length_828_cov_29.849534_S21	480
NODE_A799_length_826_cov_66.891856_S21	1276
NODE_B233_length_824_cov_4.052209_S21	638
NODE_A805_length_823_cov_40.837802_S21	649
NODE_A809_length_822_cov_55.632215_S21	884
NODE_A817_length_819_cov_408.281671_S21	7502
NODE_A818_length_819_cov_237.039084_S21	5310
NODE_A827_length_817_cov_46.578378_S21	727
NODE_A832_length_816_cov_48.293640_S21	791
NODE_A840_length_814_cov_31.245590_S21	540
NODE_A847_length_812_cov_35.068027_S21	531
NODE_A848_length_812_cov_30.095238_S21	520
NODE_A857_length_810_cov_37.092769_S21	692
NODE_A871_length_806_cov_31.363512_S21	488
NODE_A878_length_804_cov_73.514443_S21	1119
NODE_A879_length_804_cov_54.321871_S21	930
NODE_A888_length_801_cov_38.244475_S21	633
NODE_A889_length_801_cov_34.969613_S21	647
NODE_A906_length_797_cov_28.766667_S21	489
NODE_A950_length_785_cov_800.841808_S21	46321
NODE_A951_length_785_cov_36.752825_S21	1015
NODE_A952_length_785_cov_31.148305_S21	634
NODE_A953_length_785_cov_29.536723_S21	481
NODE_A982_length_778_cov_27.697575_S21	512
NODE_A1001_length_773_cov_29.616379_S21	440
NODE_A1004_length_772_cov_41.994245_S21	639
NODE_A1007_length_771_cov_37.041787_S21	575
NODE_A1032_length_766_cov_34.982583_S21	549
NODE_A1036_length_764_cov_40.296943_S21	583
NODE_A1040_length_763_cov_57.170554_S21	924
NODE_A1041_length_763_cov_30.395044_S21	430
NODE_A1045_length_762_cov_35.119708_S21	506
NODE_A1051_length_761_cov_31.461988_S21	501
NODE_A1052_length_760_cov_35.915081_S21	545
NODE_A1053_length_760_cov_32.273792_S21	507
NODE_A1054_length_760_cov_31.269400_S21	485
NODE_A1077_length_755_cov_34.094395_S21	457
NODE_A1100_length_749_cov_2161.334821_S21	37289
NODE_A1119_length_745_cov_29.449102_S21	469
NODE_A1124_length_744_cov_28.059970_S21	487
NODE_A1127_length_743_cov_36.241742_S21	558
NODE_A1136_length_741_cov_38.852410_S21	521
NODE_A1137_length_741_cov_18.149096_S21	643
NODE_A1201_length_727_cov_40.806154_S21	582
NODE_A1210_length_726_cov_59.382126_S21	810
NODE_A1221_length_724_cov_36.967543_S21	522
NODE_A1224_length_724_cov_19.746522_S21	509
NODE_A1247_length_720_cov_31.127527_S21	451
NODE_A1265_length_715_cov_33.349530_S21	476
NODE_A1275_length_714_cov_33.624804_S21	474
NODE_A1285_length_712_cov_45.297638_S21	763
NODE_A1296_length_710_cov_53.729858_S21	741
NODE_A1320_length_705_cov_63.378981_S21	873
NODE_A1325_length_703_cov_74.099042_S21	1021
NODE_A1336_length_701_cov_35.216346_S21	515
NODE_A1359_length_696_cov_59.361874_S21	819
NODE_A1398_length_689_cov_28.557190_S21	401
NODE_B448_length_688_cov_5.885434_S21	598
NODE_A1410_length_687_cov_63.954098_S21	859
NODE_A1411_length_687_cov_62.077049_S21	882
NODE_A1417_length_686_cov_32.088670_S21	435
NODE_A1421_length_685_cov_29.685855_S21	393
NODE_B462_length_683_cov_3.194719_S21	422
NODE_A1469_length_678_cov_36.181364_S21	449
NODE_A1489_length_675_cov_80.526756_S21	1167
NODE_A1490_length_675_cov_33.357860_S21	451
NODE_A1502_length_674_cov_36.268007_S21	522
NODE_A1515_length_672_cov_35.578151_S21	468
NODE_A1530_length_670_cov_55.000000_S21	683
NODE_A1619_length_659_cov_41.120275_S21	571
NODE_A1626_length_657_cov_35.018966_S21	447
NODE_A1658_length_653_cov_30.409722_S21	390
NODE_A1662_length_652_cov_29.440000_S21	406
NODE_A1671_length_651_cov_32.742160_S21	423
NODE_A1678_length_650_cov_259.626527_S21	3895
NODE_A1680_length_650_cov_39.146597_S21	471
NODE_A1681_length_650_cov_30.453752_S21	391
NODE_B544_length_650_cov_2.837696_S21	416
NODE_A1691_length_649_cov_36.856643_S21	430
NODE_B548_length_647_cov_4.787719_S21	1446
NODE_B558_length_645_cov_5.686620_S21	762
NODE_A1747_length_642_cov_37.458407_S21	421
NODE_B574_length_638_cov_3.477718_S21	533
NODE_A1785_length_636_cov_34.286225_S21	429
NODE_A1786_length_636_cov_31.196780_S21	360
NODE_A1810_length_632_cov_36.225225_S21	477
NODE_A1821_length_631_cov_27.332130_S21	452
NODE_A1844_length_629_cov_36.898551_S21	443
NODE_A1845_length_629_cov_29.481884_S21	447
NODE_A1865_length_627_cov_47.085455_S21	567
NODE_A1866_length_627_cov_35.232727_S21	399
NODE_A1880_length_626_cov_39.240437_S21	439
NODE_A1887_length_625_cov_47.000000_S21	553
NODE_A1914_length_622_cov_36.414679_S21	366
NODE_A1931_length_619_cov_31.701107_S21	358
NODE_A1944_length_617_cov_58.607407_S21	584
NODE_A1945_length_617_cov_38.138889_S21	460
NODE_A1946_length_617_cov_32.916667_S21	368
NODE_A2019_length_609_cov_46.866541_S21	571
NODE_A2029_length_608_cov_45.069680_S21	544
NODE_B668_length_608_cov_3.495292_S21	375
NODE_A2044_length_606_cov_30.442344_S21	352
NODE_A2057_length_605_cov_103.738636_S21	1173
NODE_A2058_length_605_cov_32.314394_S21	438
NODE_A2068_length_604_cov_51.305503_S21	653
NODE_A2069_length_604_cov_39.204934_S21	452
NODE_A2079_length_602_cov_30.028571_S21	368
NODE_A2114_length_598_cov_81.798464_S21	1035
NODE_A2116_length_598_cov_29.589251_S21	342
NODE_B700_length_598_cov_3.923225_S21	382
NODE_A2126_length_597_cov_32.573077_S21	398
NODE_B711_length_595_cov_5.003861_S21	636
NODE_B713_length_594_cov_2.617021_S21	367
NODE_A2160_length_593_cov_33.798450_S21	383
NODE_A2174_length_592_cov_52.819417_S21	393
NODE_A2187_length_591_cov_42.620623_S21	439
NODE_A2205_length_589_cov_45.558594_S21	586
NODE_A2215_length_588_cov_55.446184_S21	585
NODE_A2233_length_587_cov_36.315686_S21	428
NODE_A2242_length_586_cov_22.133595_S21	339
NODE_A2250_length_585_cov_30.799213_S21	345
NODE_A2267_length_583_cov_39.901186_S21	443
NODE_B756_length_582_cov_1.687129_S21	589
NODE_A2279_length_581_cov_80.902778_S21	980
NODE_A2281_length_581_cov_32.371032_S21	382
