magnitudes	WF_CF_6
NODE_A1757_length_534_cov_14.929978_S22	1299
NODE_A378_length_798_cov_9.447989_S27	685
NODE_A4982_length_519_cov_1.463801_S44	434
NODE_A5050_length_515_cov_23.543379_S44	349
NODE_A2171_length_555_cov_103.161088_S4	887
NODE_A444_length_1404_cov_5.184627_S10	7344
NODE_A950_length_1129_cov_8.316540_S10	10252
NODE_B9_length_2604_cov_11.339137_S14	1898
NODE_A10_length_3617_cov_26.400000_S1	10941
NODE_B1_length_64575_cov_138.535489_S19	3192025
NODE_A3_length_45619_cov_251.714988_S19	388868
NODE_A55_length_2675_cov_30.923788_S19	2213
NODE_B27_length_5270_cov_7.320046_S20	12856
NODE_B54_length_2709_cov_27.568769_S20	2143
NODE_C78_length_785_cov_1.645480_S2	1196
NODE_B5_length_17739_cov_615.067490_S25	84089
NODE_A46_length_3453_cov_71.112263_S25	2291
NODE_A178_length_1222_cov_13.122271_S25	1471
NODE_B1_length_48305_cov_699.897238_S26	1380065
NODE_A2_length_39889_cov_5484.805963_S26	892017
NODE_A34_length_4586_cov_246.226436_S26	2975
NODE_C6_length_4416_cov_3.602673_S26	3221
NODE_A66_length_2665_cov_173.583076_S26	1869
NODE_B38_length_2160_cov_262.644263_S26	24958
NODE_A524_length_616_cov_504.493506_S26	636
NODE_B107_length_661_cov_5.794521_S27	561
NODE_B75_length_1903_cov_5.745345_S30	2898
NODE_B364_length_1097_cov_3.920588_S30	5397
NODE_B12_length_6656_cov_72.437301_S32	25912
NODE_A29_length_3746_cov_711.250750_S32	8959
NODE_A31_length_3555_cov_1627.451409_S32	6062
NODE_A50_length_2655_cov_490.545384_S32	17863
NODE_B38_length_2317_cov_17.955357_S32	19266
NODE_C80_length_1161_cov_15.488007_S32	1784
NODE_A488_length_609_cov_22.313910_S32	463
NODE_A13_length_9134_cov_156.869604_S33	5983
NODE_B225_length_548_cov_0.738854_S33	449
NODE_A150_length_1248_cov_28.818958_S34	1878
NODE_A255_length_974_cov_6.739130_S37	1459
NODE_A15_length_4855_cov_27.221641_S39	3572
NODE_A6_length_15806_cov_1153.172738_S40	141420
NODE_B3_length_12473_cov_8.996773_S40	219028
NODE_A79_length_1933_cov_10.656250_S40	7115
NODE_A27_length_3481_cov_93.207109_S42	3637
NODE_B3_length_36478_cov_9.655889_S43	95548
NODE_A11_length_9568_cov_42.053735_S43	9443
NODE_B9_length_6821_cov_15.918001_S43	21357
NODE_B11_length_4948_cov_10.112913_S43	5048
NODE_A10_length_4679_cov_70.244024_S44	8949
NODE_B14_length_4245_cov_7.104367_S44	8740
NODE_C49_length_634_cov_9.766607_S44	551
NODE_A2_length_29617_cov_204.370379_S45	55246
NODE_B4_length_7232_cov_30.231307_S45	4953
NODE_C75_length_530_cov_2.013245_S47	425
NODE_B19_length_5208_cov_19.729098_S49	3916
NODE_B79_length_1546_cov_302.064670_S49	1243
NODE_A2_length_16366_cov_68.635644_S6	64352
NODE_B8_length_8311_cov_47.404299_S8	17735
NODE_A15_length_7966_cov_760.431233_S8	13485
NODE_C4_length_7184_cov_17.621078_S8	63927
NODE_B23_length_4949_cov_72.752463_S8	10044
NODE_A32_length_4230_cov_1897.624127_S8	28024
NODE_B61_length_2274_cov_10.475193_S8	12748
NODE_B67_length_2172_cov_80.489737_S8	16854
NODE_A92_length_1858_cov_12.286356_S8	9697
