magnitudes	MMG_CF_4
NODE_A941_length_1131_cov_11.314991_S10	4369
NODE_A3816_length_718_cov_405.985959_S10	539
NODE_A5785_length_621_cov_6.704044_S10	931
NODE_B1_length_2920_cov_116.735842_S1	2857
NODE_B2_length_2621_cov_699.047956_S1	3720
NODE_B157_length_640_cov_1.310835_S1	7748
NODE_B23_length_3837_cov_11.337766_S16	62180
NODE_A67_length_3149_cov_84.606445_S16	18066
NODE_A68_length_3120_cov_676.889911_S16	105779
NODE_A83_length_2800_cov_57.193904_S16	14230
NODE_A89_length_2677_cov_27.272692_S16	5769
NODE_A485_length_867_cov_17.702532_S16	1757
NODE_C137_length_509_cov_0.787037_S16	757
NODE_A15_length_4994_cov_9189.904007_S17	8134
NODE_B8_length_4011_cov_5.051347_S17	19509
NODE_A999_length_616_cov_6.313544_S17	5956
NODE_B1_length_64575_cov_138.535489_S19	165076
NODE_A3_length_45619_cov_251.714988_S19	44065
NODE_A24_length_4492_cov_20.686976_S19	25319
NODE_A54_length_2686_cov_150.871215_S19	41772
NODE_B33_length_2586_cov_6.601036_S19	79307
NODE_A139_length_1559_cov_146.941970_S19	8654
NODE_B187_length_792_cov_124.485315_S19	4354
NODE_A5_length_18546_cov_100.977313_S20	122110
NODE_B24_length_5416_cov_15.873010_S20	226660
NODE_B27_length_5270_cov_7.320046_S20	31973
NODE_A34_length_4192_cov_346.607047_S20	115667
NODE_A37_length_4120_cov_357.620826_S20	118510
NODE_B34_length_4025_cov_15.176039_S20	34891
NODE_C2_length_3895_cov_4.936092_S20	156878
NODE_B37_length_3872_cov_8.868248_S20	17315
NODE_A42_length_3665_cov_61.397993_S20	16292
NODE_B43_length_3260_cov_23.618599_S20	75922
NODE_A55_length_3151_cov_21.711451_S20	4589
NODE_A68_length_2842_cov_6.064738_S20	3514
NODE_B52_length_2833_cov_8.209361_S20	9936
NODE_B54_length_2709_cov_27.568769_S20	89018
NODE_A91_length_2379_cov_20.665508_S20	1648
NODE_A95_length_2322_cov_30.954566_S20	4885
NODE_B72_length_2080_cov_16.048427_S20	66369
NODE_B74_length_2031_cov_7.225691_S20	22084
NODE_A121_length_1913_cov_101.602397_S20	25297
NODE_B83_length_1837_cov_6.729545_S20	10295
NODE_B85_length_1792_cov_10.883965_S20	10034
NODE_C17_length_1765_cov_2.888626_S20	31521
NODE_A146_length_1717_cov_34.041463_S20	1201
NODE_A153_length_1680_cov_34.559576_S20	6308
NODE_A212_length_1307_cov_92.869919_S20	3091
NODE_C39_length_1280_cov_4.975894_S20	77727
NODE_A238_length_1166_cov_28.303030_S20	1909
NODE_B148_length_1044_cov_11.117890_S20	17391
NODE_A328_length_917_cov_145.719048_S20	11497
NODE_A399_length_790_cov_13.120617_S20	916
NODE_A427_length_748_cov_17.307004_S20	2566
NODE_B243_length_684_cov_1.215815_S20	660
NODE_C234_length_581_cov_1.386905_S20	3959
NODE_A950_length_785_cov_800.841808_S21	1373
NODE_A1100_length_749_cov_2161.334821_S21	1475
NODE_B10_length_7015_cov_26.363361_S22	40305
NODE_A442_length_959_cov_5.556689_S22	7058
NODE_A3_length_21412_cov_74.714554_S23	124569
NODE_B7_length_4755_cov_3.915348_S23	13651
NODE_A1300_length_622_cov_4.506422_S24	5383
NODE_A46_length_3884_cov_149.199632_S2	43789
NODE_A68_length_2930_cov_42.017876_S2	12419
NODE_C8_length_2927_cov_8.227368_S2	35083
NODE_A87_length_2528_cov_137.552428_S2	23012
NODE_A100_length_2321_cov_283.680927_S2	13518
NODE_C16_length_1684_cov_14.721220_S2	98645
NODE_A172_length_1667_cov_32.291824_S2	2069
NODE_A185_length_1608_cov_45.141737_S2	7747
NODE_B116_length_1248_cov_5.852263_S2	6903
NODE_A304_length_1055_cov_82.377301_S2	1586
NODE_C78_length_785_cov_1.645480_S2	5451
NODE_C86_length_729_cov_2.365031_S2	1069
NODE_B286_length_718_cov_2.939158_S2	1932
NODE_B319_length_643_cov_3.022968_S2	1326
NODE_C119_length_604_cov_1.561670_S2	2222
NODE_C129_length_586_cov_1.155206_S2	9170
NODE_B4_length_18996_cov_14.510334_S25	56136
NODE_B5_length_17739_cov_615.067490_S25	37092
NODE_A29_length_8384_cov_45.376430_S25	498527
NODE_A46_length_3453_cov_71.112263_S25	7705
NODE_B84_length_1901_cov_4.039474_S25	42046
NODE_B118_length_1465_cov_171.773775_S25	3725
NODE_C54_length_1094_cov_16.325467_S25	7600
NODE_A248_length_1022_cov_75.717460_S25	958
NODE_C86_length_771_cov_7.987032_S25	18217
NODE_A503_length_728_cov_707.809524_S25	605
NODE_A2_length_39889_cov_5484.805963_S26	263224
NODE_A7_length_13399_cov_30.329380_S26	164484
NODE_A28_length_5614_cov_28.531876_S26	5351
NODE_A30_length_5070_cov_31.432606_S26	3973
NODE_A34_length_4586_cov_246.226436_S26	14379
NODE_A35_length_4423_cov_31.806719_S26	148527
NODE_C6_length_4416_cov_3.602673_S26	11212
NODE_A60_length_2840_cov_48.030040_S26	79499
NODE_B30_length_2499_cov_2.662675_S26	3405
NODE_B38_length_2160_cov_262.644263_S26	22719
NODE_B39_length_2110_cov_4.878997_S26	47440
NODE_A97_length_2093_cov_6.542659_S26	14127
NODE_A137_length_1754_cov_14.763864_S26	1344
NODE_A152_length_1629_cov_17.713273_S26	20260
NODE_B67_length_1365_cov_3.705745_S26	8425
NODE_A252_length_1095_cov_17.788802_S26	7699
NODE_B100_length_1006_cov_2.438105_S26	14752
NODE_A322_length_908_cov_9.580024_S26	2683
NODE_B115_length_907_cov_2.213253_S26	4895
NODE_A486_length_656_cov_12.155440_S26	6315
NODE_C56_length_650_cov_1.513089_S26	2989
NODE_A552_length_593_cov_3.726744_S26	3472
NODE_A3_length_19677_cov_37.362653_S30	113907
NODE_A26_length_9796_cov_54.297150_S30	158806
NODE_A68_length_6867_cov_56.467010_S30	440442
NODE_B20_length_3532_cov_7.643126_S30	179156
NODE_B25_length_3329_cov_10.238007_S30	100786
NODE_A401_length_3279_cov_91.173954_S30	182641
NODE_A454_length_3108_cov_50.450346_S30	29683
NODE_A511_length_2944_cov_99.553540_S30	61252
NODE_B75_length_1903_cov_5.745345_S30	54019
NODE_B84_length_1809_cov_5.096998_S30	24521
NODE_A1709_length_1786_cov_55.874195_S30	10675
NODE_B104_length_1675_cov_4.186483_S30	4391
NODE_A2758_length_1442_cov_64.180220_S30	6186
NODE_B231_length_1280_cov_2.603491_S30	20804
NODE_A3677_length_1269_cov_36.493289_S30	5382
NODE_A4503_length_1147_cov_18.763551_S30	10447
NODE_B364_length_1097_cov_3.920588_S30	26289
NODE_C68_length_613_cov_1.054104_S30	3414
NODE_B2974_length_507_cov_1.406977_S30	1261
NODE_B6_length_9249_cov_41.426297_S32	684565
NODE_A12_length_7433_cov_26.276781_S32	7204
NODE_B12_length_6656_cov_72.437301_S32	51086
NODE_A16_length_6271_cov_557.271876_S32	51225
NODE_A28_length_3788_cov_94.343304_S32	18079
NODE_A29_length_3746_cov_711.250750_S32	5087
NODE_A31_length_3555_cov_1627.451409_S32	7759
NODE_A34_length_3163_cov_23.378159_S32	2151
NODE_A37_length_3059_cov_333.827968_S32	16155
NODE_A45_length_2717_cov_132.724621_S32	5947
NODE_A50_length_2655_cov_490.545384_S32	14212
NODE_A51_length_2646_cov_1974.265473_S32	30457
NODE_A58_length_2517_cov_27.115164_S32	1853
NODE_B38_length_2317_cov_17.955357_S32	7753
NODE_B41_length_2171_cov_47.012416_S32	5771
NODE_A70_length_2139_cov_65.593598_S32	2843
NODE_B44_length_2134_cov_188.447253_S32	8139
NODE_A79_length_1958_cov_37.022329_S32	1647
NODE_A101_length_1668_cov_39.134507_S32	1587
NODE_A156_length_1303_cov_44.333605_S32	2047
NODE_C79_length_1170_cov_14.071363_S32	14890
NODE_C80_length_1161_cov_15.488007_S32	41528
NODE_C93_length_1035_cov_9.545929_S32	6368
NODE_A312_length_844_cov_154.932203_S32	4451
NODE_A381_length_748_cov_180.447094_S32	912
NODE_A422_length_683_cov_154.437294_S32	704
NODE_C168_length_639_cov_2.179715_S32	880
NODE_A13_length_9134_cov_156.869604_S33	17142
NODE_A30_length_4099_cov_533.389110_S33	15258
NODE_A10_length_4273_cov_21.369161_S3	6153
NODE_A1180_length_554_cov_10.098532_S37	6418
NODE_A230_length_2952_cov_1214.753043_S38	7272
NODE_A266_length_2862_cov_65.347935_S38	50459
NODE_B21_length_2487_cov_130.466805_S38	5289
NODE_B1180_length_733_cov_11.275915_S38	1832
NODE_B1380_length_696_cov_0.919225_S38	1707
NODE_A15_length_4855_cov_27.221641_S39	19869
NODE_A6_length_15806_cov_1153.172738_S40	10880
NODE_B3_length_12473_cov_8.996773_S40	49846
NODE_A79_length_1933_cov_10.656250_S40	3168
NODE_A498_length_599_cov_2.044061_S40	10444
NODE_B135_length_579_cov_0.852590_S40	9159
NODE_A579_length_548_cov_2.868365_S40	1577
NODE_A41_length_1991_cov_7.110240_S41	7846
NODE_A741_length_622_cov_3.077064_S41	559
NODE_A20_length_4708_cov_13.752969_S42	48166
NODE_A51_length_2110_cov_15.900639_S42	48812
NODE_A174_length_909_cov_64.402644_S42	5689
NODE_A183_length_882_cov_11.175155_S42	1951
NODE_B9_length_6821_cov_15.918001_S43	19112
NODE_B11_length_4948_cov_10.112913_S43	9602
NODE_A44_length_3177_cov_14.599032_S43	97141
NODE_A86_length_2333_cov_14.579344_S43	11769
NODE_A235_length_1119_cov_18.617083_S43	15630
NODE_A717_length_509_cov_7.877315_S43	6134
NODE_A10_length_4679_cov_70.244024_S44	14712
NODE_B14_length_4245_cov_7.104367_S44	13431
NODE_A47_length_2406_cov_21.644483_S44	7348
NODE_A18_length_2423_cov_29.320119_S4	127523
NODE_A2_length_29617_cov_204.370379_S45	92604
NODE_B4_length_7232_cov_30.231307_S45	49642
NODE_A10_length_4745_cov_282.483290_S45	18221
NODE_B7_length_3443_cov_18.106061_S45	11981
NODE_B1_length_21906_cov_24.206606_S47	579424
NODE_A16_length_3945_cov_15.158738_S47	4622
NODE_A61_length_1664_cov_5.951481_S47	1056
NODE_A145_length_1229_cov_22.995660_S47	113605
NODE_A308_length_938_cov_132.658537_S47	1092
NODE_A354_length_881_cov_5.049751_S47	1263
NODE_A469_length_800_cov_11.752420_S47	15081
NODE_A603_length_736_cov_17.775417_S47	563
NODE_A1681_length_547_cov_68.395745_S47	979
NODE_B19_length_5208_cov_19.729098_S49	43166
NODE_A45_length_3830_cov_129.232614_S49	21180
NODE_A58_length_3215_cov_26.620459_S49	3284
NODE_C11_length_2695_cov_3.423224_S49	64256
NODE_A121_length_2008_cov_205.500259_S49	9517
NODE_A128_length_1981_cov_473.805147_S49	21555
NODE_C31_length_1622_cov_1.686731_S49	4839
NODE_B79_length_1546_cov_302.064670_S49	45925
NODE_C97_length_967_cov_2.582022_S49	11296
NODE_A384_length_904_cov_90.713422_S49	3473
NODE_C118_length_844_cov_3.405476_S49	6469
NODE_A422_length_829_cov_49.708777_S49	1270
NODE_A439_length_801_cov_55.969613_S49	2303
NODE_A580_length_638_cov_144.764706_S49	776
NODE_A607_length_615_cov_7.198885_S49	500
NODE_C188_length_586_cov_1.017682_S49	845
NODE_B5_length_5275_cov_16.018661_S6	19616
NODE_A18_length_3128_cov_39.531629_S6	67682
NODE_A191_length_1442_cov_15.389744_S6	24087
NODE_A641_length_952_cov_711.971429_S6	662
NODE_B1_length_19281_cov_194.391898_S8	711205
NODE_A7_length_14701_cov_83.827749_S8	33056
NODE_B4_length_11953_cov_123.444847_S8	155039
NODE_A11_length_10470_cov_198.994034_S8	44078
NODE_B8_length_8311_cov_47.404299_S8	32386
NODE_A15_length_7966_cov_760.431233_S8	45044
NODE_A16_length_7927_cov_80.148662_S8	14636
NODE_C4_length_7184_cov_17.621078_S8	166150
NODE_A19_length_6823_cov_911.523125_S8	62575
NODE_C6_length_6694_cov_17.998640_S8	243496
NODE_A23_length_5886_cov_297.933379_S8	17107
