magnitudes	MMG_CF_4
NODE_B15_length_5822_cov_357.496084_S8	362236
NODE_B23_length_4949_cov_72.752463_S8	25257
NODE_C12_length_4731_cov_19.807263_S8	160877
NODE_A32_length_4230_cov_1897.624127_S8	42319
NODE_A34_length_4138_cov_777.526718_S8	61865
NODE_B28_length_4100_cov_419.037037_S8	132764
NODE_B31_length_3912_cov_103.067275_S8	38793
NODE_A36_length_3825_cov_473.363927_S8	14697
NODE_A40_length_3590_cov_3355.681753_S8	174862
NODE_B43_length_2884_cov_59.073032_S8	30695
NODE_C19_length_2794_cov_22.307324_S8	87010
NODE_C22_length_2471_cov_23.953634_S8	69190
NODE_A71_length_2315_cov_3791.689902_S8	212829
NODE_B61_length_2274_cov_10.475193_S8	4918
NODE_A73_length_2226_cov_440.534667_S8	19991
NODE_A74_length_2184_cov_36.365449_S8	1385
NODE_A75_length_2176_cov_427.048118_S8	5720
NODE_B67_length_2172_cov_80.489737_S8	9338
NODE_A77_length_2098_cov_40.265710_S8	1504
NODE_C30_length_2006_cov_31.861586_S8	120506
NODE_A84_length_2005_cov_618.715768_S8	9289
NODE_B77_length_1989_cov_89.466527_S8	19384
NODE_C33_length_1962_cov_65.005836_S8	71347
NODE_B89_length_1776_cov_124.466157_S8	19431
NODE_A102_length_1751_cov_27.079450_S8	1154
NODE_B102_length_1569_cov_17.355228_S8	1899
NODE_A122_length_1542_cov_80.156997_S8	2090
NODE_A141_length_1430_cov_43.100517_S8	1110
NODE_A160_length_1321_cov_30.275723_S8	896
NODE_A169_length_1285_cov_72.114238_S8	2154
NODE_A214_length_1090_cov_210.854886_S8	2883
NODE_A237_length_993_cov_316.245633_S8	6321
NODE_B172_length_987_cov_9.910989_S8	1657
NODE_A253_length_971_cov_38.241611_S8	1005
NODE_A257_length_961_cov_30.929864_S8	631
NODE_B215_length_798_cov_219.090153_S8	9271
NODE_C146_length_713_cov_4.055031_S8	2871
NODE_A391_length_703_cov_58.388179_S8	6169
NODE_A404_length_687_cov_36.739344_S8	514
NODE_A531_length_590_cov_128.808967_S8	1056
NODE_A665_length_525_cov_43.939732_S8	555
NODE_A709_length_507_cov_27.076744_S8	334
NODE_C23_length_602_cov_674.215238_S9	14447
