magnitudes	NC4
NODE_A1800_length_648_cov_31.961471_S15	654
NODE_A1849_length_641_cov_58.319149_S15	769
NODE_A2335_length_583_cov_44.721344_S15	773
NODE_A2400_length_577_cov_30.726000_S15	475
NODE_A948_length_558_cov_4.611227_S29	2191
NODE_A884_length_822_cov_144.348993_NC2	523
NODE_A10_length_8776_cov_78.319807_S10	5903
NODE_A22_length_6568_cov_73.571869_S10	4493
NODE_A78_length_3073_cov_37.040387_S10	2803
NODE_A88_length_2907_cov_74.165724_S10	5140
NODE_A101_length_2675_cov_89.714396_S10	2315
NODE_A1771_length_919_cov_2.958432_S10	849
NODE_A2561_length_822_cov_4.904698_S10	488
NODE_A3923_length_711_cov_7.042587_S10	505
NODE_A4929_length_656_cov_12.240069_S10	547
NODE_A5964_length_614_cov_4.707635_S10	521
NODE_A6058_length_610_cov_12.103189_S10	461
NODE_A6539_length_594_cov_9.976789_S10	376
NODE_A6842_length_585_cov_8.370079_S10	360
NODE_B783_length_570_cov_1.713996_S10	874
NODE_A7883_length_556_cov_4.780793_S10	809
NODE_A8515_length_540_cov_10.943844_S10	332
NODE_A8975_length_529_cov_12.513274_S10	549
NODE_A10372_length_501_cov_10.872642_S10	342
NODE_A9604_length_560_cov_37.973085_S12	831
NODE_A1_length_4641_cov_89.331288_S15	9481
NODE_A2_length_4306_cov_43.894065_S15	4562
NODE_A3_length_3880_cov_47.689456_S15	4627
NODE_A4_length_3738_cov_41.375034_S15	3696
NODE_A5_length_3707_cov_49.185950_S15	3927
NODE_A6_length_3694_cov_76.547691_S15	6309
NODE_A7_length_3565_cov_112.099771_S15	5999
NODE_A9_length_3097_cov_77.484768_S15	5027
NODE_A10_length_2903_cov_47.681883_S15	3414
NODE_A11_length_2851_cov_33.945566_S15	2164
NODE_A13_length_2787_cov_68.948708_S15	4169
NODE_A16_length_2733_cov_65.625753_S15	3891
NODE_A17_length_2728_cov_33.359864_S15	2042
NODE_A18_length_2722_cov_33.529679_S15	1941
NODE_A19_length_2678_cov_54.387159_S15	3863
NODE_A20_length_2673_cov_98.617874_S15	5628
NODE_A22_length_2645_cov_38.133956_S15	2331
NODE_A23_length_2504_cov_47.073754_S15	2692
NODE_A24_length_2492_cov_60.031056_S15	3301
NODE_A25_length_2490_cov_83.898467_S15	4739
NODE_A27_length_2412_cov_117.253533_S15	6194
NODE_A28_length_2337_cov_45.469912_S15	1854
NODE_A29_length_2319_cov_48.227029_S15	1533
NODE_A34_length_2226_cov_75.578409_S15	3713
NODE_A35_length_2170_cov_77.366460_S15	3670
NODE_A36_length_2156_cov_33.951900_S15	1862
NODE_A38_length_2128_cov_35.943930_S15	1841
NODE_A39_length_2106_cov_80.806309_S15	3715
NODE_A40_length_2072_cov_79.778947_S15	3626
NODE_A41_length_2063_cov_96.213494_S15	4273
NODE_A42_length_2062_cov_79.149622_S15	3443
NODE_A43_length_2043_cov_140.472024_S15	4647
NODE_A44_length_2038_cov_45.559408_S15	1998
NODE_A48_length_1954_cov_29.198721_S15	1237
NODE_A51_length_1904_cov_139.029009_S15	5666
NODE_A53_length_1897_cov_39.547253_S15	1670
NODE_A54_length_1895_cov_79.865787_S15	3443
NODE_A56_length_1887_cov_29.453591_S15	1447
NODE_A57_length_1882_cov_38.081994_S15	1509
NODE_A61_length_1857_cov_43.482022_S15	1890
NODE_A62_length_1852_cov_73.681690_S15	2944
NODE_A63_length_1845_cov_29.441742_S15	1171
NODE_A65_length_1826_cov_38.678674_S15	1513
NODE_A66_length_1822_cov_39.114040_S15	1651
NODE_A67_length_1820_cov_78.928858_S15	3365
NODE_B18_length_1818_cov_31.159104_S15	16533
NODE_A68_length_1810_cov_28.242354_S15	1160
NODE_A71_length_1776_cov_33.099470_S15	1328
NODE_A72_length_1771_cov_41.374852_S15	1601
NODE_A73_length_1770_cov_75.798582_S15	2850
NODE_A74_length_1762_cov_32.684866_S15	1202
NODE_A75_length_1750_cov_106.034668_S15	4146
NODE_A76_length_1735_cov_44.642340_S15	1671
NODE_A78_length_1732_cov_40.635650_S15	1526
NODE_A79_length_1732_cov_37.312387_S15	1390
NODE_A80_length_1728_cov_27.052695_S15	1087
NODE_A81_length_1727_cov_51.571515_S15	1868
NODE_A83_length_1705_cov_79.381450_S15	3023
NODE_A84_length_1702_cov_45.485538_S15	1713
NODE_A86_length_1698_cov_70.228871_S15	2787
NODE_A87_length_1697_cov_24.681481_S15	1041
NODE_A88_length_1693_cov_56.670792_S15	2150
NODE_A95_length_1674_cov_30.346900_S15	1152
NODE_A96_length_1672_cov_105.498433_S15	3899
NODE_A97_length_1665_cov_34.244962_S15	1246
NODE_A98_length_1661_cov_41.508838_S15	1483
NODE_A99_length_1648_cov_38.952896_S15	1318
NODE_A101_length_1644_cov_46.516911_S15	1789
NODE_A103_length_1637_cov_37.478846_S15	1319
NODE_A106_length_1624_cov_76.387847_S15	2721
NODE_A107_length_1622_cov_37.549515_S15	1527
NODE_A108_length_1619_cov_30.216602_S15	1078
NODE_A110_length_1617_cov_71.785714_S15	1931
NODE_A111_length_1617_cov_49.935065_S15	1914
NODE_A112_length_1615_cov_45.044863_S15	1494
NODE_B30_length_1614_cov_5.922576_S15	2317
NODE_A114_length_1608_cov_85.421293_S15	3078
NODE_A115_length_1605_cov_146.480366_S15	5237
NODE_A119_length_1590_cov_26.085922_S15	971
NODE_A120_length_1589_cov_27.047619_S15	1022
NODE_A122_length_1577_cov_68.493333_S15	2208
NODE_A124_length_1573_cov_29.958556_S15	1166
NODE_A127_length_1568_cov_27.434608_S15	1045
NODE_A128_length_1562_cov_35.165657_S15	1257
NODE_A131_length_1553_cov_117.334688_S15	3868
NODE_A132_length_1548_cov_47.218219_S15	1643
NODE_B40_length_1546_cov_2.725664_S15	1000
NODE_A133_length_1543_cov_58.543656_S15	2027
NODE_A135_length_1542_cov_48.785666_S15	1723
NODE_A136_length_1540_cov_45.530417_S15	1459
NODE_A139_length_1525_cov_33.072514_S15	1000
NODE_A140_length_1524_cov_56.067726_S15	1886
NODE_A142_length_1521_cov_36.469529_S15	1234
NODE_A143_length_1513_cov_65.879526_S15	2233
NODE_A144_length_1510_cov_37.635031_S15	1349
NODE_A146_length_1509_cov_36.412011_S15	1316
NODE_A147_length_1508_cov_28.076171_S15	955
NODE_A150_length_1500_cov_89.416022_S15	2884
NODE_A151_length_1500_cov_41.721012_S15	1325
NODE_B47_length_1492_cov_6.906007_S15	2308
NODE_A153_length_1489_cov_41.271246_S15	1261
NODE_A155_length_1487_cov_74.247518_S15	2446
NODE_A156_length_1487_cov_47.129078_S15	1400
NODE_A157_length_1480_cov_54.689237_S15	1580
NODE_A158_length_1476_cov_194.010722_S15	6060
NODE_A159_length_1472_cov_216.201434_S15	3372
NODE_B49_length_1472_cov_4.620072_S15	1784
NODE_A160_length_1466_cov_139.105112_S15	4228
NODE_A165_length_1457_cov_57.355797_S15	1829
NODE_A166_length_1455_cov_70.642961_S15	2168
NODE_A168_length_1451_cov_27.452693_S15	840
NODE_A170_length_1443_cov_94.133236_S15	3155
NODE_A171_length_1439_cov_36.011747_S15	1148
NODE_A175_length_1417_cov_30.786567_S15	957
NODE_A176_length_1415_cov_40.393871_S15	1265
NODE_A179_length_1405_cov_31.737952_S15	1061
NODE_A183_length_1398_cov_34.062831_S15	1096
NODE_A184_length_1396_cov_88.219864_S15	2787
NODE_A188_length_1389_cov_52.412348_S15	1764
NODE_A189_length_1382_cov_43.889655_S15	1242
NODE_A190_length_1380_cov_29.516500_S15	925
NODE_B71_length_1375_cov_4.776579_S15	1375
NODE_A192_length_1374_cov_79.656901_S15	2403
NODE_A193_length_1374_cov_65.390902_S15	1581
NODE_A195_length_1373_cov_84.189043_S15	2866
NODE_B75_length_1371_cov_4.214065_S15	1500
NODE_A196_length_1369_cov_92.380031_S15	2626
NODE_A198_length_1361_cov_43.896417_S15	1276
NODE_A199_length_1361_cov_37.315421_S15	1099
NODE_B78_length_1361_cov_5.220405_S15	1434
NODE_A201_length_1360_cov_28.435698_S15	927
NODE_A202_length_1359_cov_59.215289_S15	1798
NODE_A204_length_1356_cov_40.968726_S15	1153
NODE_A205_length_1353_cov_70.979624_S15	2252
NODE_A206_length_1351_cov_32.606750_S15	896
NODE_A209_length_1347_cov_51.318898_S15	1495
NODE_A210_length_1347_cov_25.944882_S15	950
NODE_A211_length_1345_cov_32.159306_S15	952
NODE_A212_length_1344_cov_39.332281_S15	1230
