magnitudes	MMG_SW_6
NODE_A941_length_1131_cov_11.314991_S10	2767
NODE_A2804_length_797_cov_11.305556_S10	3623
NODE_A3326_length_751_cov_13.066766_S10	622
NODE_B2_length_2621_cov_699.047956_S1	57436
NODE_A117_length_1384_cov_36.801836_S1	4596
NODE_A244_length_1033_cov_202.735356_S1	24678
NODE_A294_length_969_cov_57.905830_S1	8969
NODE_A352_length_895_cov_388.638142_S1	11989
NODE_A436_length_833_cov_265.755291_S1	97907
NODE_A494_length_797_cov_1135.662500_S1	1146
NODE_A561_length_751_cov_209.283383_S1	1345
NODE_A679_length_691_cov_22.809446_S1	489
NODE_A946_length_562_cov_5.496907_S16	424
NODE_A15_length_4994_cov_9189.904007_S17	129903
NODE_A43_length_2096_cov_142.252600_S17	2429
NODE_A192_length_1157_cov_189.795370_S17	1012
NODE_A1633_length_976_cov_8.640712_S18	745
NODE_A9006_length_623_cov_2.454212_S18	447
NODE_B1_length_64575_cov_138.535489_S19	2921416
NODE_B187_length_792_cov_124.485315_S19	86316
NODE_A162_length_1308_cov_1004.818846_S21	42325
NODE_B47_length_1237_cov_19.400862_S21	4613
NODE_A724_length_848_cov_672.041505_S21	1977
NODE_A950_length_785_cov_800.841808_S21	105764
NODE_A1100_length_749_cov_2161.334821_S21	18937
NODE_A3_length_21412_cov_74.714554_S23	30823
NODE_A559_length_830_cov_39.042497_S24	634
NODE_A1226_length_634_cov_78.152603_S24	378
NODE_A1433_length_599_cov_76.620690_S24	395
NODE_A2046_length_526_cov_3.681514_S24	336
NODE_B4_length_18996_cov_14.510334_S25	82041
NODE_A46_length_3453_cov_71.112263_S25	3266
NODE_B118_length_1465_cov_171.773775_S25	1382
NODE_C54_length_1094_cov_16.325467_S25	765
NODE_A248_length_1022_cov_75.717460_S25	21125
NODE_A557_length_589_cov_6.904297_S26	672
NODE_A4_length_2806_cov_29365.524368_S27	1157227
NODE_A31_length_3555_cov_1627.451409_S32	2705
NODE_A106_length_1394_cov_505.990888_S37	3330
NODE_B33_length_1378_cov_11.220600_S37	1050
NODE_A343_length_877_cov_55.455000_S37	1258
NODE_B94_length_815_cov_165.056911_S37	1934
NODE_A473_length_786_cov_334.987306_S37	1181
NODE_A782_length_647_cov_5.810526_S37	907
NODE_A846_length_629_cov_651.505435_S37	1478
NODE_A941_length_603_cov_42.754753_S37	431
NODE_A983_length_593_cov_328.742248_S37	817
NODE_A1172_length_556_cov_1.791232_S37	452
NODE_A1233_length_543_cov_1884.304721_S37	3733
NODE_C60_length_535_cov_52.443231_S37	54472
NODE_A230_length_2952_cov_1214.753043_S38	4009
NODE_A266_length_2862_cov_65.347935_S38	1638
NODE_B21_length_2487_cov_130.466805_S38	3730
NODE_A1033_length_1785_cov_35.388759_S38	1005
NODE_B2122_length_595_cov_2.787645_S38	428
NODE_A238_length_824_cov_18.342704_S39	541
NODE_A197_length_1101_cov_239.723633_S41	1031
NODE_A273_length_941_cov_41.432870_S41	4659
NODE_A741_length_622_cov_3.077064_S41	5850
NODE_A781_length_607_cov_153.971698_S41	450
NODE_A4_length_27642_cov_45.304045_S44	20439
NODE_B62_length_604_cov_2.064516_S45	5972
NODE_A206_length_601_cov_4.307252_S45	4862
NODE_A110_length_1326_cov_22.958367_S47	9498
NODE_A148_length_1227_cov_13.520000_S47	788
NODE_A308_length_938_cov_132.658537_S47	180137
