magnitudes	MMG_SW_6
NODE_A322_length_916_cov_32.522050_S47	2311
NODE_A498_length_784_cov_21.398868_S47	546
NODE_A603_length_736_cov_17.775417_S47	6107
NODE_A2299_length_508_cov_34.603248_S47	400
NODE_A2_length_16366_cov_68.635644_S6	22373
NODE_B4_length_6468_cov_13.764669_S6	9160
NODE_B5_length_5275_cov_16.018661_S6	6782
NODE_A9_length_4449_cov_372.223010_S6	36958
NODE_A11_length_3798_cov_29.100242_S6	2404
NODE_A30_length_2613_cov_31.413644_S6	3994
NODE_A47_length_2295_cov_36.578449_S6	1581
NODE_A59_length_2064_cov_89.535481_S6	3529
NODE_A67_length_1987_cov_30.737173_S6	1290
NODE_A71_length_1949_cov_33.275107_S6	1421
NODE_A86_length_1827_cov_30.606286_S6	1203
NODE_A98_length_1758_cov_41.035098_S6	1717
NODE_A102_length_1746_cov_65.096465_S6	2306
NODE_A109_length_1708_cov_32.896383_S6	1050
NODE_A114_length_1689_cov_28.127792_S6	982
NODE_A116_length_1686_cov_48.791796_S6	1915
NODE_A132_length_1629_cov_36.826675_S6	1258
NODE_A146_length_1568_cov_49.739772_S6	2167
NODE_A151_length_1553_cov_39.800813_S6	1296
NODE_A170_length_1492_cov_42.060777_S6	1337
NODE_A183_length_1450_cov_32.659869_S6	1002
NODE_A198_length_1433_cov_29.035398_S6	926
NODE_A200_length_1429_cov_542.165680_S6	19723
NODE_A219_length_1387_cov_56.187023_S6	1540
NODE_A224_length_1383_cov_61.535988_S6	2805
NODE_A233_length_1363_cov_33.678849_S6	2236
NODE_A234_length_1362_cov_28.928405_S6	813
NODE_A239_length_1354_cov_31.025059_S6	818
NODE_A277_length_1287_cov_30.434711_S6	847
NODE_A291_length_1265_cov_32.061448_S6	802
NODE_A314_length_1237_cov_41.973276_S6	1068
NODE_A336_length_1208_cov_29.357206_S6	748
NODE_A350_length_1188_cov_29.215122_S6	672
NODE_A391_length_1141_cov_29.965226_S6	709
NODE_A408_length_1125_cov_37.299618_S6	826
NODE_A411_length_1122_cov_26.430622_S6	1454
NODE_A425_length_1106_cov_44.233236_S6	916
NODE_A430_length_1104_cov_23.571568_S6	874
NODE_A432_length_1103_cov_43.238791_S6	902
NODE_A440_length_1097_cov_31.255882_S6	660
NODE_A441_length_1097_cov_30.096078_S6	684
NODE_A465_length_1071_cov_46.576459_S6	1403
NODE_A471_length_1064_cov_51.008105_S6	1181
NODE_A476_length_1062_cov_33.613198_S6	706
NODE_A497_length_1044_cov_35.229576_S6	762
NODE_A538_length_1018_cov_33.564293_S6	747
NODE_A545_length_1013_cov_36.456197_S6	814
NODE_A562_length_1000_cov_42.288191_S6	917
NODE_A587_length_984_cov_64.056229_S6	1202
NODE_A613_length_967_cov_33.249438_S6	648
NODE_A641_length_952_cov_711.971429_S6	11472
NODE_A666_length_937_cov_30.873256_S6	559
NODE_A668_length_935_cov_38.446387_S6	729
NODE_A673_length_933_cov_34.042056_S6	598
NODE_B174_length_923_cov_5.750591_S6	1458
NODE_A703_length_914_cov_31.192354_S6	549
NODE_A711_length_910_cov_52.578631_S6	1016
NODE_A730_length_902_cov_30.139394_S6	531
NODE_A772_length_884_cov_35.453532_S6	626
NODE_A800_length_873_cov_514.888191_S6	14222
NODE_A832_length_860_cov_72.369093_S6	1279
NODE_A853_length_852_cov_220.752258_S6	4560
NODE_A857_length_849_cov_38.012953_S6	641
NODE_A889_length_834_cov_1742.047556_S6	45103
NODE_A890_length_834_cov_50.051519_S6	582
NODE_B236_length_829_cov_6.158245_S6	1767
NODE_A931_length_818_cov_33.302294_S6	499
NODE_A995_length_798_cov_44.936200_S6	697
NODE_A1038_length_785_cov_30.087571_S6	499
NODE_A1054_length_781_cov_50.150568_S6	863
NODE_B293_length_776_cov_2.844063_S6	559
NODE_A1087_length_772_cov_34.333813_S6	581
NODE_A1093_length_771_cov_30.220461_S6	483
NODE_A1126_length_759_cov_54.309384_S6	848
NODE_A1127_length_759_cov_34.989736_S6	538
NODE_A1128_length_759_cov_30.244868_S6	486
NODE_A1162_length_750_cov_29.627043_S6	433
NODE_A1282_length_726_cov_44.778120_S6	622
NODE_A1325_length_719_cov_42.554517_S6	586
NODE_A1336_length_717_cov_56.100000_S6	741
NODE_A1385_length_706_cov_30.209857_S6	463
NODE_A1397_length_703_cov_36.067093_S6	472
NODE_B385_length_703_cov_139.857827_S6	19900
NODE_A1410_length_700_cov_33.943820_S6	482
NODE_A1434_length_695_cov_40.082524_S6	579
NODE_A1439_length_694_cov_35.915721_S6	452
NODE_B404_length_694_cov_2.003241_S6	470
NODE_A1515_length_681_cov_28.637417_S6	427
NODE_B460_length_656_cov_3.547496_S6	539
NODE_A1675_length_654_cov_31.767764_S6	415
NODE_A1680_length_653_cov_32.767361_S6	415
NODE_A1694_length_650_cov_518.596859_S6	6399
NODE_A1704_length_648_cov_42.129597_S6	580
NODE_A1820_length_632_cov_33.250450_S6	428
NODE_A1970_length_609_cov_33.148496_S6	375
NODE_A2065_length_598_cov_54.919386_S6	821
NODE_A2096_length_595_cov_57.169884_S6	721
NODE_A2131_length_591_cov_30.717899_S6	344
NODE_A2226_length_579_cov_45.227092_S6	602
NODE_A2265_length_575_cov_25.632530_S6	413
NODE_A2317_length_571_cov_32.957490_S6	375
NODE_A2508_length_550_cov_36.456660_S6	408
NODE_A2639_length_538_cov_44.199566_S6	614
NODE_A2665_length_536_cov_45.827887_S6	518
NODE_A2684_length_534_cov_48.796499_S6	523
NODE_A2699_length_532_cov_33.780220_S6	307
NODE_A2701_length_532_cov_24.558242_S6	632
NODE_A2733_length_530_cov_18.081678_S6	416
NODE_A2781_length_525_cov_45.578125_S6	427
NODE_A2866_length_517_cov_36.593182_S6	431
NODE_A2918_length_512_cov_38.045977_S6	455
NODE_A2981_length_507_cov_32.213953_S6	401
NODE_A3028_length_503_cov_53.462441_S6	383
NODE_A3046_length_502_cov_45.630588_S6	437
NODE_A6237_length_516_cov_3.036446_S7	3965
NODE_C23_length_602_cov_674.215238_S9	442542
