magnitudes	AMG_CF_4
NODE_A266_length_2862_cov_65.347935_S38	5631
NODE_B21_length_2487_cov_130.466805_S38	1478
NODE_A6_length_15806_cov_1153.172738_S40	782631
NODE_B3_length_12473_cov_8.996773_S40	20374
NODE_A498_length_599_cov_2.044061_S40	1605
NODE_B135_length_579_cov_0.852590_S40	366
NODE_A579_length_548_cov_2.868365_S40	902
NODE_A20_length_4708_cov_13.752969_S42	4656
NODE_A51_length_2110_cov_15.900639_S42	2745
NODE_A174_length_909_cov_64.402644_S42	953
NODE_A44_length_3177_cov_14.599032_S43	12873
NODE_A86_length_2333_cov_14.579344_S43	8868
NODE_A235_length_1119_cov_18.617083_S43	1770
NODE_A468_length_659_cov_11.993127_S43	455
NODE_A717_length_509_cov_7.877315_S43	2634
NODE_A10_length_4679_cov_70.244024_S44	2742
NODE_B14_length_4245_cov_7.104367_S44	2568
NODE_A18_length_2423_cov_29.320119_S4	16433
NODE_B4_length_7232_cov_30.231307_S45	10039
NODE_A10_length_4745_cov_282.483290_S45	4595
NODE_B1_length_21906_cov_24.206606_S47	45827
NODE_A145_length_1229_cov_22.995660_S47	6976
NODE_A469_length_800_cov_11.752420_S47	756
NODE_B19_length_5208_cov_19.729098_S49	6869
NODE_A45_length_3830_cov_129.232614_S49	10271
NODE_C11_length_2695_cov_3.423224_S49	4400
NODE_A128_length_1981_cov_473.805147_S49	3681
NODE_B79_length_1546_cov_302.064670_S49	9058
NODE_A287_length_1160_cov_32.410896_S49	1045
NODE_C97_length_967_cov_2.582022_S49	1151
NODE_C118_length_844_cov_3.405476_S49	3054
NODE_A485_length_738_cov_6.875946_S49	568
NODE_A2_length_16366_cov_68.635644_S6	14611
NODE_A18_length_3128_cov_39.531629_S6	6318
NODE_A191_length_1442_cov_15.389744_S6	1091
NODE_B1_length_19281_cov_194.391898_S8	87241
NODE_B4_length_11953_cov_123.444847_S8	16744
NODE_A11_length_10470_cov_198.994034_S8	22731
NODE_B8_length_8311_cov_47.404299_S8	8801
NODE_A15_length_7966_cov_760.431233_S8	12290
NODE_C4_length_7184_cov_17.621078_S8	27516
NODE_A19_length_6823_cov_911.523125_S8	12333
NODE_C6_length_6694_cov_17.998640_S8	28721
NODE_A23_length_5886_cov_297.933379_S8	10116
NODE_B15_length_5822_cov_357.496084_S8	20483
NODE_B23_length_4949_cov_72.752463_S8	4031
NODE_C12_length_4731_cov_19.807263_S8	31498
NODE_A32_length_4230_cov_1897.624127_S8	7343
NODE_A34_length_4138_cov_777.526718_S8	38387
NODE_B28_length_4100_cov_419.037037_S8	14966
NODE_B31_length_3912_cov_103.067275_S8	7091
NODE_A40_length_3590_cov_3355.681753_S8	9566
NODE_B43_length_2884_cov_59.073032_S8	3585
NODE_C19_length_2794_cov_22.307324_S8	16950
NODE_C22_length_2471_cov_23.953634_S8	8692
NODE_A71_length_2315_cov_3791.689902_S8	5698
NODE_B67_length_2172_cov_80.489737_S8	4614
NODE_C30_length_2006_cov_31.861586_S8	13048
NODE_A84_length_2005_cov_618.715768_S8	5031
NODE_B77_length_1989_cov_89.466527_S8	2287
NODE_C33_length_1962_cov_65.005836_S8	10155
NODE_B89_length_1776_cov_124.466157_S8	5181
NODE_A214_length_1090_cov_210.854886_S8	3302
NODE_A237_length_993_cov_316.245633_S8	2191
NODE_B215_length_798_cov_219.090153_S8	1029
NODE_C146_length_713_cov_4.055031_S8	2457
NODE_A391_length_703_cov_58.388179_S8	878
NODE_A531_length_590_cov_128.808967_S8	858
NODE_A665_length_525_cov_43.939732_S8	523
