magnitudes	WG_SW_4
NODE_A244_length_1033_cov_202.735356_S1	704
NODE_A352_length_895_cov_388.638142_S1	1446
NODE_A15_length_4994_cov_9189.904007_S17	30724
NODE_B8_length_4011_cov_5.051347_S17	3984
NODE_A1479_length_515_cov_406.739726_S17	988
NODE_B1_length_64575_cov_138.535489_S19	12178214
NODE_A139_length_1559_cov_146.941970_S19	1097
NODE_B187_length_792_cov_124.485315_S19	14325
NODE_B52_length_2833_cov_8.209361_S20	2268
NODE_A950_length_785_cov_800.841808_S21	1289
NODE_B10_length_7015_cov_26.363361_S22	17876
NODE_A1170_length_507_cov_16.065116_S23	651
NODE_A1624_length_575_cov_5482.096386_S24	385
NODE_A46_length_3884_cov_149.199632_S2	4052
NODE_B286_length_718_cov_2.939158_S2	893
NODE_B5_length_17739_cov_615.067490_S25	38448
NODE_A17_length_15349_cov_1246.287323_S25	12984
NODE_A542_length_698_cov_6.285024_S25	393
NODE_A2758_length_1442_cov_64.180220_S30	1319
NODE_A13_length_9134_cov_156.869604_S33	6946
NODE_A10_length_4273_cov_21.369161_S3	4775
NODE_C60_length_535_cov_52.443231_S37	511
NODE_B9_length_6821_cov_15.918001_S43	4835
NODE_A47_length_2406_cov_21.644483_S44	3948
NODE_A2_length_29617_cov_204.370379_S45	103387
NODE_B4_length_7232_cov_30.231307_S45	22974
NODE_A10_length_4745_cov_282.483290_S45	8275
NODE_B7_length_3443_cov_18.106061_S45	4178
NODE_A308_length_938_cov_132.658537_S47	1059
NODE_A2_length_16366_cov_68.635644_S6	239932
NODE_A800_length_873_cov_514.888191_S6	1234
NODE_B31_length_3912_cov_103.067275_S8	2786
NODE_C23_length_602_cov_674.215238_S9	28626
