magnitudes	Hae_CF
NODE_B110_length_655_cov_7.634948_S27	995
NODE_B113_length_653_cov_2.508681_S27	1694
NODE_A839_length_646_cov_19.080844_S27	536
NODE_A872_length_642_cov_9.099115_S27	1465
NODE_A885_length_639_cov_28.907473_S27	465
NODE_A904_length_636_cov_44.899821_S27	587
NODE_A905_length_636_cov_29.849732_S27	437
NODE_A923_length_634_cov_3.754039_S27	628
NODE_A925_length_633_cov_54.372302_S27	855
NODE_A955_length_629_cov_5.344203_S27	740
NODE_A982_length_625_cov_32.202555_S27	401
NODE_A995_length_623_cov_43.793040_S27	508
NODE_A1007_length_622_cov_22.577982_S27	383
NODE_B141_length_616_cov_3.322820_S27	420
NODE_A1067_length_614_cov_11.055866_S27	714
NODE_A1095_length_609_cov_13.546992_S27	737
NODE_A1122_length_605_cov_32.034091_S27	412
NODE_A1142_length_602_cov_15.186667_S27	664
NODE_A1154_length_600_cov_25.762906_S27	449
NODE_A1214_length_594_cov_32.754352_S27	4938
NODE_A1279_length_586_cov_16.278978_S27	507
NODE_A1280_length_586_cov_13.929273_S27	1015
NODE_A1306_length_583_cov_39.790514_S27	426
NODE_A1370_length_575_cov_8.983936_S27	1034
NODE_A1401_length_572_cov_33.557576_S27	434
NODE_A1402_length_572_cov_29.856566_S27	371
NODE_A1484_length_565_cov_10.495902_S27	1728
NODE_A1493_length_564_cov_35.626283_S27	654
NODE_A1510_length_563_cov_14.923868_S27	1610
NODE_A1533_length_561_cov_7.101240_S27	688
NODE_A1619_length_553_cov_25.079832_S27	1079
NODE_A1636_length_552_cov_9.757895_S27	637
NODE_A1671_length_549_cov_40.983051_S27	404
NODE_A1672_length_549_cov_36.502119_S27	366
NODE_B236_length_549_cov_3.896186_S27	1200
NODE_A1712_length_546_cov_37.256822_S27	508
NODE_A1729_length_546_cov_5.042644_S27	708
NODE_B241_length_546_cov_3.686567_S27	559
NODE_A1794_length_541_cov_28.278017_S27	444
NODE_A1795_length_541_cov_12.984914_S27	910
NODE_A1839_length_538_cov_17.310195_S27	756
NODE_A1849_length_537_cov_43.480435_S27	486
NODE_A1867_length_536_cov_16.244009_S27	608
NODE_B256_length_535_cov_3.430131_S27	551
NODE_A1909_length_534_cov_42.249453_S27	401
NODE_A1913_length_534_cov_12.129103_S27	1236
NODE_B259_length_534_cov_12.096280_S27	1708
NODE_A1945_length_532_cov_80.492308_S27	448
NODE_A1970_length_531_cov_14.887665_S27	2853
NODE_A2038_length_527_cov_21.026667_S27	598
NODE_A2040_length_527_cov_20.184444_S27	817
NODE_A2041_length_527_cov_14.957778_S27	2349
NODE_A2048_length_527_cov_4.900000_S27	7584
NODE_A2060_length_526_cov_11.944321_S27	448
NODE_A2098_length_524_cov_14.930649_S27	480
NODE_A2105_length_524_cov_4.346756_S27	466
NODE_A2177_length_519_cov_38.893665_S27	355
NODE_A2178_length_519_cov_16.565611_S27	482
NODE_A2192_length_518_cov_26.712018_S27	334
NODE_A2222_length_516_cov_36.567198_S27	385
NODE_A2255_length_514_cov_70.546911_S27	820
