magnitudes	NC1
NODE_A171_length_985_cov_30.598870_NC1	1048
NODE_A173_length_980_cov_69.634551_NC1	1585
NODE_A175_length_973_cov_30.491071_NC1	652
NODE_A177_length_969_cov_53.436099_NC1	1078
NODE_A179_length_968_cov_70.966330_NC1	1054
NODE_A180_length_968_cov_55.040404_NC1	1224
NODE_B70_length_965_cov_3.110360_NC1	790
NODE_A182_length_963_cov_83.585779_NC1	1898
NODE_A183_length_962_cov_30.761582_NC1	792
NODE_A184_length_962_cov_29.261017_NC1	906
NODE_A186_length_961_cov_129.445701_NC1	3151
NODE_A188_length_957_cov_128.072727_NC1	3845
NODE_B75_length_955_cov_4.553531_NC1	710
NODE_A189_length_954_cov_41.922463_NC1	1082
NODE_A191_length_953_cov_36.207763_NC1	756
NODE_A192_length_953_cov_27.849315_NC1	951
NODE_A193_length_952_cov_45.979429_NC1	1524
NODE_A194_length_952_cov_30.514286_NC1	706
NODE_A195_length_951_cov_62.477117_NC1	1016
NODE_A196_length_951_cov_26.196796_NC1	613
NODE_A197_length_949_cov_25.651376_NC1	572
NODE_A201_length_941_cov_63.021991_NC1	1415
NODE_A203_length_940_cov_261.374276_NC1	3885
NODE_A206_length_937_cov_68.503488_NC1	1439
NODE_A208_length_935_cov_34.864802_NC1	919
NODE_A209_length_933_cov_34.039720_NC1	771
NODE_A210_length_932_cov_49.866667_NC1	1314
NODE_A211_length_932_cov_31.700585_NC1	838
NODE_A213_length_927_cov_80.881176_NC1	2049
NODE_A214_length_927_cov_66.240000_NC1	1864
NODE_A215_length_925_cov_80.700472_NC1	1654
NODE_A217_length_923_cov_72.795508_NC1	1804
NODE_A218_length_922_cov_42.558580_NC1	1024
NODE_A220_length_915_cov_38.032220_NC1	958
NODE_A222_length_911_cov_84.269784_NC1	1680
NODE_A223_length_911_cov_25.069544_NC1	641
NODE_A224_length_910_cov_36.472989_NC1	708
NODE_A225_length_909_cov_96.706731_NC1	2257
NODE_A227_length_908_cov_107.920578_NC1	2525
NODE_A229_length_900_cov_85.541920_NC1	1922
NODE_A231_length_899_cov_111.541363_NC1	2368
NODE_A232_length_899_cov_25.928224_NC1	831
NODE_A234_length_896_cov_111.621490_NC1	2511
NODE_A235_length_895_cov_122.326406_NC1	3760
NODE_A236_length_895_cov_84.325183_NC1	2212
NODE_B106_length_894_cov_8.230110_NC1	1419
NODE_A242_length_889_cov_63.325123_NC1	1255
NODE_A243_length_889_cov_39.532020_NC1	589
NODE_A244_length_888_cov_27.726264_NC1	538
NODE_A246_length_887_cov_57.498765_NC1	1257
NODE_A247_length_886_cov_55.155748_NC1	1319
NODE_A248_length_886_cov_30.349815_NC1	955
NODE_A249_length_884_cov_55.838910_NC1	1095
NODE_A253_length_877_cov_104.583750_NC1	2138
NODE_A254_length_876_cov_32.279099_NC1	702
NODE_A255_length_876_cov_31.380476_NC1	866
NODE_A256_length_875_cov_32.929825_NC1	705
NODE_A259_length_873_cov_91.961055_NC1	1761
NODE_A260_length_873_cov_54.919598_NC1	1675
NODE_A262_length_872_cov_66.764780_NC1	1394
NODE_A264_length_871_cov_37.536524_NC1	1253
NODE_A265_length_870_cov_83.430013_NC1	1840
NODE_A267_length_867_cov_151.681013_NC1	2944
NODE_A268_length_864_cov_57.523507_NC1	1225
NODE_A270_length_860_cov_38.263091_NC1	842
NODE_A272_length_855_cov_37.096401_NC1	816
NODE_A273_length_855_cov_28.821337_NC1	572
NODE_A274_length_854_cov_55.799228_NC1	1330
NODE_A275_length_854_cov_54.877735_NC1	1403
NODE_A277_length_854_cov_36.168597_NC1	663
NODE_A278_length_852_cov_71.869677_NC1	1366
NODE_A280_length_850_cov_49.058215_NC1	1044
NODE_B125_length_847_cov_12.697403_NC1	5187
NODE_A284_length_846_cov_77.059818_NC1	1606
NODE_B127_length_844_cov_8.140808_NC1	2166
NODE_A286_length_842_cov_35.637908_NC1	733
NODE_A287_length_842_cov_27.900654_NC1	583
NODE_A289_length_840_cov_55.948886_NC1	1050
NODE_A290_length_840_cov_26.657929_NC1	553
NODE_A291_length_840_cov_25.866317_NC1	842
NODE_A293_length_837_cov_44.022368_NC1	963
NODE_A294_length_836_cov_99.932806_NC1	1244
NODE_A297_length_833_cov_61.374339_NC1	1481
NODE_B133_length_832_cov_8.031788_NC1	1443
NODE_A298_length_831_cov_178.438992_NC1	1968
NODE_A300_length_829_cov_56.188830_NC1	966
NODE_A302_length_828_cov_83.047936_NC1	1687
NODE_B136_length_828_cov_2.934754_NC1	710
NODE_B137_length_827_cov_7.229333_NC1	1621
NODE_A303_length_826_cov_71.455274_NC1	1189
NODE_A305_length_822_cov_48.311409_NC1	924
NODE_A308_length_818_cov_29.522267_NC1	624
NODE_A309_length_816_cov_100.127199_NC1	2191
NODE_A310_length_815_cov_21.065041_NC1	628
NODE_A312_length_814_cov_58.139756_NC1	1612
NODE_A316_length_810_cov_35.485675_NC1	723
NODE_A319_length_808_cov_30.138167_NC1	608
NODE_A320_length_806_cov_57.717421_NC1	1053
NODE_A328_length_801_cov_32.469613_NC1	817
NODE_A329_length_800_cov_94.573997_NC1	1693
NODE_A332_length_799_cov_71.722992_NC1	1431
NODE_A335_length_795_cov_33.440111_NC1	774
NODE_A336_length_795_cov_28.603064_NC1	703
NODE_A339_length_794_cov_27.560669_NC1	530
NODE_A340_length_792_cov_92.358042_NC1	2070
NODE_A341_length_792_cov_90.625175_NC1	1569
NODE_A342_length_792_cov_78.514685_NC1	1463
NODE_A343_length_792_cov_41.576224_NC1	817
NODE_A344_length_792_cov_32.805594_NC1	567
NODE_B170_length_792_cov_5.159441_NC1	1210
NODE_A346_length_789_cov_29.244382_NC1	560
NODE_A347_length_788_cov_23.225035_NC1	579
NODE_B171_length_787_cov_7.245070_NC1	1318
NODE_A349_length_785_cov_103.867232_NC1	2462
NODE_A351_length_784_cov_137.289958_NC1	2638
NODE_A352_length_784_cov_91.882603_NC1	1552
NODE_A353_length_784_cov_45.261669_NC1	792
NODE_A354_length_784_cov_31.741160_NC1	597
NODE_A358_length_779_cov_98.482906_NC1	1879
NODE_A360_length_777_cov_51.462857_NC1	879
NODE_A362_length_776_cov_181.520744_NC1	3566
NODE_A363_length_776_cov_99.234621_NC1	1918
NODE_A366_length_773_cov_31.386494_NC1	696
NODE_A369_length_770_cov_36.545455_NC1	870
NODE_A370_length_769_cov_139.356936_NC1	2473
NODE_B186_length_768_cov_4.125904_NC1	897
NODE_A372_length_766_cov_193.577649_NC1	4285
NODE_A373_length_766_cov_109.725689_NC1	2198
NODE_A374_length_766_cov_105.856313_NC1	1800
NODE_A376_length_765_cov_61.215116_NC1	1033
NODE_A379_length_764_cov_76.720524_NC1	1163
NODE_A380_length_764_cov_30.911208_NC1	1105
NODE_A381_length_763_cov_44.027697_NC1	739
NODE_A382_length_763_cov_26.960641_NC1	520
NODE_A384_length_762_cov_91.472993_NC1	1696
NODE_B192_length_761_cov_4.934211_NC1	1079
NODE_A387_length_758_cov_63.136564_NC1	1085
NODE_A388_length_757_cov_77.202941_NC1	1044
NODE_A389_length_757_cov_39.785294_NC1	947
NODE_A390_length_756_cov_47.111929_NC1	774
NODE_A391_length_756_cov_37.670103_NC1	991
NODE_B195_length_756_cov_30.332842_NC1	7048
NODE_A392_length_755_cov_99.548673_NC1	1845
NODE_A393_length_755_cov_85.803835_NC1	1428
NODE_A394_length_753_cov_66.778107_NC1	1025
NODE_A395_length_753_cov_36.161243_NC1	853
NODE_A396_length_752_cov_25.623704_NC1	499
NODE_A397_length_751_cov_26.704748_NC1	535
NODE_A398_length_749_cov_101.102679_NC1	1360
NODE_A399_length_749_cov_84.684524_NC1	1396
NODE_A401_length_749_cov_62.461310_NC1	1072
NODE_A407_length_747_cov_37.131343_NC1	643
NODE_A408_length_746_cov_44.615845_NC1	804
NODE_A409_length_746_cov_42.331839_NC1	1500
NODE_A410_length_746_cov_30.457399_NC1	622
NODE_A413_length_745_cov_142.232036_NC1	2636
NODE_A416_length_744_cov_75.577211_NC1	1371
NODE_A419_length_742_cov_105.284211_NC1	1707
NODE_A422_length_741_cov_59.707831_NC1	813
NODE_A423_length_740_cov_21.505279_NC1	704
NODE_A424_length_738_cov_78.700454_NC1	1411
NODE_A425_length_738_cov_62.220877_NC1	1005
NODE_A427_length_733_cov_108.911585_NC1	1813
NODE_A428_length_733_cov_51.614329_NC1	1035
NODE_A429_length_732_cov_60.476336_NC1	1419
NODE_A430_length_732_cov_52.885496_NC1	963
NODE_A431_length_732_cov_33.080916_NC1	601
NODE_A432_length_732_cov_28.317557_NC1	706
NODE_A435_length_730_cov_90.509954_NC1	1497
NODE_A436_length_730_cov_53.464012_NC1	1323
NODE_A437_length_729_cov_193.073620_NC1	3064
NODE_A438_length_729_cov_107.203988_NC1	2258
NODE_B226_length_728_cov_4.516129_NC1	662
NODE_A441_length_727_cov_32.723077_NC1	519
NODE_A445_length_725_cov_97.098765_NC1	1679
NODE_B230_length_725_cov_3.270062_NC1	665
NODE_A446_length_724_cov_128.273570_NC1	1755
NODE_A448_length_724_cov_87.004637_NC1	1678
NODE_A449_length_724_cov_64.857805_NC1	1065
NODE_A450_length_722_cov_97.623256_NC1	2049
NODE_A451_length_722_cov_85.817054_NC1	1258
NODE_A452_length_722_cov_52.626357_NC1	860
NODE_A453_length_722_cov_45.817054_NC1	820
NODE_A455_length_721_cov_73.172360_NC1	1138
NODE_B234_length_721_cov_24.059006_NC1	5046
NODE_A456_length_720_cov_71.626750_NC1	1782
NODE_A457_length_720_cov_23.488336_NC1	641
NODE_B236_length_720_cov_3.489891_NC1	1408
NODE_A458_length_719_cov_30.194704_NC1	505
NODE_B237_length_719_cov_6.517134_NC1	1831
NODE_A459_length_718_cov_74.873635_NC1	1219
NODE_A461_length_717_cov_40.385937_NC1	656
NODE_A462_length_717_cov_21.578125_NC1	519
NODE_A464_length_716_cov_137.881064_NC1	2177
NODE_A465_length_716_cov_69.411581_NC1	1071
NODE_A467_length_715_cov_131.598746_NC1	3758
NODE_A468_length_715_cov_52.484326_NC1	668
NODE_A469_length_715_cov_52.415361_NC1	619
NODE_A470_length_715_cov_40.195925_NC1	629
NODE_A474_length_713_cov_56.614780_NC1	849
NODE_A477_length_711_cov_67.440063_NC1	1056
NODE_A478_length_711_cov_36.813880_NC1	812
NODE_A479_length_710_cov_101.399684_NC1	2120
NODE_A480_length_709_cov_108.303797_NC1	1702
NODE_A482_length_708_cov_35.432647_NC1	889
NODE_A483_length_708_cov_16.819334_NC1	928
NODE_A484_length_707_cov_121.073016_NC1	1899
NODE_B254_length_707_cov_6.747619_NC1	1821
NODE_A486_length_706_cov_43.955485_NC1	813
NODE_A487_length_706_cov_40.829889_NC1	713
NODE_A488_length_705_cov_254.130573_NC1	4616
NODE_A489_length_705_cov_85.601911_NC1	1319
NODE_A490_length_705_cov_83.063694_NC1	1360
NODE_A492_length_704_cov_34.035088_NC1	623
NODE_A495_length_701_cov_78.887821_NC1	1169
NODE_A496_length_700_cov_85.113965_NC1	1913
NODE_A499_length_699_cov_101.073955_NC1	1722
NODE_A500_length_699_cov_78.557878_NC1	1701
NODE_A502_length_698_cov_88.608696_NC1	1675
NODE_A504_length_697_cov_107.783871_NC1	1772
NODE_A505_length_697_cov_36.054839_NC1	616
NODE_A508_length_695_cov_54.187702_NC1	1208
NODE_A511_length_693_cov_85.702922_NC1	1303
NODE_A512_length_692_cov_85.559350_NC1	1321
NODE_A513_length_692_cov_84.829268_NC1	1585
NODE_A514_length_692_cov_50.313821_NC1	1304
NODE_A516_length_691_cov_63.617264_NC1	1322
NODE_A517_length_691_cov_61.969055_NC1	993
NODE_A520_length_689_cov_58.330065_NC1	995
NODE_A521_length_689_cov_44.534314_NC1	922
NODE_A524_length_687_cov_115.862295_NC1	1853
NODE_A525_length_687_cov_36.168852_NC1	960
NODE_A526_length_687_cov_25.911475_NC1	633
NODE_A528_length_686_cov_63.175698_NC1	1308
NODE_A529_length_686_cov_62.057471_NC1	1031
NODE_A531_length_685_cov_26.972039_NC1	525
NODE_A533_length_684_cov_25.642504_NC1	597
NODE_A534_length_684_cov_23.135091_NC1	760
NODE_A536_length_683_cov_35.074257_NC1	524
NODE_A537_length_683_cov_30.676568_NC1	498
NODE_B291_length_683_cov_4.240924_NC1	726
NODE_A540_length_682_cov_14.072727_NC1	768
NODE_A541_length_681_cov_185.610927_NC1	2959
NODE_B294_length_681_cov_4.817881_NC1	679
NODE_A542_length_680_cov_90.394693_NC1	1212
NODE_A543_length_680_cov_83.527363_NC1	1063
NODE_A544_length_680_cov_54.781095_NC1	925
NODE_A546_length_679_cov_42.028239_NC1	772
NODE_B297_length_679_cov_5.657807_NC1	1303
NODE_A547_length_678_cov_74.966722_NC1	1140
NODE_A548_length_678_cov_31.810316_NC1	857
NODE_A549_length_677_cov_134.335000_NC1	2207
NODE_A551_length_677_cov_69.781667_NC1	1253
NODE_A553_length_676_cov_38.026711_NC1	921
NODE_A554_length_676_cov_25.372287_NC1	472
NODE_A555_length_675_cov_100.098662_NC1	2007
NODE_A556_length_675_cov_72.096990_NC1	1097
NODE_A561_length_674_cov_60.219430_NC1	699
NODE_A563_length_673_cov_73.597315_NC1	1084
NODE_A564_length_673_cov_70.046980_NC1	1262
NODE_A565_length_673_cov_39.765101_NC1	933
NODE_A567_length_672_cov_49.910924_NC1	813
NODE_A568_length_672_cov_28.361345_NC1	465
NODE_B303_length_672_cov_5.146218_NC1	1045
NODE_A570_length_671_cov_29.210438_NC1	470
NODE_A572_length_671_cov_16.735690_NC1	644
NODE_A573_length_670_cov_79.284992_NC1	1155
NODE_A574_length_669_cov_27.488176_NC1	859
NODE_A576_length_668_cov_22.499154_NC1	536
NODE_B309_length_668_cov_6.027073_NC1	1237
NODE_A577_length_667_cov_93.910169_NC1	1544
NODE_A578_length_667_cov_22.642373_NC1	460
NODE_A579_length_666_cov_188.901528_NC1	3059
NODE_A581_length_664_cov_27.379898_NC1	489
NODE_A583_length_661_cov_53.229452_NC1	728
NODE_A584_length_660_cov_84.332762_NC1	1560
NODE_A585_length_660_cov_69.524871_NC1	900
NODE_A587_length_660_cov_56.241852_NC1	989
NODE_A588_length_660_cov_35.915952_NC1	659
NODE_A590_length_659_cov_42.183849_NC1	832
NODE_A591_length_659_cov_32.823024_NC1	560
NODE_A592_length_659_cov_32.506873_NC1	508
NODE_A597_length_658_cov_34.855422_NC1	779
NODE_A600_length_657_cov_51.977586_NC1	753
NODE_A601_length_657_cov_41.151724_NC1	672
NODE_A603_length_656_cov_105.215889_NC1	1993
NODE_A604_length_656_cov_81.131261_NC1	1392
NODE_A607_length_655_cov_30.134948_NC1	692
NODE_A608_length_655_cov_29.513841_NC1	490
NODE_A609_length_654_cov_161.006932_NC1	2669
NODE_A610_length_654_cov_68.965338_NC1	949
NODE_A611_length_654_cov_59.358752_NC1	999
NODE_A613_length_654_cov_35.830156_NC1	607
NODE_A614_length_653_cov_187.088542_NC1	3002
NODE_A615_length_653_cov_90.711806_NC1	1783
NODE_A616_length_653_cov_85.093750_NC1	1208
NODE_A618_length_653_cov_52.029514_NC1	767
NODE_A622_length_652_cov_75.758261_NC1	1035
NODE_A623_length_652_cov_58.212174_NC1	941
NODE_A624_length_651_cov_50.006969_NC1	662
NODE_A625_length_651_cov_36.942509_NC1	642
NODE_A626_length_651_cov_24.386760_NC1	602
NODE_A627_length_650_cov_59.123909_NC1	1085
NODE_A630_length_649_cov_98.237762_NC1	1994
NODE_A631_length_648_cov_82.527145_NC1	1752
NODE_A634_length_647_cov_241.049123_NC1	3637
NODE_A635_length_647_cov_165.273684_NC1	1584
NODE_A636_length_647_cov_97.610526_NC1	1407
NODE_A638_length_646_cov_32.244288_NC1	638
NODE_B339_length_646_cov_3.240773_NC1	800
NODE_A640_length_645_cov_130.200704_NC1	2149
NODE_B343_length_644_cov_9.202822_NC1	1735
NODE_C15_length_644_cov_3.347443_NC1	2949
NODE_A647_length_643_cov_72.298587_NC1	974
NODE_A648_length_643_cov_19.024735_NC1	487
NODE_A649_length_642_cov_47.288496_NC1	814
NODE_A650_length_642_cov_46.925664_NC1	694
NODE_A652_length_641_cov_48.074468_NC1	545
NODE_A656_length_640_cov_113.388988_NC1	2220
NODE_B357_length_638_cov_17.967914_NC1	3288
NODE_B362_length_637_cov_3.669643_NC1	871
NODE_A666_length_636_cov_75.867621_NC1	1114
NODE_A667_length_636_cov_61.398927_NC1	1187
NODE_A671_length_635_cov_99.913978_NC1	1556
NODE_A672_length_635_cov_69.189964_NC1	928
NODE_A674_length_635_cov_39.738351_NC1	621
NODE_A675_length_635_cov_37.263441_NC1	765
NODE_A677_length_634_cov_102.551167_NC1	1905
NODE_A679_length_633_cov_41.723022_NC1	714
NODE_A683_length_630_cov_106.207957_NC1	1516
NODE_A684_length_630_cov_54.282098_NC1	749
NODE_A687_length_629_cov_32.690217_NC1	599
NODE_A689_length_628_cov_57.535390_NC1	771
NODE_A690_length_628_cov_18.234120_NC1	658
NODE_A695_length_627_cov_103.301818_NC1	1408
NODE_A696_length_627_cov_61.394545_NC1	1408
NODE_A699_length_626_cov_284.939891_NC1	4692
NODE_A700_length_626_cov_37.340619_NC1	633
NODE_A701_length_626_cov_34.342441_NC1	930
NODE_A702_length_626_cov_26.799636_NC1	449
NODE_A707_length_625_cov_40.677007_NC1	1097
NODE_A709_length_622_cov_59.363303_NC1	793
NODE_A710_length_622_cov_33.983486_NC1	646
NODE_A711_length_622_cov_30.906422_NC1	489
NODE_A712_length_621_cov_46.373162_NC1	673
NODE_A713_length_620_cov_92.337017_NC1	829
NODE_A714_length_620_cov_37.769797_NC1	576
NODE_A715_length_620_cov_22.073665_NC1	414
NODE_A717_length_619_cov_82.857934_NC1	1133
NODE_A718_length_619_cov_58.725092_NC1	864
NODE_A719_length_619_cov_45.444649_NC1	782
NODE_A720_length_619_cov_36.352399_NC1	485
NODE_A721_length_619_cov_33.669742_NC1	461
NODE_A723_length_618_cov_173.872458_NC1	1550
NODE_A724_length_618_cov_61.842884_NC1	886
NODE_A725_length_618_cov_60.469501_NC1	1161
NODE_A726_length_618_cov_49.149723_NC1	936
NODE_A727_length_618_cov_33.471349_NC1	811
NODE_A730_length_616_cov_100.085343_NC1	1341
NODE_A731_length_616_cov_22.675325_NC1	453
NODE_A732_length_615_cov_79.921933_NC1	1068
NODE_A733_length_615_cov_79.721190_NC1	1112
NODE_A734_length_615_cov_72.808550_NC1	1180
NODE_A735_length_615_cov_65.055762_NC1	1246
NODE_A736_length_615_cov_60.828996_NC1	913
NODE_A737_length_615_cov_39.931227_NC1	487
NODE_A738_length_615_cov_30.520446_NC1	494
NODE_B396_length_615_cov_2.823420_NC1	609
NODE_A742_length_613_cov_92.055970_NC1	1325
NODE_A743_length_613_cov_48.233209_NC1	624
NODE_A744_length_613_cov_35.940299_NC1	537
NODE_A747_length_612_cov_20.661682_NC1	441
NODE_B399_length_612_cov_6.811215_NC1	1072
NODE_A750_length_611_cov_95.571161_NC1	1327
NODE_A751_length_611_cov_86.595506_NC1	1247
NODE_A752_length_611_cov_33.563670_NC1	494
NODE_A753_length_610_cov_41.885553_NC1	613
NODE_A754_length_610_cov_40.279550_NC1	537
NODE_A758_length_609_cov_87.808271_NC1	1148
NODE_A759_length_608_cov_131.263653_NC1	2220
NODE_A761_length_608_cov_46.922787_NC1	684
NODE_A762_length_608_cov_23.386064_NC1	599
NODE_A763_length_608_cov_19.956685_NC1	566
NODE_A765_length_607_cov_95.964151_NC1	1376
NODE_A766_length_607_cov_68.439623_NC1	882
NODE_A770_length_606_cov_90.455577_NC1	1139
NODE_B417_length_606_cov_6.272212_NC1	1066
NODE_A772_length_605_cov_57.996212_NC1	851
NODE_A773_length_605_cov_52.420455_NC1	709
NODE_A775_length_603_cov_68.404943_NC1	1136
NODE_A776_length_603_cov_42.382129_NC1	855
NODE_A777_length_603_cov_39.207224_NC1	529
NODE_A778_length_603_cov_34.973384_NC1	493
NODE_A781_length_602_cov_107.520000_NC1	1542
NODE_A782_length_602_cov_98.348571_NC1	1441
NODE_A783_length_602_cov_81.420952_NC1	1338
NODE_A787_length_601_cov_98.524809_NC1	1277
NODE_A788_length_601_cov_39.828244_NC1	499
NODE_A789_length_601_cov_36.793893_NC1	617
NODE_A790_length_601_cov_35.687023_NC1	573
NODE_A791_length_600_cov_46.108987_NC1	672
NODE_A793_length_599_cov_70.425287_NC1	1484
NODE_A794_length_598_cov_29.028791_NC1	539
NODE_A797_length_597_cov_83.296154_NC1	1369
NODE_A798_length_597_cov_74.163462_NC1	1074
NODE_A799_length_597_cov_68.861538_NC1	850
NODE_A805_length_596_cov_47.468208_NC1	666
NODE_A806_length_596_cov_30.709056_NC1	643
NODE_A808_length_596_cov_18.146435_NC1	652
NODE_A810_length_595_cov_56.849421_NC1	744
NODE_A811_length_595_cov_48.472973_NC1	674
NODE_A813_length_594_cov_114.969052_NC1	1761
NODE_A814_length_594_cov_65.135397_NC1	1061
NODE_A815_length_594_cov_31.864603_NC1	598
NODE_B445_length_594_cov_9.446809_NC1	1312
NODE_A818_length_593_cov_39.321705_NC1	1142
NODE_B447_length_593_cov_6.108527_NC1	961
NODE_A819_length_592_cov_97.392233_NC1	1504
NODE_A820_length_592_cov_83.071845_NC1	1511
NODE_A821_length_592_cov_56.592233_NC1	871
NODE_A826_length_591_cov_40.280156_NC1	529
NODE_A827_length_591_cov_32.324903_NC1	479
NODE_A830_length_590_cov_169.668616_NC1	2200
