magnitudes	PMG_SW_6
NODE_A15_length_4994_cov_9189.904007_S17	1187179
NODE_A43_length_2096_cov_142.252600_S17	4905
NODE_A76_length_1614_cov_43.929083_S17	995
NODE_A83_length_1567_cov_16.171812_S17	1270
NODE_A192_length_1157_cov_189.795370_S17	982
NODE_A372_length_896_cov_35.400488_S17	1112
NODE_A569_length_771_cov_18.340058_S17	1023
NODE_A1087_length_589_cov_31.357422_S17	668
NODE_A1184_length_568_cov_49.150713_S17	618
NODE_A1297_length_546_cov_3.573561_S17	497
NODE_A1303_length_545_cov_26.008547_S17	349
NODE_A1432_length_522_cov_9.278652_S17	457
NODE_B187_length_792_cov_124.485315_S19	425207
NODE_A6_length_3028_cov_110.637411_S21	6107
NODE_A18_length_2226_cov_86.037227_S21	1401
NODE_A124_length_1405_cov_115.161145_S21	1402
NODE_A162_length_1308_cov_1004.818846_S21	3455
NODE_A175_length_1293_cov_287.904605_S21	3569
NODE_A187_length_1274_cov_20.958229_S21	1014
NODE_A247_length_1170_cov_137.830741_S21	790
NODE_A253_length_1160_cov_156.846722_S21	1948
NODE_A362_length_1040_cov_104.188993_S21	696
NODE_A398_length_1006_cov_17.121636_S21	683
NODE_A575_length_912_cov_33.234731_S21	965
NODE_A639_length_881_cov_43.064677_S21	775
NODE_A724_length_848_cov_672.041505_S21	6366
NODE_A817_length_819_cov_408.281671_S21	4312
NODE_A818_length_819_cov_237.039084_S21	11804
NODE_A950_length_785_cov_800.841808_S21	4243
NODE_A1100_length_749_cov_2161.334821_S21	81382
NODE_A1678_length_650_cov_259.626527_S21	3400
NODE_B548_length_647_cov_4.787719_S21	494
NODE_A2114_length_598_cov_81.798464_S21	556
NODE_A2976_length_528_cov_40.977827_S21	459
NODE_A3158_length_517_cov_120.743182_S21	562
NODE_A3343_length_508_cov_71.450116_S21	454
NODE_A562_length_692_cov_14.731707_S23	2704
NODE_A23_length_3205_cov_47.009591_S24	3196
NODE_A138_length_1349_cov_83.693396_S24	878
NODE_A346_length_980_cov_49.918051_S24	689
NODE_A375_length_954_cov_91.954390_S24	1037
NODE_A432_length_907_cov_28.697590_S24	744
NODE_A478_length_876_cov_54.478098_S24	695
NODE_A540_length_839_cov_45.486877_S24	721
NODE_A552_length_832_cov_54.929801_S24	833
NODE_A559_length_830_cov_39.042497_S24	897
NODE_A615_length_805_cov_8.484890_S24	600
NODE_A750_length_751_cov_43.074184_S24	497
NODE_A761_length_747_cov_137.786567_S24	676
NODE_A983_length_691_cov_71.167752_S24	617
NODE_A1046_length_675_cov_279.295987_S24	1871
NODE_A1226_length_634_cov_78.152603_S24	1127
NODE_A1412_length_604_cov_33.223909_S24	494
NODE_A1433_length_599_cov_76.620690_S24	850
NODE_A1472_length_595_cov_70.083012_S24	548
NODE_A1680_length_567_cov_62.273469_S24	871
NODE_A2119_length_519_cov_24.298643_S24	378
NODE_A17_length_15349_cov_1246.287323_S25	105360
NODE_A178_length_1222_cov_13.122271_S25	1347
NODE_A248_length_1022_cov_75.717460_S25	47199
NODE_A4_length_2806_cov_29365.524368_S27	3141064
NODE_B1851_length_608_cov_3.261770_S30	495
NODE_A1233_length_519_cov_9.128959_S33	1705
NODE_A150_length_1248_cov_28.818958_S34	1231
NODE_A106_length_1394_cov_505.990888_S37	2850
NODE_A154_length_1192_cov_9.295067_S37	2022
NODE_A255_length_974_cov_6.739130_S37	722
NODE_B94_length_815_cov_165.056911_S37	5079
NODE_A515_length_759_cov_50.677419_S37	567
NODE_A753_length_656_cov_10.445596_S37	598
NODE_A983_length_593_cov_328.742248_S37	740
NODE_A1022_length_584_cov_79.867850_S37	348
NODE_A1233_length_543_cov_1884.304721_S37	498
NODE_C60_length_535_cov_52.443231_S37	1240
NODE_A37_length_2089_cov_14.657555_S41	1280
NODE_A66_length_1674_cov_15.810895_S41	4378
NODE_A73_length_1632_cov_114.691961_S41	1540
NODE_A176_length_1162_cov_34.857143_S41	1133
NODE_A190_length_1117_cov_121.125962_S41	4384
NODE_A197_length_1101_cov_239.723633_S41	1097
NODE_A273_length_941_cov_41.432870_S41	2688
NODE_A295_length_910_cov_34.290516_S41	632
NODE_A310_length_895_cov_78.333741_S41	1048
NODE_B59_length_875_cov_6.721805_S41	802
NODE_A781_length_607_cov_153.971698_S41	1219
NODE_A801_length_597_cov_4.242308_S41	378
NODE_A1119_length_521_cov_32.795045_S41	634
NODE_A27_length_3481_cov_93.207109_S42	3107
NODE_B29_length_2230_cov_4.231305_S44	6653
NODE_B165_length_749_cov_17.587798_S44	949
NODE_C49_length_634_cov_9.766607_S44	520
NODE_A206_length_601_cov_4.307252_S45	489
NODE_A16_length_3945_cov_15.158738_S47	47850
NODE_A75_length_1509_cov_7.684358_S47	3141
NODE_A86_length_1454_cov_22.978940_S47	1096
NODE_A110_length_1326_cov_22.958367_S47	1076
NODE_A148_length_1227_cov_13.520000_S47	868
NODE_B52_length_1069_cov_1.659274_S47	795
NODE_A268_length_983_cov_272.215232_S47	13918
NODE_A308_length_938_cov_132.658537_S47	18782
NODE_A322_length_916_cov_32.522050_S47	1207
NODE_A498_length_784_cov_21.398868_S47	799
NODE_A536_length_764_cov_15.161572_S47	499
NODE_A834_length_667_cov_10.764407_S47	724
NODE_A844_length_665_cov_87.649660_S47	1835
NODE_A1036_length_628_cov_7.468240_S47	500
NODE_A1378_length_574_cov_5.573441_S47	356
NODE_A200_length_1429_cov_542.165680_S6	9183
NODE_A256_length_1334_cov_19.710422_S6	1015
NODE_A800_length_873_cov_514.888191_S6	22707
NODE_A853_length_852_cov_220.752258_S6	897
NODE_A889_length_834_cov_1742.047556_S6	2249
NODE_A935_length_818_cov_9.593792_S6	814
NODE_A1087_length_772_cov_34.333813_S6	595
NODE_B385_length_703_cov_139.857827_S6	1664
NODE_A2317_length_571_cov_32.957490_S6	524
NODE_A2865_length_518_cov_3.321995_S6	627
NODE_A198_length_2282_cov_26.738322_S9	2229
NODE_A2951_length_748_cov_41.186289_S9	1124
NODE_C23_length_602_cov_674.215238_S9	1350251
NODE_A4885_length_583_cov_6.120553_S9	441
