magnitudes	PMG_SW_6
NODE_A1757_length_534_cov_14.929978_S22	1171
NODE_A4982_length_519_cov_1.463801_S44	414
NODE_A5050_length_515_cov_23.543379_S44	410
NODE_A2171_length_555_cov_103.161088_S4	753
NODE_A10_length_3617_cov_26.400000_S1	7574
NODE_A14_length_3198_cov_31.929830_S1	2715
NODE_A15_length_3162_cov_31.393193_S1	2367
NODE_B1_length_2920_cov_116.735842_S1	44711
NODE_B2_length_2621_cov_699.047956_S1	342212
NODE_A30_length_2562_cov_34.264789_S1	2573
NODE_A53_length_1904_cov_87.666667_S1	5077
NODE_A61_length_1835_cov_40.876564_S1	1798
NODE_A117_length_1384_cov_36.801836_S1	1318
NODE_A123_length_1367_cov_53.200775_S1	1975
NODE_A128_length_1347_cov_68.749606_S1	2222
NODE_A144_length_1275_cov_29.756260_S1	812
NODE_A173_length_1190_cov_54.157233_S1	1544
NODE_A210_length_1094_cov_55.186824_S1	847
NODE_A221_length_1068_cov_54.363269_S1	1399
NODE_A244_length_1033_cov_202.735356_S1	5285
NODE_A253_length_1026_cov_175.904110_S1	4292
NODE_A288_length_974_cov_227.031215_S1	5531
NODE_A294_length_969_cov_57.905830_S1	1118
NODE_A311_length_944_cov_28.130334_S1	614
NODE_A316_length_937_cov_32.587209_S1	761
NODE_B48_length_937_cov_10.217442_S1	1568
NODE_C8_length_909_cov_4.775240_S1	11402
NODE_A345_length_903_cov_389.578692_S1	11805
NODE_A352_length_895_cov_388.638142_S1	7472
NODE_A436_length_833_cov_265.755291_S1	5589
NODE_A473_length_813_cov_49.385870_S1	978
NODE_A487_length_801_cov_30.190608_S1	550
NODE_A494_length_797_cov_1135.662500_S1	21113
NODE_A561_length_751_cov_209.283383_S1	4098
NODE_A573_length_745_cov_13.562874_S1	466
NODE_A582_length_740_cov_37.324284_S1	636
NODE_A587_length_737_cov_32.101515_S1	554
NODE_A652_length_705_cov_57.654459_S1	881
NODE_A753_length_658_cov_36.900172_S1	662
NODE_B148_length_657_cov_5.791379_S1	536
NODE_A821_length_634_cov_44.143627_S1	609
NODE_A1047_length_576_cov_41.168337_S1	490
NODE_A1095_length_566_cov_34.235174_S1	437
NODE_B221_length_565_cov_7.331967_S1	615
