magnitudes	MMG_SW_4
NODE_C60_length_535_cov_52.443231_S37	110585
NODE_A266_length_2862_cov_65.347935_S38	1816
NODE_A3840_length_1022_cov_20.626455_S38	3060
NODE_A14170_length_528_cov_7.565410_S38	513
NODE_A73_length_1632_cov_114.691961_S41	2466
NODE_A91_length_1519_cov_35.300971_S41	1286
NODE_A176_length_1162_cov_34.857143_S41	959
NODE_A190_length_1117_cov_121.125962_S41	1781
NODE_A197_length_1101_cov_239.723633_S41	3383
NODE_A233_length_1025_cov_492.495781_S41	2183
NODE_A273_length_941_cov_41.432870_S41	8848
NODE_A295_length_910_cov_34.290516_S41	822
NODE_A310_length_895_cov_78.333741_S41	1404
NODE_B59_length_875_cov_6.721805_S41	1040
NODE_A446_length_757_cov_24.723529_S41	563
NODE_A741_length_622_cov_3.077064_S41	19979
NODE_A781_length_607_cov_153.971698_S41	2156
NODE_A1086_length_527_cov_42.400000_S41	377
NODE_A47_length_2406_cov_21.644483_S44	1560
NODE_A2_length_29617_cov_204.370379_S45	53207
NODE_B4_length_7232_cov_30.231307_S45	9236
NODE_A10_length_4745_cov_282.483290_S45	3992
NODE_B7_length_3443_cov_18.106061_S45	2806
NODE_B62_length_604_cov_2.064516_S45	19164
NODE_A206_length_601_cov_4.307252_S45	20238
NODE_B1_length_21906_cov_24.206606_S47	19397
NODE_A61_length_1664_cov_5.951481_S47	3827
NODE_A110_length_1326_cov_22.958367_S47	33236
NODE_A148_length_1227_cov_13.520000_S47	2297
NODE_A255_length_999_cov_14.802603_S47	993
NODE_A308_length_938_cov_132.658537_S47	361379
NODE_A322_length_916_cov_32.522050_S47	12619
NODE_A498_length_784_cov_21.398868_S47	1039
NODE_A603_length_736_cov_17.775417_S47	23702
NODE_A834_length_667_cov_10.764407_S47	918
NODE_A1223_length_595_cov_6.328185_S47	387
NODE_A2299_length_508_cov_34.603248_S47	1522
NODE_A200_length_1429_cov_542.165680_S6	84055
NODE_A256_length_1334_cov_19.710422_S6	1361
NODE_A641_length_952_cov_711.971429_S6	28057
NODE_A800_length_873_cov_514.888191_S6	62257
NODE_A853_length_852_cov_220.752258_S6	17019
NODE_A889_length_834_cov_1742.047556_S6	90108
NODE_A935_length_818_cov_9.593792_S6	676
NODE_A1087_length_772_cov_34.333813_S6	1368
NODE_B385_length_703_cov_139.857827_S6	54133
NODE_A1694_length_650_cov_518.596859_S6	13972
NODE_A1713_length_647_cov_13.947368_S6	458
NODE_A2317_length_571_cov_32.957490_S6	541
NODE_A2865_length_518_cov_3.321995_S6	349
NODE_A2876_length_516_cov_29.954442_S6	735
NODE_A6237_length_516_cov_3.036446_S7	3564
NODE_B4_length_11953_cov_123.444847_S8	9326
NODE_B31_length_3912_cov_103.067275_S8	2939
NODE_A454_length_637_cov_14.935714_S8	646
NODE_A198_length_2282_cov_26.738322_S9	1536
NODE_A2909_length_754_cov_3.172821_S9	544
NODE_A2951_length_748_cov_41.186289_S9	565
NODE_C23_length_602_cov_674.215238_S9	857126
NODE_A4885_length_583_cov_6.120553_S9	1048
