magnitudes	CF6_5
NODE_B82_length_1007_cov_6.770968_S36	2350
NODE_A374_length_1002_cov_17.360000_S36	896
NODE_B87_length_995_cov_14.251634_S36	5192
NODE_B89_length_993_cov_15.056769_S36	18086
NODE_B97_length_964_cov_3.313416_S36	1001
NODE_B101_length_962_cov_10.079096_S36	1436
NODE_B103_length_956_cov_3.937429_S36	1403
NODE_A407_length_954_cov_5.019384_S36	2275
NODE_A408_length_953_cov_5.130137_S36	1515
NODE_B104_length_953_cov_3.014840_S36	849
NODE_A415_length_942_cov_30.522543_S36	963
NODE_B111_length_942_cov_4.790751_S36	1301
NODE_A416_length_941_cov_12.069444_S36	892
NODE_B119_length_921_cov_8.425355_S36	4110
NODE_B120_length_921_cov_1.385071_S36	977
NODE_B123_length_914_cov_3.111111_S36	885
NODE_A450_length_913_cov_22.736842_S36	970
NODE_A454_length_910_cov_11.379352_S36	810
NODE_A457_length_908_cov_38.919374_S36	813
NODE_A465_length_902_cov_19.066667_S36	753
NODE_B128_length_901_cov_10.150485_S36	3236
NODE_A474_length_896_cov_96.029304_S36	1186
NODE_B130_length_893_cov_21.263480_S36	6043
NODE_A488_length_885_cov_12.420792_S36	963
NODE_B139_length_883_cov_11.006203_S36	3369
NODE_A491_length_881_cov_11.006219_S36	680
NODE_B145_length_875_cov_4.026316_S36	986
NODE_A504_length_871_cov_32.943325_S36	1403
NODE_B149_length_870_cov_6.134931_S36	784
NODE_B150_length_868_cov_14.303413_S36	5813
NODE_A513_length_861_cov_6.042092_S36	1038
NODE_A522_length_857_cov_7.514103_S36	877
NODE_A525_length_855_cov_19.413882_S36	1427
NODE_B157_length_854_cov_11.918919_S36	3343
NODE_B158_length_854_cov_5.602317_S36	890
NODE_A533_length_852_cov_7.174194_S36	1335
NODE_A534_length_852_cov_6.110968_S36	1152
NODE_A539_length_848_cov_9.766537_S36	989
NODE_A545_length_845_cov_3.472656_S36	1108
NODE_A546_length_844_cov_54.513690_S36	1116
NODE_A552_length_837_cov_31.831579_S36	629
NODE_A557_length_834_cov_5.663144_S36	1030
NODE_A559_length_832_cov_5.523179_S36	679
NODE_A565_length_828_cov_13.320905_S36	697
NODE_B181_length_818_cov_1.766532_S36	888
NODE_B184_length_814_cov_6.407056_S36	1995
NODE_B185_length_812_cov_13.715646_S36	3266
NODE_B187_length_809_cov_8.267760_S36	4768
NODE_B188_length_809_cov_5.632514_S36	811
NODE_B191_length_805_cov_2.486264_S36	977
NODE_A612_length_801_cov_5.987569_S36	590
NODE_A624_length_796_cov_8.735744_S36	670
NODE_A627_length_792_cov_10.553846_S36	3993
NODE_B196_length_790_cov_5.333801_S36	901
NODE_A631_length_789_cov_13.987360_S36	758
NODE_A640_length_787_cov_26.023944_S36	626
NODE_B208_length_782_cov_15.259574_S36	8673
NODE_B209_length_782_cov_4.933333_S36	779
NODE_B215_length_779_cov_3.609687_S36	945
NODE_A667_length_777_cov_6.907143_S36	871
NODE_B219_length_776_cov_9.414878_S36	4756
NODE_B222_length_776_cov_4.121602_S36	1973
NODE_A683_length_770_cov_81.744589_S36	2190
NODE_B228_length_770_cov_3.010101_S36	1309
NODE_C5_length_769_cov_10.556358_S36	30540
NODE_A697_length_765_cov_10.081395_S36	725
NODE_B235_length_763_cov_3.154519_S36	7958
NODE_A702_length_761_cov_15.214912_S36	930
NODE_A710_length_759_cov_14.564516_S36	746
NODE_A712_length_759_cov_4.199413_S36	822
NODE_A714_length_758_cov_37.133627_S36	2559
NODE_A719_length_757_cov_11.870588_S36	1521
NODE_A720_length_757_cov_9.722059_S36	1159
NODE_A730_length_754_cov_2.326440_S36	3021
NODE_A736_length_752_cov_6.899259_S36	668
NODE_B242_length_751_cov_18.878338_S36	3063
NODE_B244_length_750_cov_7.573551_S36	3636
NODE_A746_length_749_cov_10.110119_S36	668
NODE_B246_length_748_cov_5.611028_S36	3229
NODE_B249_length_746_cov_9.938714_S36	2279
NODE_B251_length_746_cov_2.705531_S36	812
NODE_A760_length_744_cov_10.539730_S36	629
NODE_B254_length_744_cov_6.475262_S36	1700
NODE_B257_length_741_cov_3.945783_S36	1402
NODE_A775_length_739_cov_15.086103_S36	1124
NODE_B262_length_737_cov_3.463636_S36	676
NODE_B264_length_735_cov_22.793313_S36	2213
NODE_A804_length_732_cov_15.557252_S36	549
NODE_B272_length_729_cov_7.860429_S36	2745
NODE_B273_length_729_cov_4.116564_S36	2058
NODE_A821_length_728_cov_7.764977_S36	766
NODE_B275_length_727_cov_3.506154_S36	941
NODE_A828_length_726_cov_4.782743_S36	629
NODE_B276_length_725_cov_5.682099_S36	707
NODE_A843_length_721_cov_18.773292_S36	564
NODE_B281_length_719_cov_5.447040_S36	980
NODE_B287_length_716_cov_3.782473_S36	772
NODE_A861_length_714_cov_4.353218_S36	805
NODE_A873_length_711_cov_10.645110_S36	585
NODE_A877_length_708_cov_4.399366_S36	1515
NODE_B303_length_708_cov_7.386688_S36	1595
NODE_B307_length_705_cov_4.300955_S36	764
NODE_B308_length_705_cov_2.501592_S36	1056
NODE_A891_length_703_cov_12.376997_S36	969
NODE_A892_length_703_cov_5.956869_S36	641
NODE_B313_length_698_cov_4.748792_S36	1520
NODE_C6_length_697_cov_3.719355_S36	10214
NODE_B315_length_696_cov_10.374798_S36	764
NODE_A919_length_695_cov_5.367314_S36	1898
NODE_B320_length_693_cov_1.545455_S36	642
NODE_C8_length_692_cov_3.000000_S36	5360
NODE_B321_length_691_cov_9.255700_S36	3249
NODE_A945_length_688_cov_11.592471_S36	697
NODE_C9_length_688_cov_7.453355_S36	5182
NODE_A951_length_687_cov_20.275410_S36	1061
NODE_A956_length_686_cov_18.709360_S36	1089
NODE_A957_length_686_cov_7.566502_S36	918
NODE_B332_length_684_cov_5.390445_S36	590
NODE_A976_length_682_cov_17.452893_S36	1120
NODE_A985_length_679_cov_20.024917_S36	633
NODE_A986_length_679_cov_14.157807_S36	764
NODE_B339_length_679_cov_9.563123_S36	3348
NODE_A1000_length_677_cov_14.441667_S36	3232
NODE_A999_length_677_cov_15.395000_S36	763
NODE_B342_length_677_cov_15.881667_S36	4197
NODE_B346_length_674_cov_3.832496_S36	1604
NODE_A1011_length_673_cov_16.595638_S36	816
NODE_A1012_length_673_cov_9.553691_S36	1151
NODE_A1014_length_673_cov_3.760067_S36	895
NODE_A1033_length_669_cov_59.788851_S36	1063
NODE_A1034_length_669_cov_11.309122_S36	487
NODE_A1041_length_667_cov_6.638983_S36	2599
NODE_A1044_length_667_cov_3.922034_S36	2231
NODE_C14_length_665_cov_2.197279_S36	1518
NODE_A1063_length_664_cov_8.417376_S36	682
NODE_A1068_length_663_cov_5.687713_S36	765
NODE_B368_length_662_cov_2.673504_S36	999
NODE_A1072_length_661_cov_4.933219_S36	659
NODE_B369_length_661_cov_8.982877_S36	2368
NODE_A1095_length_655_cov_7.949827_S36	587
NODE_A1102_length_654_cov_3.927210_S36	581
NODE_B382_length_654_cov_5.259965_S36	1531
NODE_A1103_length_653_cov_49.192708_S36	518
NODE_A1104_length_653_cov_18.281250_S36	1609
NODE_A1114_length_653_cov_2.545139_S36	539
NODE_B389_length_653_cov_0.961806_S36	578
NODE_C16_length_652_cov_2.899130_S36	3424
NODE_B392_length_651_cov_4.397213_S36	1081
NODE_A1132_length_650_cov_7.867365_S36	695
NODE_A1134_length_650_cov_5.532286_S36	1057
NODE_B399_length_649_cov_5.744755_S36	2102
NODE_A1150_length_647_cov_44.768421_S36	589
NODE_A1151_length_647_cov_17.575439_S36	1071
NODE_B403_length_647_cov_3.991228_S36	1867
NODE_B406_length_645_cov_23.704225_S36	8498
NODE_A1171_length_644_cov_40.707231_S36	1827
NODE_B414_length_642_cov_10.146903_S36	1789
NODE_B418_length_640_cov_19.992895_S36	5386
NODE_A1198_length_639_cov_9.969751_S36	852
NODE_B419_length_639_cov_3.754448_S36	656
NODE_B420_length_639_cov_2.368327_S36	1442
NODE_A1202_length_638_cov_14.538324_S36	1337
NODE_A1210_length_637_cov_14.769643_S36	452
NODE_A1214_length_637_cov_4.498214_S36	663
NODE_A1220_length_636_cov_6.057245_S36	2155
NODE_B428_length_634_cov_2.495512_S36	523
NODE_B430_length_633_cov_3.643885_S36	890
NODE_B431_length_633_cov_2.334532_S36	756
NODE_A1257_length_632_cov_6.758559_S36	612
NODE_A1260_length_632_cov_3.709910_S36	2614
NODE_A1266_length_631_cov_11.516245_S36	520
NODE_A1274_length_630_cov_10.461121_S36	539
NODE_B440_length_629_cov_3.634058_S36	701
NODE_A1294_length_627_cov_7.863636_S36	546
NODE_B445_length_626_cov_34.442623_S36	4715
NODE_A1326_length_623_cov_5.868132_S36	788
NODE_A1334_length_622_cov_2.552294_S36	626
NODE_B456_length_622_cov_4.091743_S36	905
NODE_B457_length_621_cov_5.174632_S36	897
NODE_A1345_length_620_cov_9.996317_S36	537
NODE_A1369_length_617_cov_25.027778_S36	515
NODE_A1371_length_617_cov_14.916667_S36	5750
NODE_A1373_length_617_cov_10.061111_S36	2142
NODE_A1375_length_617_cov_7.698148_S36	939
NODE_A1379_length_616_cov_17.003711_S36	679
NODE_A1380_length_616_cov_16.625232_S36	1576
NODE_B467_length_616_cov_5.165121_S36	905
NODE_B468_length_616_cov_4.825603_S36	948
NODE_A1396_length_615_cov_3.081784_S36	671
NODE_A1413_length_612_cov_3.609346_S36	741
NODE_B478_length_612_cov_3.256075_S36	588
NODE_A1424_length_610_cov_22.954972_S36	677
NODE_A1430_length_609_cov_30.776316_S36	878
NODE_A1469_length_605_cov_5.303030_S36	2363
NODE_B491_length_605_cov_9.566288_S36	2253
NODE_A1480_length_604_cov_3.584440_S36	500
NODE_C23_length_604_cov_2.102467_S36	8049
NODE_A1486_length_603_cov_6.460076_S36	2496
NODE_A1487_length_603_cov_5.271863_S36	1304
NODE_B494_length_603_cov_7.557034_S36	1200
NODE_A1492_length_602_cov_27.064762_S36	539
NODE_B499_length_602_cov_2.632381_S36	923
NODE_A1509_length_601_cov_4.711832_S36	578
NODE_A1514_length_601_cov_3.276718_S36	659
NODE_B502_length_601_cov_1.793893_S36	1246
NODE_A1522_length_600_cov_7.365201_S36	626
NODE_A1538_length_598_cov_49.798464_S36	629
NODE_A1540_length_598_cov_20.575816_S36	7378
NODE_B506_length_598_cov_25.518234_S36	2082
NODE_B508_length_598_cov_2.481766_S36	947
NODE_A1543_length_597_cov_23.532692_S36	995
NODE_A1545_length_597_cov_8.959615_S36	679
NODE_A1562_length_596_cov_6.924855_S36	1078
NODE_A1571_length_595_cov_20.306950_S36	544
NODE_B512_length_595_cov_5.260618_S36	738
NODE_A1586_length_594_cov_4.456480_S36	649
NODE_B517_length_594_cov_4.450677_S36	715
NODE_A1606_length_593_cov_5.968992_S36	624
NODE_C27_length_593_cov_1.428295_S36	2158
NODE_A1624_length_591_cov_7.418288_S36	747
NODE_A1634_length_591_cov_3.085603_S36	508
NODE_A1637_length_591_cov_2.608949_S36	1871
NODE_B525_length_590_cov_7.382066_S36	662
NODE_A1648_length_589_cov_31.636719_S36	1282
NODE_A1651_length_589_cov_6.291016_S36	2337
NODE_A1671_length_587_cov_7.601961_S36	499
NODE_A1682_length_586_cov_6.915521_S36	1502
NODE_A1694_length_585_cov_12.407480_S36	1272
NODE_A1695_length_585_cov_5.564961_S36	544
NODE_A1696_length_585_cov_4.874016_S36	586
NODE_A1709_length_584_cov_6.242604_S36	3549
NODE_B540_length_584_cov_5.266272_S36	1301
NODE_B543_length_583_cov_3.869565_S36	1532
NODE_A1736_length_582_cov_8.071287_S36	928
NODE_A1745_length_581_cov_28.470238_S36	976
NODE_A1746_length_581_cov_13.115079_S36	1860
NODE_B548_length_581_cov_5.678571_S36	6790
NODE_A1754_length_580_cov_96.697813_S36	938
NODE_A1757_length_580_cov_6.375746_S36	529
NODE_A1758_length_580_cov_5.683897_S36	2428
NODE_A1759_length_580_cov_5.332008_S36	1933
NODE_A1760_length_580_cov_4.109344_S36	613
NODE_A1765_length_580_cov_1.914513_S36	1616
NODE_B550_length_580_cov_5.314115_S36	2619
NODE_B553_length_579_cov_4.659363_S36	2523
NODE_C34_length_579_cov_1.165339_S36	690
NODE_A1782_length_578_cov_3.598802_S36	2514
NODE_A1794_length_577_cov_15.024000_S36	570
NODE_A1797_length_577_cov_7.094000_S36	517
NODE_A1799_length_577_cov_6.312000_S36	1136
NODE_A1801_length_577_cov_5.266000_S36	573
NODE_C35_length_577_cov_2.756000_S36	1594
NODE_A1815_length_576_cov_5.985972_S36	14494
NODE_A1823_length_575_cov_4.929719_S36	1089
NODE_B567_length_575_cov_3.905622_S36	1293
NODE_B568_length_575_cov_3.387550_S36	1326
NODE_B570_length_575_cov_2.528112_S36	683
NODE_B572_length_574_cov_2.973843_S36	519
NODE_A1845_length_573_cov_9.915323_S36	719
NODE_A1850_length_573_cov_5.417339_S36	3239
NODE_A1859_length_572_cov_5.109091_S36	557
NODE_A1866_length_571_cov_21.157895_S36	1896
NODE_B583_length_570_cov_4.823529_S36	3603
NODE_A1893_length_569_cov_141.333333_S36	979
NODE_A1922_length_567_cov_5.312245_S36	687
NODE_A1925_length_567_cov_4.406122_S36	1138
NODE_A1938_length_566_cov_5.274029_S36	563
NODE_B601_length_564_cov_4.702259_S36	2966
NODE_A1972_length_563_cov_17.567901_S36	707
NODE_A1975_length_563_cov_9.825103_S36	959
NODE_A1991_length_562_cov_4.979381_S36	555
NODE_B604_length_562_cov_4.373196_S36	842
NODE_A2003_length_561_cov_13.845041_S36	870
NODE_A2005_length_561_cov_8.115702_S36	2203
NODE_A2006_length_561_cov_5.570248_S36	701
NODE_A2007_length_561_cov_5.487603_S36	509
NODE_A2014_length_561_cov_3.109504_S36	664
NODE_B608_length_561_cov_5.163223_S36	459
NODE_A2025_length_560_cov_4.505176_S36	1003
NODE_B613_length_560_cov_8.351967_S36	2645
NODE_A2068_length_558_cov_6.232848_S36	556
NODE_A2070_length_558_cov_5.114345_S36	836
NODE_A2082_length_557_cov_10.222917_S36	556
NODE_B621_length_557_cov_6.593750_S36	4180
NODE_B623_length_557_cov_4.247917_S36	1813
NODE_A2090_length_556_cov_13.137787_S36	564
NODE_A2093_length_556_cov_5.826722_S36	1920
NODE_A2095_length_556_cov_4.567850_S36	935
NODE_A2113_length_555_cov_5.165272_S36	912
NODE_A2116_length_555_cov_3.857741_S36	705
NODE_B629_length_555_cov_5.960251_S36	1458
NODE_A2125_length_554_cov_12.454927_S36	440
NODE_A2135_length_554_cov_4.012579_S36	684
NODE_B637_length_554_cov_1.737945_S36	482
NODE_A2167_length_552_cov_4.075789_S36	531
NODE_A2188_length_551_cov_3.632911_S36	706
NODE_A2204_length_550_cov_2.845666_S36	1722
NODE_C43_length_550_cov_1.930233_S36	4233
NODE_A2214_length_549_cov_2.925847_S36	1014
NODE_A2221_length_548_cov_4.256900_S36	493
NODE_A2233_length_547_cov_7.723404_S36	595
NODE_B653_length_547_cov_37.387234_S36	6619
NODE_A2251_length_546_cov_5.240938_S36	2782
NODE_A2255_length_546_cov_3.198294_S36	691
NODE_B659_length_546_cov_6.006397_S36	1088
NODE_B663_length_545_cov_5.141026_S36	1225
NODE_A2282_length_544_cov_3.940043_S36	959
NODE_A2285_length_544_cov_3.261242_S36	519
NODE_A2293_length_543_cov_41.901288_S36	702
NODE_A2296_length_543_cov_11.592275_S36	1115
NODE_B667_length_543_cov_6.302575_S36	1176
NODE_A2310_length_542_cov_17.161290_S36	732
NODE_A2317_length_542_cov_3.703226_S36	587
NODE_B671_length_542_cov_4.591398_S36	1811
NODE_A2329_length_541_cov_3.094828_S36	1187
NODE_A2331_length_541_cov_2.728448_S36	1521
NODE_B677_length_541_cov_13.006466_S36	3562
NODE_A2344_length_540_cov_4.237581_S36	646
NODE_A2345_length_540_cov_4.056156_S36	1133
NODE_A2360_length_539_cov_7.911255_S36	539
NODE_A2364_length_539_cov_5.415584_S36	621
NODE_A2366_length_539_cov_4.538961_S36	1176
NODE_A2367_length_539_cov_4.329004_S36	669
NODE_A2377_length_539_cov_2.365801_S36	1102
NODE_A2392_length_538_cov_4.088937_S36	574
NODE_A2411_length_537_cov_5.915217_S36	656
NODE_A2412_length_537_cov_5.663043_S36	620
NODE_B692_length_537_cov_9.760870_S36	5086
NODE_B694_length_537_cov_5.513043_S36	897
NODE_A2442_length_536_cov_5.601307_S36	1601
NODE_A2454_length_536_cov_2.444444_S36	1152
NODE_A2461_length_535_cov_5.170306_S36	820
NODE_A2462_length_535_cov_4.875546_S36	490
NODE_B701_length_535_cov_20.355895_S36	1936
NODE_A2482_length_534_cov_5.809628_S36	827
NODE_A2483_length_534_cov_5.312910_S36	550
NODE_B706_length_534_cov_20.761488_S36	4939
NODE_B708_length_534_cov_2.137856_S36	2338
NODE_A2493_length_533_cov_29.728070_S36	487
NODE_A2494_length_533_cov_11.855263_S36	1094
NODE_A2497_length_533_cov_4.631579_S36	2061
NODE_B711_length_533_cov_5.921053_S36	466
NODE_B713_length_533_cov_2.885965_S36	1694
NODE_A2518_length_532_cov_4.846154_S36	542
NODE_A2525_length_532_cov_2.989011_S36	379
NODE_A2537_length_531_cov_3.865639_S36	686
NODE_B721_length_531_cov_3.486784_S36	711
NODE_A2564_length_530_cov_2.964680_S36	5681
NODE_A2565_length_530_cov_2.501104_S36	1099
NODE_A2569_length_530_cov_2.161148_S36	635
NODE_A2574_length_529_cov_21.944690_S36	1329
NODE_A2580_length_529_cov_7.015487_S36	1628
NODE_A2585_length_529_cov_4.703540_S36	490
NODE_A2596_length_528_cov_19.348115_S36	1642
NODE_A2597_length_528_cov_13.616408_S36	573
NODE_A2599_length_528_cov_12.636364_S36	8078
NODE_B731_length_528_cov_4.986696_S36	618
NODE_A2615_length_527_cov_24.660000_S36	539
NODE_A2616_length_527_cov_17.680000_S36	462
NODE_A2617_length_527_cov_14.988889_S36	538
NODE_A2620_length_527_cov_5.855556_S36	623
NODE_A2623_length_527_cov_4.066667_S36	818
NODE_A2635_length_527_cov_2.855556_S36	1377
NODE_B736_length_527_cov_5.931111_S36	493
NODE_B739_length_527_cov_2.933333_S36	434
NODE_A2646_length_526_cov_7.986637_S36	531
NODE_A2647_length_526_cov_7.133630_S36	1282
NODE_A2653_length_526_cov_3.944321_S36	13212
NODE_A2654_length_526_cov_3.919822_S36	835
NODE_A2656_length_526_cov_3.478842_S36	1198
NODE_A2660_length_526_cov_2.483296_S36	699
NODE_B742_length_526_cov_2.249443_S36	2756
NODE_A2668_length_525_cov_19.359375_S36	610
NODE_A2669_length_525_cov_8.493304_S36	1333
NODE_A2670_length_525_cov_8.216518_S36	394
NODE_A2671_length_525_cov_7.008929_S36	782
NODE_A2675_length_525_cov_3.758929_S36	505
NODE_B748_length_525_cov_1.328125_S36	558
NODE_C53_length_525_cov_2.881696_S36	7335
NODE_A2687_length_524_cov_8.548098_S36	1522
NODE_A2688_length_524_cov_7.901566_S36	1170
NODE_A2690_length_524_cov_6.051454_S36	590
NODE_A2708_length_523_cov_12.538117_S36	1034
NODE_A2733_length_522_cov_13.568539_S36	2230
NODE_A2736_length_522_cov_5.200000_S36	473
NODE_A2746_length_522_cov_2.914607_S36	515
NODE_A2758_length_521_cov_24.734234_S36	692
NODE_A2759_length_521_cov_15.596847_S36	546
NODE_A2763_length_521_cov_6.378378_S36	491
NODE_A2778_length_521_cov_2.056306_S36	534
NODE_B763_length_521_cov_3.743243_S36	421
NODE_A2782_length_520_cov_60.821670_S36	909
NODE_A2784_length_520_cov_12.571106_S36	464
NODE_A2790_length_520_cov_5.512415_S36	655
NODE_A2793_length_520_cov_4.158014_S36	671
NODE_B766_length_520_cov_19.846501_S36	2793
NODE_B770_length_520_cov_1.519187_S36	609
NODE_A2820_length_519_cov_5.006787_S36	2287
NODE_A2821_length_519_cov_4.918552_S36	1175
NODE_A2822_length_519_cov_3.959276_S36	1213
NODE_A2826_length_519_cov_3.036199_S36	628
NODE_B775_length_519_cov_5.314480_S36	500
NODE_A2841_length_518_cov_15.526077_S36	1561
NODE_A2842_length_518_cov_14.303855_S36	1081
NODE_A2843_length_518_cov_5.886621_S36	399
NODE_A2849_length_518_cov_4.371882_S36	551
NODE_A2854_length_518_cov_2.850340_S36	433
NODE_B782_length_518_cov_2.818594_S36	1650
NODE_C57_length_518_cov_5.698413_S36	16277
NODE_A2862_length_517_cov_7.434091_S36	476
NODE_A2874_length_517_cov_2.859091_S36	837
NODE_A2887_length_516_cov_12.968109_S36	747
NODE_A2889_length_516_cov_10.086560_S36	880
NODE_A2892_length_516_cov_6.845103_S36	855
NODE_A2893_length_516_cov_5.123007_S36	1247
NODE_A2896_length_516_cov_3.738041_S36	894
NODE_A2900_length_516_cov_2.806378_S36	672
NODE_A2902_length_516_cov_2.660592_S36	1107
NODE_C59_length_516_cov_1.904328_S36	1487
NODE_A2910_length_515_cov_21.913242_S36	424
NODE_A2911_length_515_cov_19.477169_S36	588
NODE_A2912_length_515_cov_19.262557_S36	577
NODE_B791_length_515_cov_2.232877_S36	8689
NODE_B792_length_515_cov_2.143836_S36	1129
NODE_A2934_length_514_cov_42.883295_S36	1171
NODE_A2936_length_514_cov_6.947368_S36	1752
NODE_A2943_length_514_cov_4.196796_S36	617
NODE_B795_length_514_cov_3.691076_S36	886
NODE_B796_length_514_cov_3.581236_S36	3157
NODE_A2957_length_513_cov_13.472477_S36	771
NODE_A2960_length_513_cov_9.061927_S36	597
NODE_A2965_length_513_cov_5.233945_S36	482
NODE_B800_length_513_cov_6.938073_S36	1512
NODE_B801_length_513_cov_4.011468_S36	692
NODE_B803_length_513_cov_1.298165_S36	937
NODE_A2997_length_512_cov_3.891954_S36	1154
NODE_B807_length_512_cov_1.459770_S36	879
NODE_A3012_length_511_cov_15.940092_S36	554
NODE_A3014_length_511_cov_11.209677_S36	847
NODE_A3022_length_511_cov_3.758065_S36	1616
NODE_A3030_length_511_cov_2.546083_S36	1369
NODE_B811_length_511_cov_6.237327_S36	1658
NODE_B812_length_511_cov_2.500000_S36	897
NODE_C60_length_511_cov_2.702765_S36	6304
NODE_A3041_length_510_cov_17.903002_S36	1055
NODE_A3052_length_510_cov_4.849885_S36	1058
NODE_A3053_length_510_cov_4.101617_S36	626
NODE_A3056_length_510_cov_3.692841_S36	622
NODE_B818_length_510_cov_3.235566_S36	597
NODE_A3069_length_509_cov_5.134259_S36	518
NODE_A3095_length_508_cov_6.227378_S36	447
NODE_A3096_length_508_cov_5.953596_S36	579
NODE_B825_length_508_cov_5.587007_S36	1737
NODE_A3120_length_507_cov_47.797674_S36	405
NODE_A3122_length_507_cov_15.062791_S36	612
NODE_A3123_length_507_cov_8.834884_S36	1376
NODE_A3143_length_507_cov_1.997674_S36	1174
NODE_A3150_length_506_cov_44.801865_S36	377
NODE_A3160_length_506_cov_3.778555_S36	549
NODE_A3180_length_505_cov_66.182243_S36	568
NODE_A3182_length_505_cov_18.287383_S36	5474
NODE_A3190_length_505_cov_4.030374_S36	398
NODE_A3196_length_505_cov_3.476636_S36	1266
NODE_A3202_length_505_cov_1.885514_S36	467
NODE_B837_length_505_cov_3.983645_S36	1087
NODE_B842_length_505_cov_1.876168_S36	701
NODE_A3215_length_504_cov_3.908665_S36	2051
NODE_C62_length_504_cov_0.709602_S36	1907
NODE_A3231_length_503_cov_51.478873_S36	571
NODE_A3235_length_503_cov_12.718310_S36	534
NODE_B852_length_503_cov_4.070423_S36	1691
NODE_C64_length_503_cov_1.213615_S36	1665
NODE_A3261_length_502_cov_7.665882_S36	539
NODE_A3268_length_502_cov_3.527059_S36	520
NODE_A3269_length_502_cov_3.510588_S36	1436
NODE_A3278_length_502_cov_2.724706_S36	1441
NODE_A3300_length_501_cov_9.490566_S36	809
NODE_A3301_length_501_cov_7.547170_S36	1041
NODE_A3303_length_501_cov_6.212264_S36	655
NODE_A3306_length_501_cov_5.327830_S36	1371
NODE_A3325_length_501_cov_2.509434_S36	607
NODE_A3339_length_500_cov_15.321513_S36	2422
NODE_A3340_length_500_cov_8.439716_S36	509
NODE_A3347_length_500_cov_4.891253_S36	918
NODE_A3350_length_500_cov_4.018913_S36	552
NODE_A3360_length_500_cov_3.089835_S36	1379
NODE_B859_length_500_cov_22.425532_S36	1893
NODE_A1291_length_537_cov_5.047826_S37	1504
NODE_A1570_length_618_cov_7.441774_S4	1643
NODE_A2_length_4263_cov_234.784042_S46	31939
NODE_A5_length_3035_cov_55.660920_S46	6116
NODE_A6_length_2920_cov_16.557158_S46	3672
NODE_A9_length_2751_cov_43.265146_S46	5020
NODE_B2_length_2583_cov_18.250998_S46	17591
NODE_A17_length_2406_cov_26.617003_S46	3331
NODE_A21_length_2245_cov_39.716790_S46	3331
NODE_A22_length_2195_cov_11.100567_S46	2041
NODE_A23_length_2163_cov_29.607383_S46	3075
