magnitudes	CF6_5
NODE_A1574_length_595_cov_8.347490_S36	684
NODE_A2529_length_532_cov_2.329670_S36	562
NODE_A319_length_981_cov_19.066372_S46	1023
NODE_A4925_length_657_cov_2.708621_S10	1031
NODE_A454_length_1334_cov_9.430390_S12	3966
NODE_A4233_length_715_cov_5.294671_S12	964
NODE_A4323_length_711_cov_6.821767_S12	932
NODE_A4982_length_683_cov_5.716172_S12	9135
NODE_A9762_length_557_cov_8.162500_S12	7963
NODE_A11745_length_526_cov_2.396437_S12	709
NODE_A12463_length_515_cov_6.698630_S12	2303
NODE_A919_length_794_cov_9.357043_S21	4435
NODE_A751_length_793_cov_92.645251_S28	964
NODE_A462_length_736_cov_124.878604_S29	524
NODE_B1_length_4690_cov_31.564925_S36	21941
NODE_B2_length_2957_cov_6.518750_S36	4296
NODE_B4_length_2671_cov_5.296453_S36	4120
NODE_A61_length_2292_cov_44.745372_S36	3465
NODE_A69_length_2222_cov_42.142657_S36	1622
NODE_A79_length_2133_cov_35.032588_S36	1608
NODE_A87_length_2078_cov_61.612694_S36	1836
NODE_A93_length_2050_cov_38.176381_S36	2015
NODE_A98_length_2018_cov_14.201443_S36	1751
NODE_A101_length_1994_cov_53.145018_S36	3213
NODE_B7_length_1905_cov_13.714989_S36	6445
NODE_A115_length_1885_cov_270.537058_S36	2102
NODE_A125_length_1797_cov_30.052907_S36	2148
NODE_A151_length_1620_cov_40.005185_S36	2204
NODE_A163_length_1560_cov_18.798382_S36	1712
NODE_B21_length_1501_cov_5.698034_S36	1894
NODE_B23_length_1462_cov_14.457040_S36	6042
NODE_A201_length_1386_cov_30.773109_S36	1400
NODE_B27_length_1386_cov_8.336134_S36	2567
NODE_B29_length_1378_cov_9.348194_S36	2089
NODE_B30_length_1376_cov_5.065435_S36	1911
NODE_A204_length_1368_cov_25.627421_S36	1089
NODE_A210_length_1358_cov_17.132709_S36	1461
NODE_A213_length_1346_cov_44.043341_S36	1414
NODE_B33_length_1320_cov_6.999195_S36	2017
NODE_A226_length_1308_cov_34.504468_S36	1544
NODE_A229_length_1304_cov_26.207009_S36	1078
NODE_B47_length_1233_cov_3.252595_S36	1132
NODE_B49_length_1218_cov_9.488168_S36	8378
NODE_B50_length_1211_cov_4.742504_S36	1412
NODE_A259_length_1204_cov_15.296362_S36	2101
NODE_B55_length_1185_cov_7.419675_S36	2479
NODE_A287_length_1161_cov_14.331181_S36	1147
NODE_A290_length_1151_cov_22.548417_S36	1615
NODE_A296_length_1139_cov_9.631827_S36	1134
NODE_A297_length_1138_cov_29.211122_S36	2369
NODE_A299_length_1134_cov_106.676443_S36	1673
NODE_A322_length_1093_cov_18.112205_S36	822
NODE_A325_length_1086_cov_7.747275_S36	1001
NODE_B74_length_1068_cov_15.250252_S36	4411
NODE_B76_length_1044_cov_6.229576_S36	1881
NODE_A347_length_1041_cov_12.109959_S36	764
NODE_B79_length_1028_cov_8.471083_S36	2347
NODE_A365_length_1013_cov_27.804487_S36	959
NODE_B81_length_1008_cov_6.533835_S36	2841
