magnitudes	Hae_SW
NODE_A1036_length_678_cov_3.081531_S24	2549
NODE_A1445_length_599_cov_2.411877_S24	1067
NODE_A46_length_3884_cov_149.199632_S2	3261
NODE_B5_length_17739_cov_615.067490_S25	15598
NODE_A178_length_1222_cov_13.122271_S25	8788
NODE_A542_length_698_cov_6.285024_S25	478
NODE_A682_length_624_cov_19.893967_S25	1528
NODE_A566_length_579_cov_2.629482_S26	2092
NODE_A575_length_571_cov_9.121457_S26	923
NODE_A612_length_546_cov_1.963753_S26	771
NODE_B245_length_537_cov_1.732609_S26	1458
NODE_A4_length_2806_cov_29365.524368_S27	934552
NODE_B5_length_1769_cov_33.682624_S27	4371
NODE_A43_length_1357_cov_49.135937_S27	1287
NODE_A64_length_1223_cov_31.004363_S27	7909
NODE_B28_length_962_cov_15.966102_S27	2548
NODE_A227_length_913_cov_22.061005_S27	1509
NODE_A450_length_756_cov_11.756996_S27	1053
NODE_A578_length_709_cov_14.068038_S27	1608
NODE_A612_length_696_cov_222.373183_S27	1122
NODE_B95_length_677_cov_2.971667_S27	1449
NODE_C5_length_663_cov_0.585324_S27	983
NODE_A757_length_662_cov_24.905983_S27	836
NODE_B107_length_661_cov_5.794521_S27	4715
NODE_B110_length_655_cov_7.634948_S27	882
NODE_B113_length_653_cov_2.508681_S27	999
NODE_A872_length_642_cov_9.099115_S27	634
NODE_A1214_length_594_cov_32.754352_S27	2831
NODE_A1370_length_575_cov_8.983936_S27	677
NODE_A1484_length_565_cov_10.495902_S27	879
NODE_A1533_length_561_cov_7.101240_S27	509
NODE_A1619_length_553_cov_25.079832_S27	619
NODE_B236_length_549_cov_3.896186_S27	756
NODE_A1867_length_536_cov_16.244009_S27	471
NODE_A1913_length_534_cov_12.129103_S27	966
NODE_B259_length_534_cov_12.096280_S27	994
NODE_A1970_length_531_cov_14.887665_S27	1102
NODE_A2041_length_527_cov_14.957778_S27	1463
NODE_A2048_length_527_cov_4.900000_S27	5124
NODE_A2328_length_511_cov_17.347926_S27	668
NODE_A217_length_4354_cov_41.827683_S30	12055
NODE_A396_length_3294_cov_37.682002_S30	5993
NODE_A740_length_2540_cov_30.229801_S30	2835
NODE_B117_length_1627_cov_38.383226_S30	4087
NODE_A2230_length_1582_cov_38.398007_S30	1611
NODE_A2758_length_1442_cov_64.180220_S30	1370
NODE_B324_length_1146_cov_24.715622_S30	5301
NODE_A5009_length_1091_cov_14.744576_S30	912
NODE_A5787_length_1020_cov_13.089077_S30	1251
NODE_B455_length_1010_cov_3.448017_S30	996
NODE_A10067_length_756_cov_14.103093_S30	996
NODE_B1844_length_609_cov_4.674812_S30	1022
NODE_B1851_length_608_cov_3.261770_S30	1875
NODE_A14633_length_605_cov_11.333333_S30	537
NODE_A17034_length_552_cov_31.951579_S30	531
NODE_B225_length_548_cov_0.738854_S33	4059
NODE_A150_length_1248_cov_28.818958_S34	9870
NODE_A157_length_1229_cov_15.807292_S34	1365
NODE_A347_length_850_cov_8.554981_S34	876
NODE_B64_length_804_cov_1.617607_S34	1895
NODE_B89_length_704_cov_2.194577_S34	1852
NODE_A948_length_620_cov_5.795580_S34	1032
NODE_A1474_length_548_cov_3.624204_S34	1061
NODE_A1627_length_536_cov_3.418301_S34	676
NODE_A10_length_4273_cov_21.369161_S3	4943
NODE_A255_length_974_cov_6.739130_S37	7233
NODE_A1252_length_542_cov_2.208602_S37	646
NODE_B248_length_527_cov_0.757778_S37	1324
NODE_A27_length_3481_cov_93.207109_S42	22778
NODE_A60_length_1805_cov_17.223380_S42	2825
NODE_A75_length_1524_cov_33.284727_S42	1332
NODE_A146_length_1032_cov_20.401047_S42	1004
NODE_A299_length_669_cov_13.069257_S42	1325
NODE_B174_length_554_cov_1.639413_S42	1283
NODE_A456_length_550_cov_23.118393_S42	485
NODE_B184_length_539_cov_1.329004_S42	569
NODE_A496_length_529_cov_29.893805_S42	1534
NODE_B9_length_6821_cov_15.918001_S43	5487
NODE_A225_length_1160_cov_5.741459_S43	2099
NODE_A434_length_695_cov_35.163430_S43	1261
NODE_A476_length_653_cov_0.909722_S43	645
NODE_A685_length_524_cov_2.297539_S43	653
NODE_A11_length_4493_cov_30.246150_S44	6134
NODE_B12_length_4427_cov_19.298161_S44	18815
NODE_A13_length_4398_cov_37.690812_S44	6161
NODE_A26_length_3423_cov_34.191273_S44	4067
NODE_A38_length_2762_cov_50.316946_S44	3719
NODE_A47_length_2406_cov_21.644483_S44	4071
NODE_A305_length_1382_cov_17.423755_S44	2711
NODE_C25_length_858_cov_6.763124_S44	2189
NODE_A1959_length_749_cov_5.059524_S44	2245
NODE_B165_length_749_cov_17.587798_S44	2596
NODE_A2285_length_712_cov_89.149606_S44	646
NODE_B177_length_710_cov_8.804107_S44	752
NODE_B204_length_660_cov_5.794168_S44	1184
NODE_C49_length_634_cov_9.766607_S44	3348
NODE_B249_length_609_cov_19.800752_S44	1020
NODE_A3883_length_575_cov_9.598394_S44	593
NODE_C70_length_518_cov_6.414966_S44	1402
NODE_A5432_length_500_cov_3.406619_S44	5386
NODE_A29_length_2081_cov_211.562874_S4	4328
NODE_A215_length_1131_cov_32.848197_S4	2329
NODE_A302_length_1046_cov_74.848297_S4	1888
NODE_B247_length_717_cov_17.517187_S4	1013
NODE_A1046_length_710_cov_16.638231_S4	885
NODE_A1244_length_670_cov_25.446880_S4	1065
NODE_B355_length_639_cov_13.638790_S4	1726
NODE_A1509_length_627_cov_10.114545_S4	691
NODE_B513_length_574_cov_2.384306_S4	1043
NODE_A2138_length_558_cov_11.835759_S4	951
NODE_A2320_length_546_cov_21.812367_S4	978
NODE_A2_length_29617_cov_204.370379_S45	109241
NODE_B4_length_7232_cov_30.231307_S45	20294
NODE_B7_length_3443_cov_18.106061_S45	2845
NODE_A239_length_557_cov_2.210417_S45	1268
NODE_A10_length_4954_cov_30.542137_S47	11192
NODE_A11_length_4410_cov_28.484883_S47	14394
NODE_A12_length_4359_cov_20.546240_S47	4611
NODE_A14_length_4051_cov_55.716910_S47	21681
NODE_A17_length_3918_cov_42.201510_S47	8448
NODE_A18_length_3912_cov_22.781226_S47	4090
NODE_A51_length_1800_cov_35.014510_S47	2847
NODE_A59_length_1675_cov_32.861076_S47	1340
NODE_A73_length_1522_cov_23.752249_S47	1374
NODE_A80_length_1472_cov_32.868817_S47	2495
NODE_A128_length_1281_cov_19.792359_S47	1571
