magnitudes	Swill6_4
NODE_B410_length_755_cov_11.542773_S12	1088
NODE_A5677_length_656_cov_29.331606_S12	1623
NODE_B307_length_998_cov_7.150923_S18	818
NODE_A6338_length_686_cov_65.743842_S18	4237
NODE_A15549_length_527_cov_66.797778_S18	737
NODE_A4667_length_688_cov_22.438625_S5	453
NODE_A5463_length_650_cov_23.034904_S5	3354
NODE_A3_length_15615_cov_333.879586_S12	88618
NODE_B1_length_11330_cov_127.593442_S12	324652
NODE_A9_length_6549_cov_16595.860476_S12	3080305
NODE_C4_length_6321_cov_15.624920_S12	179762
NODE_B8_length_5026_cov_73.265306_S12	41134
NODE_A18_length_4313_cov_44.495987_S12	2937
NODE_A23_length_4051_cov_66.857071_S12	2666
NODE_B13_length_3256_cov_13.962567_S12	2601
NODE_A45_length_3059_cov_157.677398_S12	3746
NODE_A72_length_2535_cov_157.549634_S12	1949
NODE_B18_length_2456_cov_18.944515_S12	3936
NODE_B25_length_1986_cov_11.528549_S12	2285
NODE_B26_length_1973_cov_8.732595_S12	3783
NODE_B27_length_1938_cov_7.701236_S12	1421
NODE_B35_length_1813_cov_9.962558_S12	2586
NODE_C12_length_1813_cov_11.448157_S12	23450
NODE_A215_length_1733_cov_177.129227_S12	3684
NODE_A256_length_1610_cov_50.172864_S12	1304
NODE_A273_length_1579_cov_32.322903_S12	934
NODE_B58_length_1515_cov_6.531989_S12	1549
NODE_B59_length_1514_cov_2.812804_S12	1123
NODE_B60_length_1509_cov_7.800279_S12	1373
NODE_A368_length_1429_cov_117.103550_S12	1853
NODE_A453_length_1334_cov_41.141607_S12	1227
NODE_A469_length_1322_cov_188.371888_S12	4175
NODE_A502_length_1286_cov_28.995037_S12	893
NODE_C21_length_1280_cov_2.106401_S12	3298
NODE_A583_length_1232_cov_187.778355_S12	2455
NODE_A626_length_1196_cov_37.560322_S12	1084
NODE_B141_length_1100_cov_3.566960_S12	960
NODE_B151_length_1085_cov_4.200397_S12	1285
NODE_B157_length_1067_cov_3.493939_S12	643
NODE_B172_length_1042_cov_14.582383_S12	2623
NODE_A1126_length_1013_cov_89.198718_S12	1702
NODE_A1626_length_921_cov_29.690758_S12	663
NODE_B255_length_895_cov_14.825183_S12	1439
NODE_A1965_length_877_cov_25.375000_S12	646
NODE_B277_length_871_cov_7.673804_S12	1290
NODE_A2060_length_866_cov_74.325729_S12	871
NODE_C39_length_846_cov_2.271782_S12	1252
NODE_B299_length_843_cov_8.624021_S12	1666
NODE_A2387_length_833_cov_116.116402_S12	1223
NODE_B314_length_831_cov_2.011936_S12	639
NODE_A2958_length_789_cov_53.460674_S12	776
NODE_A3553_length_752_cov_83.029630_S12	965
NODE_A3736_length_741_cov_21.396084_S12	2153
NODE_A3963_length_728_cov_82.262673_S12	2027
NODE_B476_length_722_cov_3.744186_S12	552
NODE_B479_length_721_cov_8.346273_S12	1037
NODE_B481_length_719_cov_7.552960_S12	1813
NODE_A4228_length_715_cov_7.686520_S12	648
NODE_A4341_length_710_cov_93.812006_S12	695
NODE_A5021_length_681_cov_128.284768_S12	526
NODE_C53_length_680_cov_1.726368_S12	556
NODE_A5068_length_679_cov_16.117940_S12	442
NODE_A5091_length_678_cov_36.615641_S12	801
NODE_A5600_length_659_cov_82.024055_S12	821
NODE_A5854_length_650_cov_14.767888_S12	2421
