magnitudes	WF_CF_5
NODE_A5785_length_621_cov_6.704044_S10	389
NODE_B2_length_2621_cov_699.047956_S1	6053
NODE_A3_length_53022_cov_200.036698_S16	106520
NODE_A11_length_14471_cov_89.235515_S16	10515
NODE_A13_length_11174_cov_115.208254_S16	6961
NODE_A29_length_6585_cov_45.903811_S16	4062
NODE_A39_length_4751_cov_58.075310_S16	2764
NODE_A68_length_3120_cov_676.889911_S16	2818
NODE_B260_length_778_cov_10.081312_S16	668
NODE_A15_length_4994_cov_9189.904007_S17	7506
NODE_B8_length_4011_cov_5.051347_S17	3727
NODE_A999_length_616_cov_6.313544_S17	516
NODE_B1_length_64575_cov_138.535489_S19	2178414
NODE_A3_length_45619_cov_251.714988_S19	229538
NODE_B17_length_3454_cov_14.052710_S19	4362
NODE_A54_length_2686_cov_150.871215_S19	2309
NODE_A55_length_2675_cov_30.923788_S19	1826
NODE_B33_length_2586_cov_6.601036_S19	2021
NODE_A139_length_1559_cov_146.941970_S19	1266
NODE_B187_length_792_cov_124.485315_S19	15844
NODE_C2_length_3895_cov_4.936092_S20	4333
NODE_B52_length_2833_cov_8.209361_S20	2413
NODE_B10_length_7015_cov_26.363361_S22	14865
NODE_A3_length_21412_cov_74.714554_S23	84035
NODE_B7_length_4755_cov_3.915348_S23	9635
NODE_A1300_length_622_cov_4.506422_S24	820
NODE_A2046_length_526_cov_3.681514_S24	1756
NODE_A46_length_3884_cov_149.199632_S2	11051
NODE_C16_length_1684_cov_14.721220_S2	4499
NODE_B286_length_718_cov_2.939158_S2	614
NODE_B4_length_18996_cov_14.510334_S25	288295
NODE_B5_length_17739_cov_615.067490_S25	3934917
NODE_A46_length_3453_cov_71.112263_S25	2788
NODE_A542_length_698_cov_6.285024_S25	411
NODE_B25_length_3329_cov_10.238007_S30	2758
NODE_A511_length_2944_cov_99.553540_S30	3975
NODE_A2758_length_1442_cov_64.180220_S30	1384
NODE_A31_length_3555_cov_1627.451409_S32	11949
NODE_A13_length_9134_cov_156.869604_S33	13697
NODE_A15_length_8254_cov_99.276507_S33	5934
NODE_A30_length_4099_cov_533.389110_S33	4473
NODE_A49_length_2690_cov_48.928052_S33	2160
NODE_A10_length_4273_cov_21.369161_S3	2909
NODE_A230_length_2952_cov_1214.753043_S38	10893
NODE_A266_length_2862_cov_65.347935_S38	3403
NODE_B21_length_2487_cov_130.466805_S38	9052
NODE_B1180_length_733_cov_11.275915_S38	8805
NODE_A15_length_4855_cov_27.221641_S39	7500
NODE_A238_length_824_cov_18.342704_S39	1843
NODE_A6_length_15806_cov_1153.172738_S40	105405
NODE_A41_length_1991_cov_7.110240_S41	2111
NODE_A174_length_909_cov_64.402644_S42	1281
NODE_B9_length_6821_cov_15.918001_S43	18628
NODE_B11_length_4948_cov_10.112913_S43	6042
NODE_A200_length_1260_cov_16.743026_S43	952
NODE_A10_length_4679_cov_70.244024_S44	4319
NODE_B14_length_4245_cov_7.104367_S44	4488
NODE_A47_length_2406_cov_21.644483_S44	3694
NODE_A18_length_2423_cov_29.320119_S4	1663
NODE_A2_length_29617_cov_204.370379_S45	116278
NODE_B4_length_7232_cov_30.231307_S45	18533
NODE_A10_length_4745_cov_282.483290_S45	22533
NODE_B7_length_3443_cov_18.106061_S45	6033
NODE_B79_length_1546_cov_302.064670_S49	1013
NODE_A2_length_16366_cov_68.635644_S6	3153009
NODE_B4_length_6468_cov_13.764669_S6	15569
NODE_B5_length_5275_cov_16.018661_S6	18694
NODE_B61_length_2274_cov_10.475193_S8	1580
NODE_C33_length_1962_cov_65.005836_S8	3479
NODE_B102_length_1569_cov_17.355228_S8	3247
NODE_A15_length_5070_cov_126.267775_S9	14372
NODE_C23_length_602_cov_674.215238_S9	10711
