magnitudes	AMG_CF_6
NODE_A888_length_570_cov_44.324544_S41	697
NODE_A897_length_568_cov_66.431772_S41	771
NODE_A1007_length_543_cov_31.403433_S41	379
NODE_A1028_length_539_cov_98.359307_S41	1071
NODE_A1062_length_531_cov_2005.469163_S41	16649
NODE_A1079_length_528_cov_104.498891_S41	1227
NODE_A1119_length_521_cov_32.795045_S41	412
NODE_A61_length_1664_cov_5.951481_S47	3675
NODE_A86_length_1454_cov_22.978940_S47	878
NODE_A148_length_1227_cov_13.520000_S47	1905
NODE_A255_length_999_cov_14.802603_S47	626
NODE_A498_length_784_cov_21.398868_S47	672
NODE_A834_length_667_cov_10.764407_S47	631
NODE_A2299_length_508_cov_34.603248_S47	704
NODE_A2_length_16366_cov_68.635644_S6	56804
NODE_A256_length_1334_cov_19.710422_S6	987
NODE_A1087_length_772_cov_34.333813_S6	1080
NODE_A2317_length_571_cov_32.957490_S6	481
NODE_A2876_length_516_cov_29.954442_S6	1328
NODE_A198_length_2282_cov_26.738322_S9	1436
NODE_A2909_length_754_cov_3.172821_S9	655
NODE_C23_length_602_cov_674.215238_S9	1026105
NODE_A4885_length_583_cov_6.120553_S9	775
