magnitudes	HG_SW_6
NODE_A1757_length_534_cov_14.929978_S22	9314
NODE_A378_length_798_cov_9.447989_S27	12117
NODE_A604_length_700_cov_31.409310_S27	1188
NODE_A934_length_632_cov_9.378378_S27	1099
NODE_A1147_length_601_cov_27.276718_S27	1838
NODE_A1446_length_568_cov_35.081466_S27	2623
NODE_A2477_length_504_cov_15.344262_S27	1520
NODE_A4982_length_519_cov_1.463801_S44	7576
NODE_A5050_length_515_cov_23.543379_S44	1327
NODE_A1381_length_646_cov_17.216169_S4	3446
NODE_A1735_length_597_cov_5.013462_S4	2322
NODE_A2171_length_555_cov_103.161088_S4	2715
NODE_A19_length_1534_cov_14.082361_S11	3872
NODE_A137_length_589_cov_5.250000_S11	786
NODE_A146_length_565_cov_16.950820_S11	700
NODE_B34_length_548_cov_1.709130_S11	411
NODE_A30_length_2043_cov_4249.867752_S13	4573
NODE_A43_length_3384_cov_34.708800_S14	3558
NODE_A68_length_3013_cov_29.559264_S14	4838
NODE_B9_length_2604_cov_11.339137_S14	10401
NODE_B15_length_2088_cov_13.044754_S14	3396
NODE_A906_length_1330_cov_206.529130_S14	7124
NODE_A974_length_1299_cov_8.486088_S14	973
NODE_A1217_length_1206_cov_13.857396_S14	941
NODE_A1601_length_1087_cov_181.991089_S14	2850
NODE_A1735_length_1047_cov_18.426804_S14	1949
NODE_C19_length_921_cov_1.646919_S14	1493
NODE_A3858_length_739_cov_35.663142_S14	2193
NODE_A4188_length_713_cov_42.001572_S14	990
NODE_B173_length_706_cov_8.637520_S14	864
NODE_B270_length_642_cov_2.941593_S14	1065
NODE_A10_length_3617_cov_26.400000_S1	55956
NODE_B1_length_2920_cov_116.735842_S1	2337
NODE_B2_length_2621_cov_699.047956_S1	215500
NODE_A61_length_1835_cov_40.876564_S1	1241
NODE_A1060_length_573_cov_5.639113_S1	520
NODE_B264_length_514_cov_3.569794_S1	733
NODE_A14_length_5037_cov_276.344758_S17	6490
NODE_A15_length_4994_cov_9189.904007_S17	440034
NODE_A43_length_2096_cov_142.252600_S17	1437
NODE_A1422_length_525_cov_2.337054_S17	896
NODE_B1_length_64575_cov_138.535489_S19	3975264
NODE_A149_length_1515_cov_12.080668_S19	5723
NODE_B187_length_792_cov_124.485315_S19	166835
NODE_A257_length_1091_cov_6.318540_S20	2130
NODE_B183_length_871_cov_4.904282_S20	1302
NODE_A385_length_826_cov_9.622163_S20	708
NODE_A640_length_569_cov_4.473577_S20	569
NODE_A723_length_526_cov_18.670379_S20	2721
NODE_A761_length_512_cov_3.986207_S20	455
NODE_A951_length_785_cov_36.752825_S21	882
NODE_B548_length_647_cov_4.787719_S21	5634
NODE_B756_length_582_cov_1.687129_S21	1049
NODE_B872_length_556_cov_1.691023_S21	1208
NODE_A2817_length_541_cov_10.627155_S21	432
NODE_A3060_length_523_cov_10.410314_S21	1169
NODE_B178_length_798_cov_8.732316_S22	1676
NODE_B348_length_606_cov_10.052930_S22	1353
NODE_A1359_length_583_cov_4.371542_S22	579
NODE_B539_length_515_cov_6.582192_S22	2054
NODE_B556_length_509_cov_6.122685_S22	1316
NODE_A2014_length_508_cov_27.069606_S22	1142
NODE_A752_length_751_cov_3.537092_S24	821
NODE_A1036_length_678_cov_3.081531_S24	2267
NODE_A1445_length_599_cov_2.411877_S24	806
NODE_B5_length_17739_cov_615.067490_S25	242025
NODE_A17_length_15349_cov_1246.287323_S25	170951
NODE_A178_length_1222_cov_13.122271_S25	9220
NODE_A201_length_1152_cov_33.056744_S25	752
NODE_A345_length_874_cov_16.779172_S25	1104
NODE_A682_length_624_cov_19.893967_S25	1138
NODE_A846_length_561_cov_9.923554_S25	2029
NODE_A558_length_587_cov_9.043137_S26	605
NODE_A566_length_579_cov_2.629482_S26	1054
NODE_A575_length_571_cov_9.121457_S26	927
NODE_A612_length_546_cov_1.963753_S26	618
NODE_B245_length_537_cov_1.732609_S26	1573
NODE_A4_length_2806_cov_29365.524368_S27	1079736
NODE_B5_length_1769_cov_33.682624_S27	2977
NODE_A64_length_1223_cov_31.004363_S27	4229
NODE_B28_length_962_cov_15.966102_S27	2169
NODE_A227_length_913_cov_22.061005_S27	1068
NODE_A612_length_696_cov_222.373183_S27	498
NODE_B95_length_677_cov_2.971667_S27	843
NODE_B107_length_661_cov_5.794521_S27	3539
NODE_B110_length_655_cov_7.634948_S27	536
NODE_A872_length_642_cov_9.099115_S27	605
NODE_A1214_length_594_cov_32.754352_S27	1024
NODE_A1484_length_565_cov_10.495902_S27	551
NODE_A1795_length_541_cov_12.984914_S27	439
NODE_A1913_length_534_cov_12.129103_S27	535
NODE_A2041_length_527_cov_14.957778_S27	2041
NODE_A2048_length_527_cov_4.900000_S27	1814
NODE_A214_length_4367_cov_48.766200_S30	3027
NODE_A217_length_4354_cov_41.827683_S30	8983
NODE_A396_length_3294_cov_37.682002_S30	4004
NODE_A740_length_2540_cov_30.229801_S30	1988
NODE_A1538_length_1863_cov_15.517917_S30	3589
NODE_B117_length_1627_cov_38.383226_S30	2618
NODE_B324_length_1146_cov_24.715622_S30	3492
NODE_A5787_length_1020_cov_13.089077_S30	978
NODE_B1844_length_609_cov_4.674812_S30	477
NODE_B1851_length_608_cov_3.261770_S30	1915
NODE_B2982_length_506_cov_3.002331_S30	358
NODE_A77_length_2098_cov_14.993568_S33	7705
NODE_B225_length_548_cov_0.738854_S33	2622
NODE_A150_length_1248_cov_28.818958_S34	8082
NODE_B64_length_804_cov_1.617607_S34	1854
NODE_B89_length_704_cov_2.194577_S34	1623
NODE_A858_length_641_cov_5.015957_S34	677
NODE_A948_length_620_cov_5.795580_S34	816
NODE_A1627_length_536_cov_3.418301_S34	428
NODE_A30_length_1177_cov_9.682727_S3	3941
NODE_A75_length_1575_cov_28.403204_S37	1000
NODE_A255_length_974_cov_6.739130_S37	8055
NODE_A1252_length_542_cov_2.208602_S37	401
NODE_B248_length_527_cov_0.757778_S37	766
NODE_B1180_length_733_cov_11.275915_S38	574
NODE_A66_length_1674_cov_15.810895_S41	1379
NODE_A73_length_1632_cov_114.691961_S41	1885
NODE_A190_length_1117_cov_121.125962_S41	1221
NODE_A27_length_3481_cov_93.207109_S42	18664
NODE_A60_length_1805_cov_17.223380_S42	1769
NODE_A146_length_1032_cov_20.401047_S42	721
NODE_A299_length_669_cov_13.069257_S42	664
NODE_B174_length_554_cov_1.639413_S42	1039
NODE_A496_length_529_cov_29.893805_S42	1687
NODE_A225_length_1160_cov_5.741459_S43	1250
NODE_A434_length_695_cov_35.163430_S43	1229
NODE_A11_length_4493_cov_30.246150_S44	4035
NODE_B12_length_4427_cov_19.298161_S44	14385
NODE_A13_length_4398_cov_37.690812_S44	4414
NODE_A26_length_3423_cov_34.191273_S44	2504
NODE_A38_length_2762_cov_50.316946_S44	2479
NODE_A305_length_1382_cov_17.423755_S44	1777
NODE_A533_length_1166_cov_84.360882_S44	1068
NODE_C25_length_858_cov_6.763124_S44	1472
NODE_A1348_length_856_cov_11.942234_S44	638
NODE_A1959_length_749_cov_5.059524_S44	1743
NODE_B165_length_749_cov_17.587798_S44	2056
NODE_A2285_length_712_cov_89.149606_S44	616
NODE_B177_length_710_cov_8.804107_S44	683
NODE_B204_length_660_cov_5.794168_S44	649
NODE_C49_length_634_cov_9.766607_S44	2891
NODE_B249_length_609_cov_19.800752_S44	633
NODE_C70_length_518_cov_6.414966_S44	1362
NODE_A5375_length_502_cov_11.087059_S44	407
NODE_A5432_length_500_cov_3.406619_S44	3998
NODE_A29_length_2081_cov_211.562874_S4	1969
NODE_A215_length_1131_cov_32.848197_S4	1259
NODE_A302_length_1046_cov_74.848297_S4	1086
NODE_B247_length_717_cov_17.517187_S4	935
NODE_B355_length_639_cov_13.638790_S4	1054
NODE_A2138_length_558_cov_11.835759_S4	715
NODE_A2320_length_546_cov_21.812367_S4	720
NODE_A239_length_557_cov_2.210417_S45	515
NODE_A10_length_4954_cov_30.542137_S47	7240
NODE_A11_length_4410_cov_28.484883_S47	8433
NODE_A14_length_4051_cov_55.716910_S47	16781
NODE_A16_length_3945_cov_15.158738_S47	5107
NODE_A17_length_3918_cov_42.201510_S47	6867
NODE_A51_length_1800_cov_35.014510_S47	1583
NODE_A80_length_1472_cov_32.868817_S47	1875
NODE_A128_length_1281_cov_19.792359_S47	1406
NODE_A146_length_1229_cov_14.794271_S47	1144
NODE_A382_length_857_cov_17.211538_S47	593
NODE_B126_length_745_cov_4.853293_S47	739
NODE_B143_length_703_cov_2.392971_S47	996
NODE_C53_length_683_cov_1.191419_S47	1044
NODE_A1867_length_534_cov_2.803063_S47	448
NODE_C75_length_530_cov_2.013245_S47	2637
NODE_B264_length_518_cov_7.852608_S47	878
NODE_A2_length_16366_cov_68.635644_S6	389992
NODE_A226_length_4128_cov_107.114293_S7	4717
NODE_B4_length_4026_cov_27.587744_S7	7070
NODE_A340_length_3380_cov_50.720860_S7	3899
NODE_A378_length_3183_cov_37.972956_S7	2708
NODE_B9_length_3038_cov_16.902736_S7	9978
NODE_A678_length_2233_cov_66.287106_S7	2293
NODE_A736_length_2072_cov_146.553885_S7	17965
NODE_B55_length_1699_cov_3.675709_S7	2479
NODE_C4_length_1696_cov_15.546634_S7	3141
NODE_B111_length_1410_cov_6.499625_S7	3047
NODE_B125_length_1370_cov_10.313225_S7	2084
NODE_A1197_length_1351_cov_33.031397_S7	1145
NODE_A1219_length_1328_cov_16.316547_S7	998
NODE_B270_length_1066_cov_26.274014_S7	810
NODE_A1908_length_851_cov_22.959948_S7	775
NODE_B698_length_768_cov_65.464544_S7	2500
NODE_C26_length_765_cov_9.020349_S7	3567
NODE_B721_length_758_cov_3.731278_S7	734
NODE_A2551_length_706_cov_27.963434_S7	559
NODE_A2589_length_701_cov_78.690705_S7	587
NODE_A2953_length_657_cov_26.453448_S7	709
NODE_A3047_length_648_cov_3.330998_S7	666
NODE_A3558_length_613_cov_12.386194_S7	573
NODE_A3567_length_612_cov_14.581308_S7	497
NODE_A3605_length_610_cov_5.941839_S7	634
NODE_A3640_length_608_cov_3.015066_S7	816
NODE_A3683_length_605_cov_8.816288_S7	886
NODE_B1279_length_596_cov_5.375723_S7	605
NODE_A4257_length_577_cov_2.646000_S7	537
NODE_A4541_length_565_cov_3.567623_S7	505
NODE_A4847_length_554_cov_50.587002_S7	1016
NODE_A5393_length_537_cov_6.343478_S7	1160
NODE_A5415_length_537_cov_2.391304_S7	380
NODE_B1642_length_533_cov_33.129386_S7	829
NODE_B1779_length_509_cov_3.030093_S7	419
NODE_A6964_length_502_cov_2.312941_S7	455
NODE_A14_length_5071_cov_28.907889_S9	11265
NODE_A15_length_5070_cov_126.267775_S9	26282
NODE_A49_length_3429_cov_19.844272_S9	3687
NODE_A96_length_2876_cov_13.640586_S9	4703
NODE_A413_length_1782_cov_27.666276_S9	1272
NODE_A1113_length_1152_cov_19.960930_S9	1273
NODE_A1503_length_1018_cov_8.997875_S9	1444
NODE_A2454_length_815_cov_33.537940_S9	896
NODE_A2642_length_787_cov_21.030986_S9	882
NODE_B157_length_772_cov_3.015827_S9	758
NODE_A2951_length_748_cov_41.186289_S9	1935
NODE_B189_length_716_cov_10.884194_S9	912
NODE_C14_length_713_cov_2.070755_S9	640
NODE_B261_length_636_cov_3.021467_S9	977
NODE_C23_length_602_cov_674.215238_S9	519971
NODE_B307_length_601_cov_11.301527_S9	1455
NODE_A5116_length_569_cov_7.256098_S9	482
NODE_B362_length_566_cov_10.361963_S9	1939
NODE_B377_length_558_cov_5.517672_S9	1351
