magnitudes	Swill6_6
NODE_A2838_length_798_cov_5.667129_S12	1983
NODE_B410_length_755_cov_11.542773_S12	1792
NODE_A5509_length_662_cov_74.953846_S12	762
NODE_A5677_length_656_cov_29.331606_S12	2628
NODE_B307_length_998_cov_7.150923_S18	1600
NODE_A6338_length_686_cov_65.743842_S18	4172
NODE_A8106_length_642_cov_5.003540_S18	553
NODE_A15549_length_527_cov_66.797778_S18	2333
NODE_A17689_length_505_cov_12.154206_S18	401
NODE_A4667_length_688_cov_22.438625_S5	771
NODE_A5463_length_650_cov_23.034904_S5	2718
NODE_A3_length_15615_cov_333.879586_S12	59351
NODE_B1_length_11330_cov_127.593442_S12	253327
NODE_A5_length_9186_cov_28.500494_S12	7014
NODE_A7_length_7861_cov_34.636819_S12	5517
NODE_A9_length_6549_cov_16595.860476_S12	2723896
NODE_C4_length_6321_cov_15.624920_S12	248892
NODE_B8_length_5026_cov_73.265306_S12	33199
NODE_A18_length_4313_cov_44.495987_S12	6299
NODE_A21_length_4099_cov_21.902536_S12	2671
NODE_A22_length_4091_cov_24.611858_S12	2689
NODE_A23_length_4051_cov_66.857071_S12	4558
NODE_A27_length_3851_cov_115.055379_S12	6081
NODE_A30_length_3692_cov_36.101798_S12	2504
NODE_B13_length_3256_cov_13.962567_S12	5739
NODE_A39_length_3240_cov_57.073032_S12	3100
NODE_A45_length_3059_cov_157.677398_S12	6055
NODE_A72_length_2535_cov_157.549634_S12	5121
NODE_B18_length_2456_cov_18.944515_S12	8364
NODE_A78_length_2383_cov_57.672160_S12	2078
NODE_A79_length_2383_cov_31.767997_S12	1970
NODE_A84_length_2343_cov_28.861430_S12	1639
NODE_A87_length_2331_cov_22.921029_S12	1457
NODE_A93_length_2277_cov_29.424545_S12	2015
NODE_A111_length_2111_cov_25.467060_S12	1269
NODE_A119_length_2077_cov_94.359000_S12	3771
NODE_A133_length_2026_cov_22.197024_S12	1325
NODE_A137_length_2007_cov_36.722280_S12	1767
NODE_A138_length_2007_cov_31.741969_S12	1415
NODE_B25_length_1986_cov_11.528549_S12	4767
NODE_B26_length_1973_cov_8.732595_S12	6939
NODE_A142_length_1964_cov_24.765766_S12	1190
NODE_B27_length_1938_cov_7.701236_S12	2306
NODE_B30_length_1902_cov_7.827945_S12	2008
NODE_A178_length_1825_cov_24.908467_S12	1160
NODE_B35_length_1813_cov_9.962558_S12	4856
NODE_C12_length_1813_cov_11.448157_S12	27141
NODE_A213_length_1739_cov_31.364621_S12	1428
NODE_A215_length_1733_cov_177.129227_S12	3490
NODE_B43_length_1633_cov_5.019280_S12	1465
NODE_A256_length_1610_cov_50.172864_S12	1699
NODE_A257_length_1609_cov_42.949086_S12	1911
NODE_A273_length_1579_cov_32.322903_S12	1252
NODE_A303_length_1534_cov_29.871654_S12	1085
NODE_B58_length_1515_cov_6.531989_S12	3840
NODE_B59_length_1514_cov_2.812804_S12	2292
NODE_A318_length_1510_cov_34.452198_S12	1178
NODE_B60_length_1509_cov_7.800279_S12	2231
NODE_B64_length_1456_cov_5.047136_S12	1371
NODE_A368_length_1429_cov_117.103550_S12	3682
NODE_A396_length_1399_cov_19.981846_S12	1295
NODE_B79_length_1351_cov_5.378336_S12	1107
NODE_A453_length_1334_cov_41.141607_S12	2018
NODE_A459_length_1329_cov_22.972045_S12	1357
NODE_A469_length_1322_cov_188.371888_S12	6017
NODE_B91_length_1290_cov_6.702391_S12	1154
NODE_A502_length_1286_cov_28.995037_S12	825
NODE_C21_length_1280_cov_2.106401_S12	9915
NODE_B100_length_1240_cov_5.414445_S12	2207
NODE_B101_length_1237_cov_6.409483_S12	1775
NODE_A583_length_1232_cov_187.778355_S12	2974
NODE_A621_length_1201_cov_8.969751_S12	830
NODE_A623_length_1200_cov_36.554764_S12	898
NODE_A665_length_1175_cov_74.289617_S12	2140
NODE_A688_length_1164_cov_55.034039_S12	755
NODE_A693_length_1162_cov_27.341935_S12	793
NODE_A746_length_1138_cov_43.507069_S12	850
NODE_A753_length_1136_cov_34.580737_S12	818
NODE_A761_length_1133_cov_28.303977_S12	704
NODE_A811_length_1111_cov_26.316248_S12	1367
NODE_A823_length_1107_cov_24.200000_S12	775
NODE_B141_length_1100_cov_3.566960_S12	1328
NODE_A853_length_1092_cov_15.677833_S12	1188
NODE_B151_length_1085_cov_4.200397_S12	2491
NODE_A897_length_1078_cov_16.911089_S12	649
NODE_B157_length_1067_cov_3.493939_S12	1097
NODE_B159_length_1064_cov_8.901722_S12	891
NODE_B166_length_1054_cov_2.916070_S12	881
NODE_A1008_length_1042_cov_15.111917_S12	836
NODE_B172_length_1042_cov_14.582383_S12	3866
NODE_A1025_length_1039_cov_26.577963_S12	860
NODE_A1110_length_1019_cov_24.342887_S12	700
NODE_A1126_length_1013_cov_89.198718_S12	1875
NODE_A1257_length_988_cov_48.176729_S12	923
NODE_A1279_length_984_cov_14.176406_S12	618
NODE_A1289_length_982_cov_36.772376_S12	728
NODE_A1416_length_956_cov_6.370876_S12	753
NODE_A1488_length_943_cov_22.557737_S12	576
NODE_A1517_length_938_cov_19.026713_S12	574
NODE_A1626_length_921_cov_29.690758_S12	1302
NODE_A1629_length_920_cov_34.113879_S12	614
NODE_A1647_length_917_cov_23.201190_S12	706
NODE_B238_length_915_cov_3.245823_S12	612
NODE_A1750_length_904_cov_12.655381_S12	580
NODE_A1783_length_900_cov_21.855407_S12	1079
NODE_B255_length_895_cov_14.825183_S12	1425
NODE_A1878_length_887_cov_79.985185_S12	967
NODE_A1941_length_879_cov_29.820449_S12	812
NODE_A1954_length_878_cov_35.300874_S12	586
NODE_A1965_length_877_cov_25.375000_S12	1716
NODE_B277_length_871_cov_7.673804_S12	2768
NODE_A2060_length_866_cov_74.325729_S12	1234
NODE_A2073_length_865_cov_8.478426_S12	705
NODE_A2089_length_863_cov_21.828244_S12	973
NODE_B284_length_861_cov_2.669643_S12	840
NODE_A2141_length_858_cov_67.702945_S12	917
NODE_A2243_length_848_cov_30.642023_S12	522
NODE_C39_length_846_cov_2.271782_S12	1894
