magnitudes	NC2
NODE_B10_length_1770_cov_9.002363_NC2	3299
NODE_B96_length_1135_cov_24.905482_NC2	1793
NODE_A1217_length_741_cov_44.262048_NC2	1046
NODE_B1205_length_599_cov_15.375479_NC2	2440
NODE_A2310_length_575_cov_130.526104_NC2	1245
NODE_B1335_length_573_cov_12.804435_NC2	1212
NODE_A2470_length_558_cov_73.883576_NC2	626
NODE_B1606_length_537_cov_6.276087_NC2	562
NODE_A2762_length_531_cov_51.922907_NC2	1025
NODE_A948_length_558_cov_4.611227_S29	5615
NODE_A788_length_601_cov_39.828244_NC1	504
NODE_A937_length_567_cov_46.597959_NC1	1886
NODE_A3_length_2979_cov_45.405582_NC2	3425
NODE_A4_length_2950_cov_50.190741_NC2	3377
NODE_A5_length_2821_cov_24.110423_NC2	1956
NODE_B1_length_2796_cov_12.375506_NC2	8252
NODE_A6_length_2608_cov_47.905966_NC2	2939
NODE_A7_length_2427_cov_43.859149_NC2	2860
NODE_A8_length_2335_cov_86.430912_NC2	4943
NODE_A9_length_2302_cov_44.042697_NC2	2646
NODE_A11_length_2211_cov_29.620900_NC2	1878
NODE_A12_length_2175_cov_63.141563_NC2	3566
NODE_A14_length_2119_cov_62.590597_NC2	3507
NODE_A15_length_2116_cov_78.911231_NC2	2662
NODE_A16_length_2115_cov_39.313543_NC2	1895
NODE_A18_length_2058_cov_63.483594_NC2	3495
NODE_A19_length_2053_cov_36.311741_NC2	1785
NODE_A20_length_2051_cov_181.928065_NC2	9642
NODE_A21_length_2050_cov_23.988343_NC2	1304
NODE_B3_length_1998_cov_7.765747_NC2	3616
NODE_A25_length_1971_cov_41.007392_NC2	2106
NODE_A27_length_1956_cov_26.366152_NC2	1525
NODE_A28_length_1938_cov_40.466416_NC2	1815
NODE_A30_length_1932_cov_72.585984_NC2	3497
NODE_B4_length_1930_cov_6.359957_NC2	2633
NODE_A31_length_1911_cov_51.450382_NC2	2081
NODE_A32_length_1905_cov_106.966083_NC2	3106
NODE_A35_length_1868_cov_54.790620_NC2	3163
NODE_A37_length_1854_cov_40.408554_NC2	2155
NODE_A38_length_1851_cov_33.144307_NC2	1497
NODE_A39_length_1845_cov_22.145928_NC2	1262
NODE_A41_length_1823_cov_46.556128_NC2	2502
NODE_A43_length_1794_cov_93.420501_NC2	4327
NODE_A45_length_1767_cov_50.978698_NC2	2623
NODE_A46_length_1765_cov_68.872038_NC2	2574
NODE_A48_length_1745_cov_75.134293_NC2	3432
NODE_A49_length_1745_cov_33.542566_NC2	1715
NODE_A51_length_1743_cov_37.592437_NC2	1703
NODE_A52_length_1737_cov_104.627711_NC2	4935
NODE_A53_length_1725_cov_66.792476_NC2	2977
NODE_A54_length_1716_cov_36.767541_NC2	1559
NODE_B14_length_1708_cov_9.952177_NC2	4608
NODE_A56_length_1680_cov_62.341859_NC2	2840
NODE_A57_length_1667_cov_27.443396_NC2	1555
NODE_A58_length_1665_cov_66.386650_NC2	2835
NODE_A59_length_1659_cov_53.516435_NC2	2304
NODE_A60_length_1651_cov_29.006989_NC2	1020
NODE_A61_length_1645_cov_124.427296_NC2	4021
NODE_A63_length_1640_cov_22.441459_NC2	1169
NODE_A64_length_1639_cov_105.283611_NC2	4545
NODE_A65_length_1638_cov_34.875080_NC2	1500
NODE_A67_length_1624_cov_60.089205_NC2	3069
NODE_A68_length_1620_cov_44.157485_NC2	1565
NODE_A69_length_1608_cov_58.058132_NC2	2327
NODE_A70_length_1607_cov_103.079739_NC2	3440
NODE_A71_length_1607_cov_23.006536_NC2	1099
NODE_A72_length_1602_cov_119.200656_NC2	4580
NODE_A73_length_1593_cov_46.344327_NC2	1896
NODE_A75_length_1588_cov_43.452680_NC2	2129
NODE_A76_length_1588_cov_21.436135_NC2	1146
NODE_A77_length_1570_cov_110.478232_NC2	4190
NODE_A79_length_1559_cov_81.531714_NC2	3412
NODE_A80_length_1553_cov_42.783198_NC2	1934
NODE_A82_length_1545_cov_57.498638_NC2	2219
NODE_A84_length_1538_cov_28.483231_NC2	1130
NODE_B25_length_1534_cov_5.114619_NC2	2407
NODE_A87_length_1526_cov_69.868875_NC2	2753
NODE_A89_length_1512_cov_49.985366_NC2	1081
NODE_A90_length_1512_cov_41.241812_NC2	1861
NODE_A92_length_1505_cov_43.278711_NC2	1529
NODE_A93_length_1502_cov_139.152982_NC2	5021
NODE_A94_length_1502_cov_37.620351_NC2	1708
NODE_A96_length_1496_cov_49.149401_NC2	1154
NODE_A97_length_1485_cov_125.053977_NC2	3486
NODE_A100_length_1479_cov_32.504280_NC2	1347
NODE_A99_length_1479_cov_42.927247_NC2	1783
NODE_A101_length_1470_cov_110.859296_NC2	4947
NODE_A102_length_1469_cov_155.128592_NC2	6161
NODE_B33_length_1467_cov_16.346043_NC2	5643
NODE_A103_length_1466_cov_161.932325_NC2	3792
NODE_A106_length_1457_cov_177.305797_NC2	4316
NODE_A107_length_1456_cov_127.981146_NC2	4665
NODE_A110_length_1450_cov_133.382374_NC2	4238
NODE_A111_length_1439_cov_106.342878_NC2	3996
NODE_A112_length_1436_cov_28.767476_NC2	910
NODE_A113_length_1435_cov_32.592784_NC2	1222
NODE_A114_length_1435_cov_24.418262_NC2	939
NODE_A115_length_1432_cov_52.255351_NC2	2254
NODE_A116_length_1428_cov_99.606218_NC2	2798
NODE_A117_length_1419_cov_89.907601_NC2	3717
NODE_A121_length_1417_cov_28.018657_NC2	1084
NODE_B42_length_1416_cov_4.772965_NC2	1411
NODE_B43_length_1414_cov_3.785340_NC2	1387
NODE_A125_length_1406_cov_73.111362_NC2	2548
NODE_A126_length_1393_cov_67.939970_NC2	2963
NODE_A127_length_1392_cov_73.758175_NC2	3756
NODE_A128_length_1381_cov_44.822853_NC2	2059
NODE_A131_length_1371_cov_27.795209_NC2	1136
NODE_A132_length_1367_cov_77.108527_NC2	1496
NODE_A133_length_1361_cov_32.643302_NC2	1317
NODE_A135_length_1355_cov_35.108764_NC2	1233
NODE_A136_length_1354_cov_24.319499_NC2	914
NODE_A137_length_1353_cov_24.984326_NC2	919
NODE_A140_length_1351_cov_33.889325_NC2	987
NODE_B49_length_1349_cov_6.879717_NC2	2523
NODE_A141_length_1347_cov_89.848031_NC2	3150
NODE_A142_length_1339_cov_52.183043_NC2	2044
NODE_A143_length_1337_cov_66.992857_NC2	2428
NODE_A144_length_1336_cov_104.864178_NC2	3606
NODE_A146_length_1331_cov_33.399522_NC2	1170
NODE_A148_length_1327_cov_32.452000_NC2	1299
NODE_A149_length_1327_cov_28.572000_NC2	1237
NODE_A151_length_1322_cov_81.203213_NC2	1647
NODE_A152_length_1322_cov_64.400000_NC2	2174
NODE_A153_length_1320_cov_72.050684_NC2	2674
NODE_A154_length_1318_cov_39.508461_NC2	1463
NODE_A156_length_1310_cov_74.111111_NC2	2558
NODE_A157_length_1310_cov_68.863747_NC2	1946
NODE_B55_length_1310_cov_4.290349_NC2	1401
NODE_A158_length_1309_cov_52.739448_NC2	1998
NODE_A160_length_1306_cov_40.909683_NC2	1195
NODE_A161_length_1301_cov_64.150327_NC2	2505
NODE_A163_length_1296_cov_91.534865_NC2	2779
NODE_B58_length_1296_cov_8.694011_NC2	1587
NODE_A164_length_1290_cov_77.324815_NC2	3561
NODE_A166_length_1280_cov_76.354946_NC2	2408
NODE_A170_length_1269_cov_51.286913_NC2	2826
NODE_A171_length_1268_cov_61.863980_NC2	1687
NODE_A173_length_1265_cov_79.594276_NC2	1861
NODE_A174_length_1265_cov_50.022727_NC2	1657
NODE_A175_length_1262_cov_142.778903_NC2	4524
NODE_A178_length_1253_cov_29.699830_NC2	1166
NODE_A179_length_1251_cov_28.182283_NC2	886
NODE_A183_length_1246_cov_33.124038_NC2	1121
NODE_A184_length_1245_cov_21.125856_NC2	886
NODE_B66_length_1245_cov_3.598459_NC2	1616
NODE_A185_length_1244_cov_28.786632_NC2	1047
NODE_A186_length_1242_cov_42.448069_NC2	1478
NODE_A187_length_1240_cov_35.120378_NC2	1557
NODE_A188_length_1240_cov_32.976784_NC2	1367
NODE_A190_length_1234_cov_50.815903_NC2	1586
NODE_A191_length_1233_cov_93.046713_NC2	3227
NODE_A192_length_1232_cov_53.161905_NC2	1998
NODE_A193_length_1230_cov_43.965308_NC2	1438
NODE_A194_length_1229_cov_50.986979_NC2	1706
NODE_A195_length_1228_cov_47.991312_NC2	1039
NODE_A197_length_1221_cov_104.043706_NC2	2813
NODE_A199_length_1218_cov_61.607362_NC2	2344
NODE_A200_length_1217_cov_102.596491_NC2	2980
NODE_A202_length_1216_cov_34.402985_NC2	1093
NODE_A203_length_1214_cov_146.674582_NC2	4243
NODE_A204_length_1213_cov_52.948944_NC2	1542
NODE_A205_length_1209_cov_72.674912_NC2	2499
NODE_A206_length_1207_cov_38.743363_NC2	1013
NODE_A208_length_1206_cov_42.705049_NC2	1169
NODE_A211_length_1202_cov_46.796444_NC2	1269
NODE_A212_length_1200_cov_50.181656_NC2	1703
NODE_A213_length_1198_cov_24.028546_NC2	840
NODE_A214_length_1197_cov_72.399107_NC2	2548
NODE_A215_length_1196_cov_95.473637_NC2	3094
NODE_A216_length_1196_cov_22.853441_NC2	1120
NODE_A218_length_1194_cov_55.504029_NC2	1462
NODE_B79_length_1194_cov_2.363474_NC2	953
NODE_A219_length_1192_cov_22.141704_NC2	974
NODE_A221_length_1191_cov_36.908438_NC2	750
NODE_A222_length_1190_cov_13.926325_NC2	1487
NODE_A223_length_1189_cov_31.299460_NC2	929
NODE_A225_length_1188_cov_50.666067_NC2	1716
NODE_A226_length_1188_cov_42.572457_NC2	1222
NODE_A227_length_1186_cov_26.595131_NC2	1024
NODE_A230_length_1179_cov_33.179673_NC2	1417
NODE_A231_length_1178_cov_92.273388_NC2	2561
NODE_A232_length_1178_cov_40.006358_NC2	1160
NODE_A233_length_1177_cov_29.614545_NC2	927
NODE_A234_length_1175_cov_34.482696_NC2	933
NODE_A235_length_1174_cov_41.580675_NC2	1338
NODE_A236_length_1171_cov_80.751371_NC2	2333
NODE_A237_length_1171_cov_40.435101_NC2	1572
NODE_A239_length_1169_cov_23.785714_NC2	1058
NODE_B85_length_1169_cov_4.364469_NC2	838
NODE_A241_length_1163_cov_70.466851_NC2	2199
NODE_A242_length_1161_cov_176.779520_NC2	5903
NODE_A243_length_1161_cov_59.846863_NC2	1605
NODE_A244_length_1161_cov_40.325646_NC2	1312
NODE_A245_length_1160_cov_44.303786_NC2	1211
NODE_A246_length_1159_cov_72.208872_NC2	919
NODE_A247_length_1158_cov_35.128585_NC2	1221
NODE_A248_length_1156_cov_179.213160_NC2	4938
NODE_A249_length_1156_cov_33.353105_NC2	1142
NODE_A250_length_1155_cov_45.501855_NC2	1400
NODE_A251_length_1155_cov_35.983302_NC2	974
NODE_A252_length_1155_cov_30.267161_NC2	1066
NODE_A253_length_1153_cov_34.570632_NC2	1044
NODE_A254_length_1151_cov_46.005587_NC2	1807
NODE_A255_length_1151_cov_44.080074_NC2	935
NODE_A256_length_1150_cov_46.733458_NC2	1601
NODE_A257_length_1150_cov_31.757689_NC2	1253
NODE_A258_length_1149_cov_44.178172_NC2	1396
