magnitudes	NC3
NODE_A2_length_4908_cov_109.014076_NC3	24286
NODE_A6_length_3411_cov_27.719256_NC3	4216
NODE_A7_length_3203_cov_24.417466_NC3	2672
NODE_A8_length_3091_cov_32.136364_NC3	3751
NODE_A11_length_2834_cov_47.901342_NC3	6640
NODE_A19_length_2521_cov_19.478723_NC3	2371
NODE_A21_length_2374_cov_35.225947_NC3	3454
NODE_A22_length_2363_cov_51.767717_NC3	4832
NODE_A25_length_2291_cov_22.852304_NC3	2320
NODE_A28_length_2185_cov_29.087761_NC3	2955
NODE_A37_length_1963_cov_31.266172_NC3	2404
NODE_A40_length_1955_cov_20.746006_NC3	1524
NODE_A55_length_1791_cov_22.707118_NC3	1518
NODE_A59_length_1775_cov_24.090695_NC3	1954
NODE_A63_length_1729_cov_25.989709_NC3	1833
NODE_A71_length_1653_cov_28.808376_NC3	1427
NODE_A96_length_1472_cov_21.629391_NC3	1547
NODE_B5_length_1405_cov_7.236446_NC3	3443
NODE_A121_length_1338_cov_13.790642_NC3	1067
NODE_A135_length_1283_cov_26.818408_NC3	1649
NODE_A197_length_1143_cov_31.692308_NC3	1452
NODE_B20_length_1017_cov_2.664894_NC3	866
NODE_A282_length_1013_cov_92.351496_NC3	3008
NODE_A412_length_879_cov_20.337905_NC3	773
NODE_A709_length_775_cov_18.995702_NC3	577
NODE_A1159_length_681_cov_23.668874_NC3	538
NODE_A1417_length_654_cov_7.383016_NC3	533
NODE_A1423_length_653_cov_19.468750_NC3	624
NODE_A1753_length_623_cov_17.727106_NC3	738
NODE_A1827_length_617_cov_22.603704_NC3	604
NODE_A1866_length_614_cov_5.973929_NC3	709
NODE_A2028_length_603_cov_28.961977_NC3	715
NODE_B89_length_594_cov_2.862669_NC3	560
NODE_A2530_length_573_cov_31.409274_NC3	458
NODE_A2687_length_565_cov_16.926230_NC3	478
NODE_A3294_length_539_cov_8.329004_NC3	421
NODE_A3498_length_531_cov_8.883260_NC3	539
NODE_A3736_length_523_cov_20.343049_NC3	523
NODE_A8_length_4685_cov_73.797092_S34	17343
NODE_A9_length_4547_cov_51.390157_S34	12137
NODE_A15_length_3226_cov_48.914894_S34	4519
NODE_A21_length_2678_cov_23.923875_S34	3316
NODE_A22_length_2640_cov_45.970347_S34	5534
NODE_A23_length_2601_cov_21.339937_S34	4059
NODE_A24_length_2591_cov_23.991249_S34	3336
NODE_A53_length_1908_cov_36.276898_S34	1493
NODE_A61_length_1799_cov_22.497096_S34	1642
NODE_A81_length_1631_cov_45.121622_S34	2123
NODE_A83_length_1626_cov_20.650097_S34	1421
NODE_A102_length_1500_cov_21.699227_S34	2429
NODE_A162_length_1216_cov_56.064969_S34	2367
NODE_A243_length_993_cov_9.252183_S34	911
NODE_A291_length_920_cov_26.271649_S34	1287
NODE_A315_length_887_cov_15.238272_S34	805
NODE_A406_length_804_cov_93.691884_S34	1782
NODE_A567_length_719_cov_8.208723_S34	756
NODE_B95_length_673_cov_1.348993_S34	537
NODE_A749_length_664_cov_5.637138_S34	616
NODE_B104_length_646_cov_1.520211_S34	542
NODE_A908_length_629_cov_3.663043_S34	489
NODE_A1106_length_594_cov_5.059961_S34	718
NODE_A1323_length_564_cov_5.190965_S34	498
NODE_B145_length_553_cov_4.390756_S34	822
NODE_A1472_length_548_cov_5.673036_S34	455
NODE_A2149_length_501_cov_6.459906_S34	409
