magnitudes	HG_CF_6
NODE_A1757_length_534_cov_14.929978_S22	28069
NODE_A378_length_798_cov_9.447989_S27	14166
NODE_A604_length_700_cov_31.409310_S27	1494
NODE_A934_length_632_cov_9.378378_S27	1535
NODE_A1147_length_601_cov_27.276718_S27	2825
NODE_A1446_length_568_cov_35.081466_S27	3475
NODE_A2477_length_504_cov_15.344262_S27	1957
NODE_A1867_length_517_cov_22.622727_S34	1073
NODE_A4982_length_519_cov_1.463801_S44	9505
NODE_A5050_length_515_cov_23.543379_S44	7787
NODE_A1381_length_646_cov_17.216169_S4	4877
NODE_A1735_length_597_cov_5.013462_S4	3589
NODE_A2171_length_555_cov_103.161088_S4	19894
NODE_A1543_length_558_cov_1.118503_S47	486
NODE_A444_length_1404_cov_5.184627_S10	1592
NODE_A950_length_1129_cov_8.316540_S10	1033
NODE_A19_length_1534_cov_14.082361_S11	11514
NODE_B19_length_625_cov_6.516423_S11	2918
NODE_A137_length_589_cov_5.250000_S11	2436
NODE_A146_length_565_cov_16.950820_S11	3194
NODE_B34_length_548_cov_1.709130_S11	967
NODE_A68_length_3013_cov_29.559264_S14	11255
NODE_B9_length_2604_cov_11.339137_S14	38844
NODE_A974_length_1299_cov_8.486088_S14	2184
NODE_A1217_length_1206_cov_13.857396_S14	2142
NODE_A1537_length_1103_cov_10.220273_S14	1402
NODE_A1735_length_1047_cov_18.426804_S14	5770
NODE_A3781_length_745_cov_5.261976_S14	1200
NODE_A3858_length_739_cov_35.663142_S14	5473
NODE_B173_length_706_cov_8.637520_S14	2346
NODE_B190_length_697_cov_2.395161_S14	752
NODE_A4810_length_668_cov_6.142132_S14	971
NODE_B262_length_646_cov_1.820738_S14	614
NODE_B270_length_642_cov_2.941593_S14	2262
NODE_B399_length_579_cov_0.990040_S14	505
NODE_A6519_length_577_cov_2.226000_S14	482
NODE_A6891_length_561_cov_4.142562_S14	845
NODE_A10_length_3617_cov_26.400000_S1	217697
NODE_A1060_length_573_cov_5.639113_S1	1268
NODE_B264_length_514_cov_3.569794_S1	3250
NODE_A14_length_5037_cov_276.344758_S17	17214
NODE_A1422_length_525_cov_2.337054_S17	2523
NODE_B1_length_64575_cov_138.535489_S19	2644927
NODE_A257_length_1091_cov_6.318540_S20	6787
NODE_B183_length_871_cov_4.904282_S20	4845
NODE_A385_length_826_cov_9.622163_S20	1873
NODE_A440_length_730_cov_6.811639_S20	1129
NODE_A640_length_569_cov_4.473577_S20	1294
NODE_A723_length_526_cov_18.670379_S20	8612
NODE_A761_length_512_cov_3.986207_S20	936
NODE_A951_length_785_cov_36.752825_S21	3666
NODE_A1137_length_741_cov_18.149096_S21	3445
NODE_B548_length_647_cov_4.787719_S21	20591
NODE_A1878_length_627_cov_9.789091_S21	1296
NODE_B756_length_582_cov_1.687129_S21	3501
NODE_A2281_length_581_cov_32.371032_S21	1380
NODE_B872_length_556_cov_1.691023_S21	3142
NODE_A2639_length_553_cov_23.176471_S21	1040
NODE_A2817_length_541_cov_10.627155_S21	1733
NODE_A3060_length_523_cov_10.410314_S21	3473
NODE_A3133_length_519_cov_10.898190_S21	484
NODE_B106_length_932_cov_1.679532_S22	734
NODE_B178_length_798_cov_8.732316_S22	5102
NODE_A760_length_744_cov_11.317841_S22	1135
NODE_A1034_length_647_cov_22.885965_S22	1724
NODE_B348_length_606_cov_10.052930_S22	5223
NODE_A1279_length_596_cov_10.720617_S22	818
NODE_A1337_length_587_cov_5.447059_S22	1019
NODE_A1359_length_583_cov_4.371542_S22	1950
NODE_A1488_length_565_cov_4.266393_S22	584
NODE_A1726_length_539_cov_3.266234_S22	975
NODE_A1900_length_519_cov_9.690045_S22	552
NODE_B536_length_516_cov_3.189066_S22	392
NODE_B539_length_515_cov_6.582192_S22	5138
NODE_B556_length_509_cov_6.122685_S22	3620
NODE_A2014_length_508_cov_27.069606_S22	2460
NODE_A2062_length_505_cov_7.934579_S22	862
NODE_A752_length_751_cov_3.537092_S24	2655
NODE_A1036_length_678_cov_3.081531_S24	6802
NODE_A1445_length_599_cov_2.411877_S24	2955
NODE_B5_length_17739_cov_615.067490_S25	25194
NODE_A17_length_15349_cov_1246.287323_S25	32011
NODE_A178_length_1222_cov_13.122271_S25	27491
NODE_A682_length_624_cov_19.893967_S25	2847
NODE_A842_length_562_cov_5.140206_S25	604
NODE_A846_length_561_cov_9.923554_S25	5957
NODE_A1020_length_519_cov_9.809955_S25	1704
NODE_B1_length_48305_cov_699.897238_S26	108800
NODE_A2_length_39889_cov_5484.805963_S26	62337
NODE_B38_length_2160_cov_262.644263_S26	1518
NODE_A566_length_579_cov_2.629482_S26	3010
NODE_A575_length_571_cov_9.121457_S26	4369
NODE_A612_length_546_cov_1.963753_S26	1349
NODE_B245_length_537_cov_1.732609_S26	5949
NODE_A4_length_2806_cov_29365.524368_S27	2099
NODE_B5_length_1769_cov_33.682624_S27	11387
NODE_A64_length_1223_cov_31.004363_S27	5762
NODE_A109_length_1078_cov_10.336663_S27	1176
NODE_B28_length_962_cov_15.966102_S27	8465
NODE_A227_length_913_cov_22.061005_S27	2399
NODE_A289_length_853_cov_8.734536_S27	954
NODE_A464_length_747_cov_17.829851_S27	696
NODE_A578_length_709_cov_14.068038_S27	1913
NODE_A612_length_696_cov_222.373183_S27	2385
NODE_B95_length_677_cov_2.971667_S27	2135
NODE_A738_length_669_cov_9.381757_S27	715
NODE_B104_length_667_cov_5.647458_S27	646
NODE_C5_length_663_cov_0.585324_S27	1063
NODE_A757_length_662_cov_24.905983_S27	1098
NODE_B107_length_661_cov_5.794521_S27	11853
NODE_B110_length_655_cov_7.634948_S27	1084
NODE_B113_length_653_cov_2.508681_S27	1161
NODE_A872_length_642_cov_9.099115_S27	1774
NODE_A925_length_633_cov_54.372302_S27	918
NODE_A955_length_629_cov_5.344203_S27	794
NODE_A1214_length_594_cov_32.754352_S27	2279
NODE_A1280_length_586_cov_13.929273_S27	1121
NODE_A1287_length_586_cov_5.514735_S27	965
NODE_A1370_length_575_cov_8.983936_S27	1057
NODE_A1484_length_565_cov_10.495902_S27	1117
NODE_A1619_length_553_cov_25.079832_S27	909
NODE_A1636_length_552_cov_9.757895_S27	674
NODE_B236_length_549_cov_3.896186_S27	790
NODE_A1729_length_546_cov_5.042644_S27	842
NODE_A1744_length_545_cov_8.066239_S27	600
NODE_A1867_length_536_cov_16.244009_S27	555
NODE_A1913_length_534_cov_12.129103_S27	1318
NODE_B259_length_534_cov_12.096280_S27	859
NODE_A2038_length_527_cov_21.026667_S27	549
NODE_A2040_length_527_cov_20.184444_S27	980
NODE_A2041_length_527_cov_14.957778_S27	5295
NODE_A2048_length_527_cov_4.900000_S27	3874
NODE_A2060_length_526_cov_11.944321_S27	746
NODE_A2328_length_511_cov_17.347926_S27	786
NODE_B5_length_6976_cov_17.132338_S30	4785
NODE_A217_length_4354_cov_41.827683_S30	23070
NODE_A396_length_3294_cov_37.682002_S30	9121
NODE_A740_length_2540_cov_30.229801_S30	4928
NODE_B117_length_1627_cov_38.383226_S30	10915
NODE_A2223_length_1583_cov_84.332005_S30	1281
NODE_A2230_length_1582_cov_38.398007_S30	2109
NODE_A3055_length_1381_cov_19.690184_S30	1794
NODE_B324_length_1146_cov_24.715622_S30	10863
NODE_A5009_length_1091_cov_14.744576_S30	1472
NODE_A5787_length_1020_cov_13.089077_S30	2416
NODE_A8007_length_859_cov_21.570332_S30	755
NODE_A10067_length_756_cov_14.103093_S30	840
NODE_A10946_length_721_cov_5.829193_S30	986
NODE_B1439_length_667_cov_2.803390_S30	941
NODE_A12809_length_656_cov_5.428325_S30	664
NODE_B1844_length_609_cov_4.674812_S30	1144
NODE_B1851_length_608_cov_3.261770_S30	4816
NODE_A14633_length_605_cov_11.333333_S30	645
NODE_A17034_length_552_cov_31.951579_S30	648
NODE_A17496_length_543_cov_19.789700_S30	497
NODE_C108_length_529_cov_0.703540_S30	810
NODE_B225_length_548_cov_0.738854_S33	8742
NODE_A150_length_1248_cov_28.818958_S34	35232
NODE_A347_length_850_cov_8.554981_S34	915
NODE_B64_length_804_cov_1.617607_S34	4001
NODE_B89_length_704_cov_2.194577_S34	4079
NODE_A948_length_620_cov_5.795580_S34	2026
NODE_A963_length_618_cov_3.665434_S34	492
NODE_A1474_length_548_cov_3.624204_S34	988
NODE_A1627_length_536_cov_3.418301_S34	1057
NODE_A1871_length_517_cov_5.336364_S34	603
NODE_A2054_length_507_cov_2.123256_S34	1466
NODE_A158_length_1177_cov_4.864545_S37	827
NODE_A255_length_974_cov_6.739130_S37	31328
NODE_A1252_length_542_cov_2.208602_S37	1314
NODE_B248_length_527_cov_0.757778_S37	2396
NODE_B3_length_12473_cov_8.996773_S40	13042
NODE_A79_length_1933_cov_10.656250_S40	1539
NODE_A1223_length_502_cov_2.755294_S41	581
NODE_A27_length_3481_cov_93.207109_S42	69452
NODE_A60_length_1805_cov_17.223380_S42	4549
NODE_A75_length_1524_cov_33.284727_S42	2135
NODE_A146_length_1032_cov_20.401047_S42	1893
NODE_B128_length_682_cov_0.834711_S42	716
NODE_A299_length_669_cov_13.069257_S42	1850
NODE_B174_length_554_cov_1.639413_S42	2626
NODE_A456_length_550_cov_23.118393_S42	515
NODE_B184_length_539_cov_1.329004_S42	358
NODE_A496_length_529_cov_29.893805_S42	5723
NODE_A554_length_504_cov_10.004684_S42	1173
NODE_B9_length_6821_cov_15.918001_S43	5483
NODE_A225_length_1160_cov_5.741459_S43	2951
NODE_A434_length_695_cov_35.163430_S43	5355
NODE_A476_length_653_cov_0.909722_S43	895
NODE_A685_length_524_cov_2.297539_S43	656
NODE_A4_length_27642_cov_45.304045_S44	29234
NODE_A5_length_27354_cov_48.797265_S44	32094
NODE_B6_length_5572_cov_6.367971_S44	5888
NODE_A10_length_4679_cov_70.244024_S44	2845
NODE_A11_length_4493_cov_30.246150_S44	10389
NODE_B12_length_4427_cov_19.298161_S44	38393
NODE_A13_length_4398_cov_37.690812_S44	11542
NODE_B14_length_4245_cov_7.104367_S44	2870
NODE_A26_length_3423_cov_34.191273_S44	5581
NODE_A38_length_2762_cov_50.316946_S44	6024
NODE_A174_length_1656_cov_106.255225_S44	1167
NODE_A305_length_1382_cov_17.423755_S44	3733
NODE_A533_length_1166_cov_84.360882_S44	2609
NODE_A592_length_1133_cov_46.314394_S44	862
NODE_B107_length_971_cov_2.695749_S44	981
NODE_C25_length_858_cov_6.763124_S44	6302
NODE_A1348_length_856_cov_11.942234_S44	1347
NODE_B158_length_764_cov_0.342067_S44	736
NODE_A1959_length_749_cov_5.059524_S44	3557
NODE_B165_length_749_cov_17.587798_S44	5148
NODE_A2285_length_712_cov_89.149606_S44	1646
NODE_B177_length_710_cov_8.804107_S44	1528
NODE_A2775_length_660_cov_5.879931_S44	523
NODE_B204_length_660_cov_5.794168_S44	1810
NODE_C49_length_634_cov_9.766607_S44	9454
NODE_B249_length_609_cov_19.800752_S44	1332
NODE_C55_length_590_cov_1.157895_S44	770
NODE_A3847_length_577_cov_5.690000_S44	500
NODE_A3883_length_575_cov_9.598394_S44	807
NODE_A4042_length_564_cov_9.513347_S44	2909
NODE_A4140_length_558_cov_4.580042_S44	418
NODE_A4926_length_521_cov_4.022523_S44	446
NODE_C70_length_518_cov_6.414966_S44	4081
NODE_A5432_length_500_cov_3.406619_S44	4745
NODE_A29_length_2081_cov_211.562874_S4	5179
NODE_A215_length_1131_cov_32.848197_S4	3042
NODE_B63_length_1094_cov_2.602753_S4	963
NODE_A302_length_1046_cov_74.848297_S4	2140
NODE_A814_length_773_cov_5.816092_S4	854
NODE_B247_length_717_cov_17.517187_S4	4015
NODE_A1046_length_710_cov_16.638231_S4	838
NODE_A1244_length_670_cov_25.446880_S4	1479
NODE_A1395_length_645_cov_10.383803_S4	1007
NODE_B355_length_639_cov_13.638790_S4	3621
NODE_A1447_length_636_cov_11.631485_S4	958
NODE_A1465_length_633_cov_22.532374_S4	699
NODE_A1509_length_627_cov_10.114545_S4	910
NODE_A1830_length_586_cov_16.284872_S4	533
NODE_A2138_length_558_cov_11.835759_S4	2166
NODE_A2225_length_552_cov_13.406316_S4	743
NODE_A2320_length_546_cov_21.812367_S4	2464
NODE_A2622_length_523_cov_13.401345_S4	444
NODE_A2675_length_520_cov_11.121896_S4	995
NODE_A2728_length_517_cov_15.520455_S4	739
NODE_B776_length_510_cov_2.602771_S4	781
NODE_A2951_length_505_cov_5.362150_S4	656
NODE_A3037_length_501_cov_7.353774_S4	609
NODE_A239_length_557_cov_2.210417_S45	2410
NODE_A10_length_4954_cov_30.542137_S47	16433
NODE_A11_length_4410_cov_28.484883_S47	20065
NODE_A12_length_4359_cov_20.546240_S47	6495
NODE_A14_length_4051_cov_55.716910_S47	42385
NODE_A15_length_3956_cov_16.892756_S47	4289
NODE_A17_length_3918_cov_42.201510_S47	17330
NODE_A18_length_3912_cov_22.781226_S47	5847
NODE_A51_length_1800_cov_35.014510_S47	4476
NODE_A66_length_1578_cov_60.178548_S47	1153
NODE_A73_length_1522_cov_23.752249_S47	2397
NODE_A80_length_1472_cov_32.868817_S47	4034
NODE_A128_length_1281_cov_19.792359_S47	3282
NODE_A146_length_1229_cov_14.794271_S47	3031
NODE_A382_length_857_cov_17.211538_S47	1364
NODE_A538_length_763_cov_12.788630_S47	704
NODE_B126_length_745_cov_4.853293_S47	1977
NODE_B143_length_703_cov_2.392971_S47	2314
NODE_A717_length_702_cov_11.080000_S47	773
NODE_A747_length_692_cov_9.126829_S47	1296
NODE_C53_length_683_cov_1.191419_S47	3627
NODE_A918_length_653_cov_2.381944_S47	682
NODE_A984_length_638_cov_29.946524_S47	636
NODE_A1366_length_575_cov_14.913655_S47	466
NODE_A1450_length_567_cov_8.887755_S47	458
NODE_A1583_length_555_cov_1.638075_S47	1274
NODE_A1821_length_538_cov_1.689805_S47	619
NODE_A1867_length_534_cov_2.803063_S47	1195
NODE_C75_length_530_cov_2.013245_S47	7667
NODE_B264_length_518_cov_7.852608_S47	2746
NODE_A2408_length_503_cov_45.643192_S47	944
NODE_A2_length_16366_cov_68.635644_S6	11817
NODE_A127_length_5008_cov_38.210911_S7	5327
NODE_A226_length_4128_cov_107.114293_S7	10757
NODE_B4_length_4026_cov_27.587744_S7	15674
NODE_A340_length_3380_cov_50.720860_S7	8050
NODE_A378_length_3183_cov_37.972956_S7	6022
NODE_A503_length_2733_cov_13.818148_S7	2852
NODE_B14_length_2678_cov_8.397924_S7	3661
NODE_A678_length_2233_cov_66.287106_S7	5323
NODE_A766_length_2007_cov_64.114508_S7	2970
NODE_C4_length_1696_cov_15.546634_S7	11037
NODE_A1029_length_1575_cov_207.895194_S7	1158
NODE_A1082_length_1491_cov_31.242574_S7	1078
NODE_B111_length_1410_cov_6.499625_S7	9007
NODE_B125_length_1370_cov_10.313225_S7	5972
NODE_A1197_length_1351_cov_33.031397_S7	2464
NODE_A1235_length_1310_cov_33.695053_S7	1454
NODE_A1461_length_1104_cov_2.999026_S7	1555
NODE_B270_length_1066_cov_26.274014_S7	2282
NODE_A1908_length_851_cov_22.959948_S7	1551
NODE_A1983_length_820_cov_2.971736_S7	1034
NODE_A2030_length_808_cov_2.703146_S7	838
NODE_A2165_length_776_cov_38.236052_S7	1109
NODE_A2189_length_770_cov_4.167388_S7	935
NODE_B698_length_768_cov_65.464544_S7	8168
NODE_C25_length_767_cov_1.389855_S7	1079
NODE_C26_length_765_cov_9.020349_S7	10242
NODE_A2457_length_719_cov_2.788162_S7	900
NODE_A2493_length_714_cov_2.620094_S7	654
NODE_A2513_length_711_cov_3.526814_S7	786
NODE_B854_length_708_cov_5.022187_S7	899
NODE_A2551_length_706_cov_27.963434_S7	950
NODE_A2589_length_701_cov_78.690705_S7	1253
NODE_A2627_length_696_cov_11.277868_S7	1038
NODE_A2713_length_684_cov_16.056013_S7	485
NODE_A2947_length_658_cov_4.841652_S7	1232
NODE_A2953_length_657_cov_26.453448_S7	1747
NODE_A2968_length_655_cov_3.747405_S7	605
NODE_A3047_length_648_cov_3.330998_S7	2372
NODE_A3074_length_646_cov_17.695958_S7	906
NODE_A3129_length_642_cov_3.258407_S7	773
NODE_A3138_length_641_cov_6.627660_S7	1493
NODE_A3220_length_635_cov_6.483871_S7	1377
NODE_A3230_length_635_cov_2.566308_S7	713
NODE_A3443_length_620_cov_3.616943_S7	702
NODE_A3558_length_613_cov_12.386194_S7	1246
NODE_A3605_length_610_cov_5.941839_S7	2135
NODE_A3640_length_608_cov_3.015066_S7	1662
NODE_A3648_length_608_cov_2.052731_S7	654
NODE_A3683_length_605_cov_8.816288_S7	2491
NODE_A3769_length_600_cov_2.933078_S7	981
