magnitudes	HG_CF_6
NODE_A3830_length_597_cov_3.001923_S7	715
NODE_B1279_length_596_cov_5.375723_S7	1173
NODE_A4257_length_577_cov_2.646000_S7	2040
NODE_A4523_length_566_cov_4.623722_S7	549
NODE_C52_length_566_cov_0.670757_S7	538
NODE_A4541_length_565_cov_3.567623_S7	1114
NODE_A4575_length_564_cov_3.018480_S7	623
NODE_A4717_length_558_cov_6.979210_S7	494
NODE_A4847_length_554_cov_50.587002_S7	4036
NODE_A4940_length_551_cov_2.609705_S7	688
NODE_A5095_length_546_cov_2.712154_S7	543
NODE_A5153_length_544_cov_9.286938_S7	747
NODE_A5393_length_537_cov_6.343478_S7	3031
NODE_A5494_length_535_cov_1.890830_S7	736
NODE_B1642_length_533_cov_33.129386_S7	2404
NODE_A5566_length_532_cov_3.956044_S7	922
NODE_A5604_length_531_cov_3.814978_S7	601
NODE_A5642_length_530_cov_2.545254_S7	726
NODE_A5668_length_529_cov_4.256637_S7	707
NODE_A5759_length_527_cov_2.506667_S7	774
NODE_A5847_length_525_cov_2.357143_S7	763
NODE_A5975_length_522_cov_2.631461_S7	725
NODE_A6017_length_521_cov_3.533784_S7	964
NODE_A6025_length_521_cov_2.828829_S7	762
NODE_A6164_length_518_cov_2.068027_S7	832
NODE_C70_length_517_cov_2.540909_S7	644
NODE_A6318_length_514_cov_6.118993_S7	1128
NODE_A6336_length_514_cov_2.704805_S7	503
NODE_A6356_length_514_cov_1.718535_S7	608
NODE_A6388_length_513_cov_3.263761_S7	888
NODE_A6575_length_509_cov_3.474537_S7	617
NODE_A6614_length_509_cov_1.284722_S7	710
NODE_B1779_length_509_cov_3.030093_S7	1204
NODE_A6628_length_508_cov_3.422274_S7	732
NODE_A6652_length_508_cov_1.986079_S7	732
NODE_A6880_length_503_cov_7.119718_S7	550
NODE_A6964_length_502_cov_2.312941_S7	1572
NODE_A7070_length_500_cov_3.458629_S7	802
NODE_A7081_length_500_cov_2.657210_S7	1382
NODE_B61_length_2274_cov_10.475193_S8	2454
NODE_A14_length_5071_cov_28.907889_S9	25103
NODE_A49_length_3429_cov_19.844272_S9	7638
NODE_A96_length_2876_cov_13.640586_S9	10929
NODE_A1113_length_1152_cov_19.960930_S9	3579
NODE_A1503_length_1018_cov_8.997875_S9	3203
NODE_A2454_length_815_cov_33.537940_S9	2593
NODE_A2490_length_810_cov_8.710778_S9	923
NODE_A2642_length_787_cov_21.030986_S9	2248
NODE_A2690_length_781_cov_12.112216_S9	803
NODE_A2951_length_748_cov_41.186289_S9	5703
NODE_C14_length_713_cov_2.070755_S9	2881
NODE_B261_length_636_cov_3.021467_S9	1825
NODE_C23_length_602_cov_674.215238_S9	651
NODE_B307_length_601_cov_11.301527_S9	4621
NODE_A5116_length_569_cov_7.256098_S9	1101
NODE_B362_length_566_cov_10.361963_S9	6742
NODE_B377_length_558_cov_5.517672_S9	3294
