magnitudes	HG_SW_4
NODE_A1757_length_534_cov_14.929978_S22	2701
NODE_A378_length_798_cov_9.447989_S27	4372
NODE_A1147_length_601_cov_27.276718_S27	696
NODE_A1446_length_568_cov_35.081466_S27	830
NODE_A2477_length_504_cov_15.344262_S27	598
NODE_A4982_length_519_cov_1.463801_S44	2636
NODE_A1381_length_646_cov_17.216169_S4	1208
NODE_A1735_length_597_cov_5.013462_S4	815
NODE_A2171_length_555_cov_103.161088_S4	617
NODE_A19_length_1534_cov_14.082361_S11	2401
NODE_A137_length_589_cov_5.250000_S11	702
NODE_A146_length_565_cov_16.950820_S11	505
NODE_A30_length_2043_cov_4249.867752_S13	10516
NODE_A68_length_3013_cov_29.559264_S14	3347
NODE_B9_length_2604_cov_11.339137_S14	6535
NODE_A352_length_1835_cov_27.763367_S14	1225
NODE_A906_length_1330_cov_206.529130_S14	12621
NODE_A1601_length_1087_cov_181.991089_S14	1864
NODE_A1735_length_1047_cov_18.426804_S14	1277
NODE_A2172_length_956_cov_18.574516_S14	791
NODE_C19_length_921_cov_1.646919_S14	1920
NODE_A3858_length_739_cov_35.663142_S14	1523
NODE_A4188_length_713_cov_42.001572_S14	517
NODE_B173_length_706_cov_8.637520_S14	641
NODE_B270_length_642_cov_2.941593_S14	823
NODE_A10_length_3617_cov_26.400000_S1	32110
NODE_B2_length_2621_cov_699.047956_S1	197289
NODE_B264_length_514_cov_3.569794_S1	581
NODE_A14_length_5037_cov_276.344758_S17	4442
NODE_A15_length_4994_cov_9189.904007_S17	505307
NODE_A43_length_2096_cov_142.252600_S17	2047
NODE_A1422_length_525_cov_2.337054_S17	584
NODE_B187_length_792_cov_124.485315_S19	147980
NODE_A1_length_80211_cov_145.945529_S20	78801
NODE_A257_length_1091_cov_6.318540_S20	1366
NODE_B183_length_871_cov_4.904282_S20	830
NODE_A723_length_526_cov_18.670379_S20	1460
NODE_B548_length_647_cov_4.787719_S21	3075
NODE_B872_length_556_cov_1.691023_S21	725
NODE_A3060_length_523_cov_10.410314_S21	716
NODE_B178_length_798_cov_8.732316_S22	1322
NODE_B348_length_606_cov_10.052930_S22	891
NODE_B539_length_515_cov_6.582192_S22	1237
