magnitudes	HG_SW_4
NODE_B556_length_509_cov_6.122685_S22	880
NODE_A2014_length_508_cov_27.069606_S22	669
NODE_A1036_length_678_cov_3.081531_S24	1423
NODE_A1_length_91689_cov_29.658407_S25	92349
NODE_B5_length_17739_cov_615.067490_S25	26279
NODE_A17_length_15349_cov_1246.287323_S25	64968
NODE_A178_length_1222_cov_13.122271_S25	5628
NODE_A345_length_874_cov_16.779172_S25	1434
NODE_A682_length_624_cov_19.893967_S25	736
NODE_A846_length_561_cov_9.923554_S25	1268
NODE_A566_length_579_cov_2.629482_S26	691
NODE_A575_length_571_cov_9.121457_S26	637
NODE_B245_length_537_cov_1.732609_S26	1045
NODE_A4_length_2806_cov_29365.524368_S27	940768
NODE_B5_length_1769_cov_33.682624_S27	1803
NODE_A64_length_1223_cov_31.004363_S27	1449
NODE_B28_length_962_cov_15.966102_S27	1447
NODE_A227_length_913_cov_22.061005_S27	764
NODE_B95_length_677_cov_2.971667_S27	614
NODE_B107_length_661_cov_5.794521_S27	2057
NODE_A1214_length_594_cov_32.754352_S27	680
NODE_A2041_length_527_cov_14.957778_S27	1080
NODE_A2048_length_527_cov_4.900000_S27	1109
NODE_A217_length_4354_cov_41.827683_S30	5760
NODE_A396_length_3294_cov_37.682002_S30	2716
NODE_B117_length_1627_cov_38.383226_S30	1585
NODE_B324_length_1146_cov_24.715622_S30	2145
NODE_A5787_length_1020_cov_13.089077_S30	698
NODE_A10000_length_759_cov_17.316716_S30	531
NODE_B1851_length_608_cov_3.261770_S30	1079
NODE_A77_length_2098_cov_14.993568_S33	5017
NODE_B225_length_548_cov_0.738854_S33	1883
NODE_A150_length_1248_cov_28.818958_S34	5129
NODE_B64_length_804_cov_1.617607_S34	1183
NODE_B89_length_704_cov_2.194577_S34	1038
NODE_A948_length_620_cov_5.795580_S34	536
NODE_A30_length_1177_cov_9.682727_S3	1566
NODE_A75_length_1575_cov_28.403204_S37	1186
NODE_A255_length_974_cov_6.739130_S37	4464
NODE_A66_length_1674_cov_15.810895_S41	2160
NODE_A73_length_1632_cov_114.691961_S41	2134
NODE_A190_length_1117_cov_121.125962_S41	1421
NODE_A27_length_3481_cov_93.207109_S42	11812
NODE_A60_length_1805_cov_17.223380_S42	1333
NODE_B174_length_554_cov_1.639413_S42	695
NODE_A496_length_529_cov_29.893805_S42	948
NODE_A434_length_695_cov_35.163430_S43	787
NODE_A11_length_4493_cov_30.246150_S44	3298
NODE_B12_length_4427_cov_19.298161_S44	9302
NODE_A305_length_1382_cov_17.423755_S44	1210
NODE_C25_length_858_cov_6.763124_S44	815
NODE_A1959_length_749_cov_5.059524_S44	1261
NODE_B165_length_749_cov_17.587798_S44	1354
NODE_C49_length_634_cov_9.766607_S44	1960
NODE_C70_length_518_cov_6.414966_S44	816
NODE_A5432_length_500_cov_3.406619_S44	1424
NODE_A215_length_1131_cov_32.848197_S4	920
NODE_A302_length_1046_cov_74.848297_S4	787
NODE_B247_length_717_cov_17.517187_S4	652
NODE_B355_length_639_cov_13.638790_S4	728
NODE_A10_length_4954_cov_30.542137_S47	5072
NODE_A11_length_4410_cov_28.484883_S47	6065
NODE_A14_length_4051_cov_55.716910_S47	11083
NODE_A16_length_3945_cov_15.158738_S47	3941
NODE_A17_length_3918_cov_42.201510_S47	4840
NODE_A80_length_1472_cov_32.868817_S47	1135
NODE_A128_length_1281_cov_19.792359_S47	995
NODE_C53_length_683_cov_1.191419_S47	687
NODE_C75_length_530_cov_2.013245_S47	1912
NODE_B264_length_518_cov_7.852608_S47	648
NODE_A2_length_16366_cov_68.635644_S6	29785
NODE_A226_length_4128_cov_107.114293_S7	3220
NODE_B4_length_4026_cov_27.587744_S7	4388
NODE_A340_length_3380_cov_50.720860_S7	2616
NODE_B9_length_3038_cov_16.902736_S7	15369
NODE_A678_length_2233_cov_66.287106_S7	1634
NODE_A736_length_2072_cov_146.553885_S7	30891
NODE_C4_length_1696_cov_15.546634_S7	1916
NODE_B111_length_1410_cov_6.499625_S7	2330
NODE_B125_length_1370_cov_10.313225_S7	1597
NODE_B698_length_768_cov_65.464544_S7	1644
NODE_C26_length_765_cov_9.020349_S7	1960
NODE_A3640_length_608_cov_3.015066_S7	548
NODE_A3683_length_605_cov_8.816288_S7	556
NODE_A4847_length_554_cov_50.587002_S7	750
NODE_A5393_length_537_cov_6.343478_S7	750
NODE_A5415_length_537_cov_2.391304_S7	465
NODE_B1642_length_533_cov_33.129386_S7	614
NODE_B1779_length_509_cov_3.030093_S7	432
NODE_A1_length_30818_cov_47.053284_S9	20294
NODE_A14_length_5071_cov_28.907889_S9	7706
NODE_A15_length_5070_cov_126.267775_S9	16687
NODE_A49_length_3429_cov_19.844272_S9	2602
NODE_A94_length_2913_cov_45.632934_S9	3361
NODE_A96_length_2876_cov_13.640586_S9	3507
NODE_A131_length_2620_cov_52.796697_S9	3741
NODE_A198_length_2282_cov_26.738322_S9	1992
NODE_A413_length_1782_cov_27.666276_S9	1574
NODE_B36_length_1593_cov_8.149077_S9	1333
NODE_A754_length_1372_cov_61.427799_S9	1883
NODE_A1113_length_1152_cov_19.960930_S9	1001
NODE_B82_length_1089_cov_6.810277_S9	866
NODE_A1503_length_1018_cov_8.997875_S9	967
NODE_A2454_length_815_cov_33.537940_S9	683
NODE_A2642_length_787_cov_21.030986_S9	566
NODE_A2757_length_771_cov_25.324207_S9	532
NODE_A2951_length_748_cov_41.186289_S9	1314
NODE_B189_length_716_cov_10.884194_S9	1296
NODE_B261_length_636_cov_3.021467_S9	757
NODE_C23_length_602_cov_674.215238_S9	438350
NODE_B307_length_601_cov_11.301527_S9	874
NODE_B362_length_566_cov_10.361963_S9	1283
NODE_B377_length_558_cov_5.517672_S9	731
NODE_A6268_length_512_cov_244.018391_S9	3288
