magnitudes	NC5
NODE_B8_length_1938_cov_64.946265_S29	7163
NODE_A35_length_1757_cov_569.555952_S29	4853
NODE_C29_length_943_cov_5.483834_S29	2643
NODE_A948_length_558_cov_4.611227_S29	6881
NODE_A1035_length_537_cov_23.656522_S29	375
NODE_C15_length_644_cov_3.347443_NC1	442
NODE_A127_length_1392_cov_73.758175_NC2	2243
NODE_A255_length_1151_cov_44.080074_NC2	1304
NODE_A897_length_819_cov_71.301887_NC2	732
NODE_B501_length_783_cov_10.262040_NC2	785
NODE_A10_length_8776_cov_78.319807_S10	18103
NODE_A1729_length_926_cov_9.670200_S10	612
NODE_A2618_length_816_cov_3.294993_S10	1350
NODE_A3260_length_757_cov_10.332353_S10	1528
NODE_A5054_length_651_cov_4.231707_S10	2376
NODE_A6282_length_603_cov_3.195817_S10	697
NODE_A7155_length_576_cov_6.272545_S10	1124
NODE_A7650_length_562_cov_9.375258_S10	851
NODE_A7695_length_561_cov_7.423554_S10	502
NODE_A8079_length_551_cov_6.829114_S10	953
NODE_A8449_length_542_cov_5.191398_S10	1487
NODE_A8548_length_539_cov_19.829004_S10	1683
NODE_A10316_length_502_cov_9.115294_S10	924
NODE_A10465_length_500_cov_4.356974_S10	807
NODE_A10472_length_500_cov_3.926714_S10	1673
NODE_A9604_length_560_cov_37.973085_S12	2312
NODE_A31_length_2235_cov_26.355885_S15	1395
NODE_A347_length_1167_cov_29.043119_S15	2015
NODE_A479_length_1032_cov_13.176963_S15	868
NODE_A1204_length_753_cov_37.763314_S15	598
NODE_A3471_length_503_cov_24.558685_S15	435
NODE_A55_length_1715_cov_34.945055_S21	5187
NODE_B558_length_645_cov_5.686620_S21	2140
NODE_A1819_length_632_cov_8.837838_S21	677
NODE_A2894_length_534_cov_20.525164_S21	387
NODE_A2989_length_527_cov_20.966667_S21	2900
NODE_A360_length_1046_cov_8.119711_S22	1031
NODE_A370_length_1035_cov_3.281837_S22	798
NODE_A19_length_1676_cov_9.635397_S27	2271
NODE_A704_length_676_cov_8.025042_S27	460
NODE_A985_length_625_cov_9.735401_S27	1816
NODE_A1_length_3567_cov_251.245559_S28	2731
NODE_A7_length_2513_cov_29.188424_S28	2137
NODE_A106_length_1372_cov_214.502703_S28	1637
NODE_A144_length_1282_cov_15.866390_S28	3125
NODE_B95_length_1127_cov_29.814286_S28	2041
NODE_A237_length_1119_cov_114.979846_S28	896
NODE_A377_length_984_cov_50.689085_S28	747
NODE_A529_length_898_cov_46.120585_S28	3953
NODE_B319_length_860_cov_4.669221_S28	910
NODE_B1974_length_517_cov_3.365909_S28	1921
NODE_A2_length_3177_cov_49.302581_S29	2918
NODE_B1_length_3066_cov_8.606557_S29	3266
NODE_A3_length_3008_cov_127.158990_S29	7688
NODE_A4_length_2886_cov_83.870417_S29	2767
NODE_A5_length_2702_cov_60.424762_S29	2965
NODE_A6_length_2611_cov_102.811365_S29	2659
NODE_A7_length_2541_cov_31.731331_S29	1709
NODE_A8_length_2497_cov_89.243388_S29	4844
NODE_A9_length_2431_cov_88.277825_S29	4807
NODE_A11_length_2387_cov_43.726407_S29	2562
NODE_A12_length_2369_cov_207.081588_S29	10831
NODE_A13_length_2342_cov_211.843267_S29	10616
NODE_A14_length_2227_cov_543.653953_S29	14545
NODE_A15_length_2188_cov_121.733302_S29	6429
NODE_A16_length_2146_cov_46.271629_S29	2164
NODE_B5_length_2102_cov_14.790123_S29	3328
NODE_A17_length_2096_cov_26.869737_S29	2029
NODE_A18_length_2077_cov_91.682000_S29	4692
NODE_A19_length_2011_cov_88.593071_S29	3756
NODE_A20_length_2007_cov_156.268912_S29	6700
NODE_A21_length_1980_cov_38.707830_S29	1907
NODE_A22_length_1972_cov_100.911346_S29	4478
NODE_A23_length_1920_cov_199.444384_S29	9160
