magnitudes	PMG_CF_4
NODE_A941_length_1131_cov_11.314991_S10	9154
NODE_A950_length_1129_cov_8.316540_S10	1554
NODE_A5785_length_621_cov_6.704044_S10	602
NODE_B157_length_640_cov_1.310835_S1	2448
NODE_B23_length_3837_cov_11.337766_S16	24562
NODE_A67_length_3149_cov_84.606445_S16	8158
NODE_A68_length_3120_cov_676.889911_S16	28744
NODE_A83_length_2800_cov_57.193904_S16	3726
NODE_A89_length_2677_cov_27.272692_S16	2334
NODE_B8_length_4011_cov_5.051347_S17	14320
NODE_A999_length_616_cov_6.313544_S17	2606
NODE_A3_length_45619_cov_251.714988_S19	2080878
NODE_A24_length_4492_cov_20.686976_S19	20409
NODE_A54_length_2686_cov_150.871215_S19	40321
NODE_B33_length_2586_cov_6.601036_S19	47754
NODE_A139_length_1559_cov_146.941970_S19	6101
NODE_A5_length_18546_cov_100.977313_S20	128183
NODE_B24_length_5416_cov_15.873010_S20	307598
NODE_B27_length_5270_cov_7.320046_S20	27623
NODE_A34_length_4192_cov_346.607047_S20	57047
NODE_A37_length_4120_cov_357.620826_S20	13803
NODE_B34_length_4025_cov_15.176039_S20	46279
NODE_C2_length_3895_cov_4.936092_S20	34029
NODE_B37_length_3872_cov_8.868248_S20	15422
NODE_A42_length_3665_cov_61.397993_S20	8633
NODE_B43_length_3260_cov_23.618599_S20	85075
NODE_A55_length_3151_cov_21.711451_S20	11327
NODE_A68_length_2842_cov_6.064738_S20	2311
NODE_B52_length_2833_cov_8.209361_S20	14667
NODE_B54_length_2709_cov_27.568769_S20	28972
NODE_A95_length_2322_cov_30.954566_S20	9163
NODE_B72_length_2080_cov_16.048427_S20	51388
NODE_B74_length_2031_cov_7.225691_S20	5127
NODE_A121_length_1913_cov_101.602397_S20	6581
NODE_B83_length_1837_cov_6.729545_S20	3052
NODE_B85_length_1792_cov_10.883965_S20	20333
NODE_C17_length_1765_cov_2.888626_S20	4793
NODE_A146_length_1717_cov_34.041463_S20	3829
NODE_A153_length_1680_cov_34.559576_S20	1653
NODE_A212_length_1307_cov_92.869919_S20	7157
NODE_C39_length_1280_cov_4.975894_S20	24669
NODE_A238_length_1166_cov_28.303030_S20	2683
NODE_B148_length_1044_cov_11.117890_S20	7003
NODE_A328_length_917_cov_145.719048_S20	4933
NODE_A399_length_790_cov_13.120617_S20	931
NODE_A427_length_748_cov_17.307004_S20	1153
NODE_C234_length_581_cov_1.386905_S20	7572
NODE_B10_length_7015_cov_26.363361_S22	45372
NODE_A442_length_959_cov_5.556689_S22	11277
NODE_A3_length_21412_cov_74.714554_S23	64325
NODE_A46_length_3884_cov_149.199632_S2	23538
NODE_C8_length_2927_cov_8.227368_S2	51755
