magnitudes	PMG_CF_4
NODE_A87_length_2528_cov_137.552428_S2	5496
NODE_A100_length_2321_cov_283.680927_S2	24936
NODE_C16_length_1684_cov_14.721220_S2	19068
NODE_A172_length_1667_cov_32.291824_S2	2024
NODE_A185_length_1608_cov_45.141737_S2	2691
NODE_B116_length_1248_cov_5.852263_S2	1720
NODE_A304_length_1055_cov_82.377301_S2	1464
NODE_A361_length_913_cov_9.584928_S2	692
NODE_C78_length_785_cov_1.645480_S2	5554
NODE_C86_length_729_cov_2.365031_S2	1948
NODE_B286_length_718_cov_2.939158_S2	1889
NODE_B319_length_643_cov_3.022968_S2	939
NODE_C119_length_604_cov_1.561670_S2	1710
NODE_A593_length_586_cov_9.007859_S2	563
NODE_C129_length_586_cov_1.155206_S2	2445
NODE_B4_length_18996_cov_14.510334_S25	11821
NODE_B5_length_17739_cov_615.067490_S25	31805
NODE_A29_length_8384_cov_45.376430_S25	75276
NODE_A46_length_3453_cov_71.112263_S25	18354
NODE_B84_length_1901_cov_4.039474_S25	15206
NODE_B118_length_1465_cov_171.773775_S25	31581
NODE_C54_length_1094_cov_16.325467_S25	3105
NODE_C86_length_771_cov_7.987032_S25	3458
NODE_B1_length_48305_cov_699.897238_S26	521339
NODE_A2_length_39889_cov_5484.805963_S26	224913
NODE_A7_length_13399_cov_30.329380_S26	332021
NODE_A28_length_5614_cov_28.531876_S26	14348
NODE_A30_length_5070_cov_31.432606_S26	14560
NODE_A34_length_4586_cov_246.226436_S26	17428
NODE_A35_length_4423_cov_31.806719_S26	192288
NODE_C6_length_4416_cov_3.602673_S26	18411
NODE_A60_length_2840_cov_48.030040_S26	169183
NODE_B30_length_2499_cov_2.662675_S26	10947
NODE_B38_length_2160_cov_262.644263_S26	16983
NODE_B39_length_2110_cov_4.878997_S26	97582
NODE_A97_length_2093_cov_6.542659_S26	2279
NODE_A152_length_1629_cov_17.713273_S26	12430
NODE_B67_length_1365_cov_3.705745_S26	10495
NODE_A242_length_1132_cov_76.791469_S26	2514
NODE_A252_length_1095_cov_17.788802_S26	6116
NODE_B100_length_1006_cov_2.438105_S26	2511
NODE_B114_length_914_cov_8.101553_S26	4430
NODE_A322_length_908_cov_9.580024_S26	822
NODE_B115_length_907_cov_2.213253_S26	690
NODE_A486_length_656_cov_12.155440_S26	1435
NODE_A552_length_593_cov_3.726744_S26	724
NODE_A3_length_19677_cov_37.362653_S30	146037
NODE_A26_length_9796_cov_54.297150_S30	126664
NODE_A68_length_6867_cov_56.467010_S30	53192
NODE_B20_length_3532_cov_7.643126_S30	85479
NODE_B25_length_3329_cov_10.238007_S30	29627
NODE_A401_length_3279_cov_91.173954_S30	135211
NODE_A454_length_3108_cov_50.450346_S30	6467
NODE_A511_length_2944_cov_99.553540_S30	112691
NODE_B75_length_1903_cov_5.745345_S30	63374
NODE_B84_length_1809_cov_5.096998_S30	25360
NODE_A1709_length_1786_cov_55.874195_S30	18948
NODE_B104_length_1675_cov_4.186483_S30	6957
NODE_A2758_length_1442_cov_64.180220_S30	6526
NODE_B231_length_1280_cov_2.603491_S30	37699
NODE_A3677_length_1269_cov_36.493289_S30	8758
NODE_A4503_length_1147_cov_18.763551_S30	19763
NODE_B364_length_1097_cov_3.920588_S30	17034
NODE_C68_length_613_cov_1.054104_S30	1039
NODE_B6_length_9249_cov_41.426297_S32	101746
NODE_B12_length_6656_cov_72.437301_S32	45715
NODE_A16_length_6271_cov_557.271876_S32	31267
NODE_A28_length_3788_cov_94.343304_S32	6552
NODE_A29_length_3746_cov_711.250750_S32	46162
NODE_A31_length_3555_cov_1627.451409_S32	50125
NODE_A37_length_3059_cov_333.827968_S32	9228
NODE_A45_length_2717_cov_132.724621_S32	6955
NODE_A50_length_2655_cov_490.545384_S32	16693
NODE_A51_length_2646_cov_1974.265473_S32	84942
NODE_A58_length_2517_cov_27.115164_S32	1654
NODE_B38_length_2317_cov_17.955357_S32	5298
NODE_B41_length_2171_cov_47.012416_S32	9591
NODE_A70_length_2139_cov_65.593598_S32	3341
NODE_B44_length_2134_cov_188.447253_S32	27718
NODE_A79_length_1958_cov_37.022329_S32	1717
NODE_A101_length_1668_cov_39.134507_S32	1674
NODE_A156_length_1303_cov_44.333605_S32	1204
NODE_A187_length_1181_cov_26.991848_S32	757
NODE_C79_length_1170_cov_14.071363_S32	9446
NODE_C80_length_1161_cov_15.488007_S32	13248
NODE_C93_length_1035_cov_9.545929_S32	16657
NODE_A312_length_844_cov_154.932203_S32	2840
NODE_A315_length_842_cov_63.551634_S32	653
NODE_A368_length_761_cov_25.739766_S32	570
NODE_A381_length_748_cov_180.447094_S32	900
NODE_A422_length_683_cov_154.437294_S32	2296
NODE_C168_length_639_cov_2.179715_S32	1131
NODE_A13_length_9134_cov_156.869604_S33	24058
NODE_A30_length_4099_cov_533.389110_S33	4089
NODE_A10_length_4273_cov_21.369161_S3	11713
NODE_A1180_length_554_cov_10.098532_S37	1855
NODE_A266_length_2862_cov_65.347935_S38	71368
NODE_B21_length_2487_cov_130.466805_S38	10308
NODE_B1380_length_696_cov_0.919225_S38	1045
NODE_A15_length_4855_cov_27.221641_S39	30246
NODE_B3_length_12473_cov_8.996773_S40	76297
NODE_A79_length_1933_cov_10.656250_S40	32056
NODE_A498_length_599_cov_2.044061_S40	7679
NODE_B135_length_579_cov_0.852590_S40	7070
NODE_A579_length_548_cov_2.868365_S40	2085
NODE_A41_length_1991_cov_7.110240_S41	2308
NODE_A20_length_4708_cov_13.752969_S42	73421
NODE_A51_length_2110_cov_15.900639_S42	18648
NODE_A174_length_909_cov_64.402644_S42	6076
NODE_A183_length_882_cov_11.175155_S42	576
NODE_B9_length_6821_cov_15.918001_S43	125646
NODE_B11_length_4948_cov_10.112913_S43	30663
NODE_A44_length_3177_cov_14.599032_S43	121954
NODE_A55_length_2779_cov_9.364545_S43	7246
NODE_A86_length_2333_cov_14.579344_S43	26642
NODE_A235_length_1119_cov_18.617083_S43	6060
NODE_A468_length_659_cov_11.993127_S43	1710
NODE_A717_length_509_cov_7.877315_S43	2743
NODE_A10_length_4679_cov_70.244024_S44	84145
NODE_B14_length_4245_cov_7.104367_S44	84606
NODE_A47_length_2406_cov_21.644483_S44	15058
NODE_A18_length_2423_cov_29.320119_S4	36339
NODE_A2_length_29617_cov_204.370379_S45	468272
NODE_B4_length_7232_cov_30.231307_S45	81153
NODE_A10_length_4745_cov_282.483290_S45	21627
NODE_B7_length_3443_cov_18.106061_S45	6862
NODE_B1_length_21906_cov_24.206606_S47	376875
NODE_A145_length_1229_cov_22.995660_S47	27976
NODE_A354_length_881_cov_5.049751_S47	1215
NODE_A469_length_800_cov_11.752420_S47	2334
NODE_A1681_length_547_cov_68.395745_S47	713
NODE_B19_length_5208_cov_19.729098_S49	31296
NODE_A45_length_3830_cov_129.232614_S49	30414
NODE_A58_length_3215_cov_26.620459_S49	7520
NODE_C11_length_2695_cov_3.423224_S49	25117
NODE_A121_length_2008_cov_205.500259_S49	5076
NODE_A128_length_1981_cov_473.805147_S49	53378
NODE_C31_length_1622_cov_1.686731_S49	5788
NODE_B79_length_1546_cov_302.064670_S49	32113
NODE_A287_length_1160_cov_32.410896_S49	2260
NODE_C97_length_967_cov_2.582022_S49	2052
NODE_A384_length_904_cov_90.713422_S49	11071
NODE_A400_length_878_cov_24.987516_S49	2219
NODE_C118_length_844_cov_3.405476_S49	15215
NODE_A422_length_829_cov_49.708777_S49	6665
NODE_A439_length_801_cov_55.969613_S49	1039
NODE_A519_length_703_cov_22.599042_S49	708
NODE_A580_length_638_cov_144.764706_S49	6379
NODE_C188_length_586_cov_1.017682_S49	4955
NODE_B5_length_5275_cov_16.018661_S6	4382
NODE_A18_length_3128_cov_39.531629_S6	10499
NODE_A191_length_1442_cov_15.389744_S6	9498
NODE_B1_length_19281_cov_194.391898_S8	546317
NODE_B4_length_11953_cov_123.444847_S8	77757
NODE_A11_length_10470_cov_198.994034_S8	36853
NODE_B8_length_8311_cov_47.404299_S8	33975
NODE_A15_length_7966_cov_760.431233_S8	38072
NODE_A16_length_7927_cov_80.148662_S8	5079
NODE_C4_length_7184_cov_17.621078_S8	96146
NODE_A19_length_6823_cov_911.523125_S8	56465
NODE_C6_length_6694_cov_17.998640_S8	53475
NODE_A23_length_5886_cov_297.933379_S8	44289
NODE_B15_length_5822_cov_357.496084_S8	78495
NODE_B23_length_4949_cov_72.752463_S8	13446
NODE_C12_length_4731_cov_19.807263_S8	95386
NODE_A32_length_4230_cov_1897.624127_S8	64989
NODE_A34_length_4138_cov_777.526718_S8	95520
NODE_B28_length_4100_cov_419.037037_S8	25873
NODE_B31_length_3912_cov_103.067275_S8	13695
NODE_A36_length_3825_cov_473.363927_S8	7433
NODE_A40_length_3590_cov_3355.681753_S8	117694
NODE_B43_length_2884_cov_59.073032_S8	7574
NODE_C19_length_2794_cov_22.307324_S8	33987
NODE_C22_length_2471_cov_23.953634_S8	80304
NODE_A71_length_2315_cov_3791.689902_S8	79315
NODE_B61_length_2274_cov_10.475193_S8	81363
NODE_A73_length_2226_cov_440.534667_S8	1910
NODE_A75_length_2176_cov_427.048118_S8	1971
NODE_B67_length_2172_cov_80.489737_S8	6313
NODE_C30_length_2006_cov_31.861586_S8	161644
NODE_A84_length_2005_cov_618.715768_S8	19997
NODE_B77_length_1989_cov_89.466527_S8	4152
NODE_C33_length_1962_cov_65.005836_S8	23544
NODE_A92_length_1858_cov_12.286356_S8	2253
NODE_B89_length_1776_cov_124.466157_S8	28446
NODE_B102_length_1569_cov_17.355228_S8	6187
NODE_A122_length_1542_cov_80.156997_S8	3648
NODE_A141_length_1430_cov_43.100517_S8	1187
NODE_A175_length_1256_cov_16.215437_S8	1527
NODE_A214_length_1090_cov_210.854886_S8	9783
NODE_A237_length_993_cov_316.245633_S8	5105
NODE_B172_length_987_cov_9.910989_S8	852
NODE_A253_length_971_cov_38.241611_S8	1077
NODE_B215_length_798_cov_219.090153_S8	36347
NODE_C146_length_713_cov_4.055031_S8	6988
NODE_A391_length_703_cov_58.388179_S8	4019
NODE_A531_length_590_cov_128.808967_S8	1539
NODE_A546_length_581_cov_26.061508_S8	403
NODE_A665_length_525_cov_43.939732_S8	1412
