magnitudes	PMG_CF_5
NODE_A444_length_1404_cov_5.184627_S10	1518
NODE_A941_length_1131_cov_11.314991_S10	23528
NODE_A3816_length_718_cov_405.985959_S10	613
NODE_A5785_length_621_cov_6.704044_S10	1611
NODE_B2_length_2621_cov_699.047956_S1	11677
NODE_B157_length_640_cov_1.310835_S1	772
NODE_A39_length_4751_cov_58.075310_S16	5659
NODE_B23_length_3837_cov_11.337766_S16	3896
NODE_A67_length_3149_cov_84.606445_S16	2753
NODE_A68_length_3120_cov_676.889911_S16	8586
NODE_A83_length_2800_cov_57.193904_S16	2688
NODE_A89_length_2677_cov_27.272692_S16	2389
NODE_B260_length_778_cov_10.081312_S16	3167
NODE_A15_length_4994_cov_9189.904007_S17	15391
NODE_B8_length_4011_cov_5.051347_S17	7874
NODE_A999_length_616_cov_6.313544_S17	2069
NODE_A3_length_45619_cov_251.714988_S19	412935
NODE_B17_length_3454_cov_14.052710_S19	17051
NODE_A54_length_2686_cov_150.871215_S19	3519
NODE_B33_length_2586_cov_6.601036_S19	2211
NODE_A139_length_1559_cov_146.941970_S19	3525
NODE_B187_length_792_cov_124.485315_S19	6770
NODE_A37_length_4120_cov_357.620826_S20	9397
NODE_C2_length_3895_cov_4.936092_S20	17437
NODE_A42_length_3665_cov_61.397993_S20	5921
NODE_B52_length_2833_cov_8.209361_S20	6940
NODE_C17_length_1765_cov_2.888626_S20	1757
NODE_A1100_length_749_cov_2161.334821_S21	490
NODE_B10_length_7015_cov_26.363361_S22	31199
NODE_A3_length_21412_cov_74.714554_S23	307019
NODE_B7_length_4755_cov_3.915348_S23	39780
NODE_A1300_length_622_cov_4.506422_S24	3774
NODE_A2046_length_526_cov_3.681514_S24	8211
NODE_A46_length_3884_cov_149.199632_S2	39559
NODE_C16_length_1684_cov_14.721220_S2	16728
NODE_B286_length_718_cov_2.939158_S2	1689
NODE_B4_length_18996_cov_14.510334_S25	719265
NODE_B5_length_17739_cov_615.067490_S25	2301005
NODE_A17_length_15349_cov_1246.287323_S25	13096
NODE_A46_length_3453_cov_71.112263_S25	13791
NODE_B118_length_1465_cov_171.773775_S25	1276
NODE_C54_length_1094_cov_16.325467_S25	2435
NODE_C86_length_771_cov_7.987032_S25	605
NODE_A503_length_728_cov_707.809524_S25	538
NODE_A542_length_698_cov_6.285024_S25	600
NODE_C141_length_516_cov_1.826879_S25	533
NODE_A34_length_4586_cov_246.226436_S26	5996
NODE_C6_length_4416_cov_3.602673_S26	6572
NODE_C56_length_650_cov_1.513089_S26	1164
NODE_A4_length_2806_cov_29365.524368_S27	42118
NODE_A26_length_9796_cov_54.297150_S30	15230
NODE_B25_length_3329_cov_10.238007_S30	10663
NODE_A454_length_3108_cov_50.450346_S30	4483
NODE_A511_length_2944_cov_99.553540_S30	8592
NODE_B84_length_1809_cov_5.096998_S30	2336
NODE_A2758_length_1442_cov_64.180220_S30	4552
NODE_C68_length_613_cov_1.054104_S30	594
NODE_A29_length_3746_cov_711.250750_S32	3193
NODE_A31_length_3555_cov_1627.451409_S32	47879
NODE_C168_length_639_cov_2.179715_S32	710
NODE_A12_length_9157_cov_60.687996_S33	12609
NODE_A13_length_9134_cov_156.869604_S33	33549
NODE_A15_length_8254_cov_99.276507_S33	15954
NODE_A30_length_4099_cov_533.389110_S33	18662
NODE_B22_length_2847_cov_5.713357_S33	2335
NODE_A49_length_2690_cov_48.928052_S33	3785
NODE_A10_length_4273_cov_21.369161_S3	6926
NODE_A230_length_2952_cov_1214.753043_S38	42570
NODE_A266_length_2862_cov_65.347935_S38	5421
NODE_B21_length_2487_cov_130.466805_S38	34070
NODE_B1180_length_733_cov_11.275915_S38	517
NODE_A15_length_4855_cov_27.221641_S39	34767
NODE_A238_length_824_cov_18.342704_S39	7591
NODE_A79_length_1933_cov_10.656250_S40	1752
NODE_A41_length_1991_cov_7.110240_S41	8520
NODE_A7_length_11476_cov_24.099746_S42	15345
NODE_A20_length_4708_cov_13.752969_S42	3859
NODE_A51_length_2110_cov_15.900639_S42	2259
NODE_A174_length_909_cov_64.402644_S42	3108
NODE_A183_length_882_cov_11.175155_S42	607
NODE_B9_length_6821_cov_15.918001_S43	62745
NODE_B11_length_4948_cov_10.112913_S43	26706
NODE_A10_length_4679_cov_70.244024_S44	9951
NODE_B14_length_4245_cov_7.104367_S44	10238
NODE_A47_length_2406_cov_21.644483_S44	9376
NODE_A18_length_2423_cov_29.320119_S4	3926
NODE_A2_length_29617_cov_204.370379_S45	254771
NODE_B4_length_7232_cov_30.231307_S45	38741
NODE_A10_length_4745_cov_282.483290_S45	71910
NODE_B7_length_3443_cov_18.106061_S45	19012
NODE_B1_length_21906_cov_24.206606_S47	14398
NODE_A121_length_2008_cov_205.500259_S49	1819
NODE_C31_length_1622_cov_1.686731_S49	1943
NODE_B79_length_1546_cov_302.064670_S49	2357
NODE_C97_length_967_cov_2.582022_S49	638
NODE_A2_length_16366_cov_68.635644_S6	2950591
NODE_B4_length_6468_cov_13.764669_S6	50981
NODE_B5_length_5275_cov_16.018661_S6	76024
NODE_A18_length_3128_cov_39.531629_S6	4075
NODE_A7_length_14701_cov_83.827749_S8	9696
NODE_B4_length_11953_cov_123.444847_S8	8166
NODE_B28_length_4100_cov_419.037037_S8	5324
NODE_B31_length_3912_cov_103.067275_S8	3887
NODE_B61_length_2274_cov_10.475193_S8	3378
NODE_A75_length_2176_cov_427.048118_S8	1958
NODE_C33_length_1962_cov_65.005836_S8	12258
NODE_B102_length_1569_cov_17.355228_S8	7383
NODE_C23_length_602_cov_674.215238_S9	18991
