magnitudes	PMG_SW_4
NODE_A1757_length_534_cov_14.929978_S22	8355
NODE_A378_length_798_cov_9.447989_S27	5795
NODE_A604_length_700_cov_31.409310_S27	594
NODE_A934_length_632_cov_9.378378_S27	618
NODE_A1147_length_601_cov_27.276718_S27	1170
NODE_A1446_length_568_cov_35.081466_S27	1337
NODE_A2477_length_504_cov_15.344262_S27	688
NODE_A1867_length_517_cov_22.622727_S34	1961
NODE_A4982_length_519_cov_1.463801_S44	3810
NODE_A5050_length_515_cov_23.543379_S44	6937
NODE_A1381_length_646_cov_17.216169_S4	1682
NODE_A1735_length_597_cov_5.013462_S4	1811
NODE_A2171_length_555_cov_103.161088_S4	13123
NODE_A941_length_1131_cov_11.314991_S10	696
NODE_A19_length_1534_cov_14.082361_S11	7129
NODE_B19_length_625_cov_6.516423_S11	892
NODE_A137_length_589_cov_5.250000_S11	1407
NODE_A146_length_565_cov_16.950820_S11	918
NODE_B34_length_548_cov_1.709130_S11	828
NODE_A68_length_3013_cov_29.559264_S14	9338
NODE_B9_length_2604_cov_11.339137_S14	17518
NODE_A974_length_1299_cov_8.486088_S14	1707
NODE_A1217_length_1206_cov_13.857396_S14	1814
NODE_A1537_length_1103_cov_10.220273_S14	1203
NODE_A1735_length_1047_cov_18.426804_S14	3578
NODE_A3781_length_745_cov_5.261976_S14	922
NODE_A3858_length_739_cov_35.663142_S14	3532
NODE_B173_length_706_cov_8.637520_S14	1527
NODE_B190_length_697_cov_2.395161_S14	954
NODE_A4810_length_668_cov_6.142132_S14	1076
NODE_B270_length_642_cov_2.941593_S14	1489
NODE_B399_length_579_cov_0.990040_S14	494
NODE_A6519_length_577_cov_2.226000_S14	440
NODE_A6891_length_561_cov_4.142562_S14	704
NODE_A10_length_3617_cov_26.400000_S1	82452
NODE_B2_length_2621_cov_699.047956_S1	324603
NODE_A117_length_1384_cov_36.801836_S1	844
NODE_A221_length_1068_cov_54.363269_S1	790
NODE_A244_length_1033_cov_202.735356_S1	2128
NODE_A253_length_1026_cov_175.904110_S1	804
NODE_A288_length_974_cov_227.031215_S1	1550
NODE_B48_length_937_cov_10.217442_S1	715
NODE_C8_length_909_cov_4.775240_S1	1306
NODE_A345_length_903_cov_389.578692_S1	1735
NODE_A352_length_895_cov_388.638142_S1	8425
NODE_A487_length_801_cov_30.190608_S1	521
NODE_A494_length_797_cov_1135.662500_S1	5634
NODE_A561_length_751_cov_209.283383_S1	2761
NODE_A753_length_658_cov_36.900172_S1	774
NODE_A1060_length_573_cov_5.639113_S1	729
NODE_B264_length_514_cov_3.569794_S1	1237
NODE_A14_length_5037_cov_276.344758_S17	11190
NODE_A15_length_4994_cov_9189.904007_S17	269938
NODE_B8_length_4011_cov_5.051347_S17	12680
NODE_A43_length_2096_cov_142.252600_S17	1689
NODE_A1231_length_559_cov_64.029046_S17	717
NODE_A1422_length_525_cov_2.337054_S17	1339
NODE_A1479_length_515_cov_406.739726_S17	361
