magnitudes	MMG_CF_5
NODE_B101_length_1434_cov_3.842299_S38	1239
NODE_A1752_length_1429_cov_29.025888_S38	962
NODE_A1801_length_1414_cov_23.151832_S38	861
NODE_A1851_length_1402_cov_235.964528_S38	3230
NODE_A1891_length_1391_cov_27.770167_S38	897
NODE_A1927_length_1380_cov_65.508826_S38	2201
NODE_A1931_length_1378_cov_40.163720_S38	1253
NODE_B117_length_1368_cov_8.299768_S38	2606
NODE_A2011_length_1355_cov_23.229264_S38	852
NODE_A2052_length_1344_cov_56.044988_S38	1598
NODE_A2064_length_1341_cov_38.966772_S38	1144
NODE_A2075_length_1339_cov_38.434231_S38	1128
NODE_A2148_length_1324_cov_267.662390_S38	4866
NODE_B137_length_1323_cov_2.643660_S38	782
NODE_A2259_length_1296_cov_28.378179_S38	789
NODE_A2300_length_1288_cov_20.967795_S38	1039
NODE_A2372_length_1269_cov_26.127517_S38	752
NODE_A2521_length_1235_cov_26.354059_S38	738
NODE_A2534_length_1231_cov_95.028596_S38	1176
NODE_A2557_length_1227_cov_28.971304_S38	817
NODE_A2587_length_1218_cov_45.863278_S38	1061
NODE_B200_length_1211_cov_7.563492_S38	1736
NODE_A2673_length_1200_cov_29.279608_S38	758
NODE_A2754_length_1186_cov_183.366997_S38	1581
NODE_B222_length_1174_cov_2.123974_S38	702
NODE_B234_length_1160_cov_4.281625_S38	1116
NODE_B236_length_1153_cov_5.853160_S38	1443
NODE_A2944_length_1151_cov_54.195531_S38	1427
NODE_A2966_length_1147_cov_39.173832_S38	850
NODE_B254_length_1135_cov_2.434783_S38	648
NODE_A3066_length_1132_cov_28.018957_S38	693
NODE_B261_length_1129_cov_3.552281_S38	1562
NODE_A3117_length_1125_cov_25.808206_S38	706
NODE_A3162_length_1119_cov_30.442418_S38	752
NODE_B276_length_1115_cov_3.255299_S38	883
NODE_A3253_length_1103_cov_34.207602_S38	761
NODE_A3329_length_1091_cov_28.406312_S38	677
NODE_A3334_length_1090_cov_32.156960_S38	809
NODE_A3404_length_1080_cov_26.466600_S38	780
NODE_A3446_length_1073_cov_27.966867_S38	771
NODE_A3466_length_1070_cov_44.483384_S38	862
NODE_A3473_length_1069_cov_32.172379_S38	777
NODE_A3492_length_1066_cov_27.746208_S38	774
NODE_B335_length_1061_cov_5.841463_S38	1627
NODE_B340_length_1058_cov_3.750255_S38	609
NODE_B343_length_1055_cov_5.868098_S38	698
NODE_B345_length_1053_cov_2.927254_S38	709
NODE_B348_length_1052_cov_2.852308_S38	800
NODE_B350_length_1050_cov_4.393628_S38	1021
NODE_A3614_length_1049_cov_27.540123_S38	646
NODE_B365_length_1040_cov_32.224299_S38	7032
NODE_B382_length_1028_cov_3.859096_S38	826
NODE_B391_length_1022_cov_2.313228_S38	743
NODE_A3856_length_1019_cov_39.711253_S38	898
NODE_B395_length_1019_cov_4.434183_S38	643
NODE_B399_length_1013_cov_4.745726_S38	1428
NODE_A3939_length_1007_cov_29.632258_S38	643
NODE_B405_length_1005_cov_7.650862_S38	1017
NODE_B408_length_1003_cov_2.954644_S38	624
NODE_B415_length_997_cov_5.528261_S38	1775
NODE_A4100_length_987_cov_29.268132_S38	648
NODE_A4216_length_973_cov_28.100446_S38	751
NODE_B478_length_961_cov_2.321267_S38	623
NODE_A4348_length_959_cov_97.895692_S38	2040
NODE_B485_length_958_cov_3.435868_S38	824
NODE_B523_length_943_cov_3.347575_S38	692
NODE_A4519_length_942_cov_27.052023_S38	565
NODE_C37_length_942_cov_1.280925_S38	1874
NODE_A4542_length_940_cov_36.544612_S38	741
NODE_B559_length_923_cov_3.443262_S38	612
NODE_A4764_length_921_cov_23.656398_S38	560
NODE_A4778_length_920_cov_30.741400_S38	598
NODE_B574_length_915_cov_2.560859_S38	545
NODE_A4850_length_914_cov_19.664277_S38	587
NODE_A5000_length_902_cov_18.924848_S38	562
NODE_A5014_length_901_cov_25.842233_S38	563
NODE_B612_length_899_cov_2.360097_S38	570
NODE_B615_length_897_cov_4.873171_S38	1004
NODE_B618_length_896_cov_4.650794_S38	560
NODE_A5102_length_894_cov_33.927785_S38	648
NODE_A5145_length_891_cov_65.147420_S38	1191
NODE_A5300_length_880_cov_31.113325_S38	666
NODE_A5363_length_874_cov_32.851945_S38	627
NODE_B676_length_873_cov_22.697236_S38	3073
NODE_A5402_length_871_cov_26.797229_S38	526
NODE_A5644_length_851_cov_44.688630_S38	773
NODE_B750_length_846_cov_6.749025_S38	939
NODE_B797_length_831_cov_4.283820_S38	561
NODE_A5937_length_829_cov_30.234043_S38	540
NODE_B817_length_827_cov_2.818667_S38	588
NODE_B838_length_820_cov_4.096904_S38	538
NODE_A6180_length_812_cov_42.904762_S38	550
NODE_A6316_length_802_cov_12.546207_S38	703
NODE_A6328_length_801_cov_27.139503_S38	483
NODE_B908_length_797_cov_2.451389_S38	490
NODE_A6510_length_790_cov_33.119215_S38	536
NODE_A6667_length_781_cov_33.355114_S38	534
NODE_B976_length_780_cov_3.879090_S38	841
NODE_A6704_length_779_cov_29.863248_S38	513
NODE_A6747_length_776_cov_24.535050_S38	633
NODE_A6962_length_764_cov_26.275109_S38	597
NODE_A6982_length_763_cov_27.497085_S38	574
NODE_A7067_length_759_cov_50.802053_S38	523
NODE_A7068_length_759_cov_28.473607_S38	466
NODE_A7084_length_758_cov_23.709251_S38	466
NODE_A7099_length_757_cov_40.838235_S38	608
NODE_A7100_length_757_cov_31.823529_S38	469
NODE_B1120_length_745_cov_5.770958_S38	710
NODE_B1121_length_745_cov_5.011976_S38	552
NODE_B1154_length_740_cov_4.107089_S38	700
NODE_B1157_length_740_cov_2.247360_S38	490
NODE_B1180_length_733_cov_11.275915_S38	1300
NODE_B1244_length_719_cov_3.693146_S38	550
NODE_B1266_length_715_cov_3.543887_S38	500
NODE_A7967_length_714_cov_36.379906_S38	574
NODE_B1285_length_711_cov_7.783912_S38	609
NODE_B1317_length_706_cov_1.872814_S38	538
NODE_A8194_length_704_cov_28.523126_S38	447
NODE_B1329_length_704_cov_6.191388_S38	915
NODE_A8270_length_701_cov_36.232372_S38	488
NODE_A8367_length_697_cov_35.801613_S38	514
NODE_B1368_length_697_cov_3.404839_S38	628
NODE_B1382_length_695_cov_2.169903_S38	466
NODE_B1407_length_691_cov_2.905537_S38	548
NODE_B1423_length_689_cov_5.629085_S38	616
NODE_B1430_length_688_cov_1.564648_S38	459
NODE_A8678_length_683_cov_23.004950_S38	525
NODE_A8699_length_682_cov_19.550413_S38	458
NODE_A8700_length_682_cov_17.633058_S38	501
NODE_A8801_length_678_cov_28.467554_S38	499
NODE_A8824_length_677_cov_26.733333_S38	411
NODE_A8896_length_674_cov_31.073702_S38	469
NODE_A8897_length_674_cov_18.964824_S38	1041
NODE_B1489_length_673_cov_3.065436_S38	610
NODE_B1548_length_664_cov_2.548552_S38	508
NODE_C64_length_662_cov_2.911111_S38	3363
NODE_A9236_length_660_cov_46.888508_S38	735
NODE_B1605_length_657_cov_1.789655_S38	411
