magnitudes	HG_SW_5
NODE_A283_length_957_cov_14.897727_S23	612
NODE_A752_length_751_cov_3.537092_S24	3950
NODE_A1036_length_678_cov_3.081531_S24	17827
NODE_A1445_length_599_cov_2.411877_S24	5481
NODE_A17_length_15349_cov_1246.287323_S25	154367
NODE_A178_length_1222_cov_13.122271_S25	78380
NODE_A682_length_624_cov_19.893967_S25	5982
NODE_A842_length_562_cov_5.140206_S25	925
NODE_A846_length_561_cov_9.923554_S25	14638
NODE_A910_length_546_cov_2.953092_S25	514
NODE_A1117_length_501_cov_1.721698_S25	572
NODE_A566_length_579_cov_2.629482_S26	4685
NODE_A575_length_571_cov_9.121457_S26	8313
NODE_A612_length_546_cov_1.963753_S26	3502
NODE_B245_length_537_cov_1.732609_S26	12119
NODE_A4_length_2806_cov_29365.524368_S27	496647
NODE_B5_length_1769_cov_33.682624_S27	21736
NODE_A64_length_1223_cov_31.004363_S27	7741
NODE_A109_length_1078_cov_10.336663_S27	2151
NODE_B28_length_962_cov_15.966102_S27	17254
NODE_A227_length_913_cov_22.061005_S27	5548
NODE_A264_length_868_cov_16.738306_S27	978
NODE_A289_length_853_cov_8.734536_S27	1443
NODE_A370_length_803_cov_11.593664_S27	849
NODE_B53_length_796_cov_6.859527_S27	518
NODE_A548_length_718_cov_6.276131_S27	790
NODE_A578_length_709_cov_14.068038_S27	3465
NODE_A612_length_696_cov_222.373183_S27	3152
NODE_B95_length_677_cov_2.971667_S27	4920
NODE_A723_length_673_cov_4.939597_S27	869
NODE_A738_length_669_cov_9.381757_S27	1097
NODE_C5_length_663_cov_0.585324_S27	1578
NODE_A757_length_662_cov_24.905983_S27	2668
NODE_B107_length_661_cov_5.794521_S27	25402
NODE_B110_length_655_cov_7.634948_S27	3138
NODE_B113_length_653_cov_2.508681_S27	1960
NODE_A839_length_646_cov_19.080844_S27	835
NODE_A872_length_642_cov_9.099115_S27	3296
NODE_A925_length_633_cov_54.372302_S27	1850
NODE_A955_length_629_cov_5.344203_S27	1767
NODE_A973_length_627_cov_6.123636_S27	505
NODE_A1050_length_616_cov_6.680891_S27	1145
NODE_A1214_length_594_cov_32.754352_S27	4364
NODE_A1267_length_588_cov_4.992172_S27	917
NODE_A1279_length_586_cov_16.278978_S27	448
NODE_A1280_length_586_cov_13.929273_S27	2274
NODE_A1287_length_586_cov_5.514735_S27	1619
NODE_A1370_length_575_cov_8.983936_S27	2156
NODE_A1484_length_565_cov_10.495902_S27	2375
NODE_A1533_length_561_cov_7.101240_S27	620
NODE_A1619_length_553_cov_25.079832_S27	1502
NODE_A1636_length_552_cov_9.757895_S27	1533
NODE_A1668_length_550_cov_5.302326_S27	744
NODE_B236_length_549_cov_3.896186_S27	1564
NODE_A1729_length_546_cov_5.042644_S27	1747
NODE_A1795_length_541_cov_12.984914_S27	2746
NODE_A1867_length_536_cov_16.244009_S27	1319
NODE_A1869_length_536_cov_12.849673_S27	552
NODE_A1913_length_534_cov_12.129103_S27	2111
NODE_B259_length_534_cov_12.096280_S27	1777
NODE_A1945_length_532_cov_80.492308_S27	1274
NODE_A2023_length_528_cov_9.494457_S27	384
NODE_A2038_length_527_cov_21.026667_S27	846
NODE_A2040_length_527_cov_20.184444_S27	1960
NODE_A2041_length_527_cov_14.957778_S27	13726
NODE_A2048_length_527_cov_4.900000_S27	6932
NODE_A2060_length_526_cov_11.944321_S27	1005
NODE_A2113_length_523_cov_9.047085_S27	736
NODE_A2231_length_516_cov_7.469248_S27	769
NODE_A2328_length_511_cov_17.347926_S27	1911
NODE_A2332_length_511_cov_6.405530_S27	404
NODE_A2370_length_509_cov_4.458333_S27	520
NODE_A2393_length_507_cov_18.227907_S27	555
NODE_A2455_length_505_cov_9.121495_S27	601
NODE_A2472_length_505_cov_3.086449_S27	484
NODE_A217_length_4354_cov_41.827683_S30	48880
NODE_A396_length_3294_cov_37.682002_S30	20389
NODE_A740_length_2540_cov_30.229801_S30	7870
NODE_A843_length_2403_cov_23.261393_S30	1684
NODE_B117_length_1627_cov_38.383226_S30	20325
NODE_A2223_length_1583_cov_84.332005_S30	1924
NODE_A2230_length_1582_cov_38.398007_S30	3717
NODE_A3055_length_1381_cov_19.690184_S30	3737
NODE_B324_length_1146_cov_24.715622_S30	22725
NODE_A4980_length_1095_cov_3.179764_S30	979
NODE_A5009_length_1091_cov_14.744576_S30	3537
NODE_A5787_length_1020_cov_13.089077_S30	4525
NODE_B455_length_1010_cov_3.448017_S30	745
NODE_A8007_length_859_cov_21.570332_S30	1128
NODE_A8287_length_845_cov_4.364583_S30	639
NODE_A10067_length_756_cov_14.103093_S30	1573
NODE_A10946_length_721_cov_5.829193_S30	1957
NODE_A12412_length_668_cov_24.411168_S30	543
NODE_B1439_length_667_cov_2.803390_S30	1988
NODE_A12809_length_656_cov_5.428325_S30	1185
NODE_B1844_length_609_cov_4.674812_S30	2633
NODE_B1851_length_608_cov_3.261770_S30	8858
NODE_A14633_length_605_cov_11.333333_S30	1356
NODE_A14961_length_598_cov_3.692898_S30	588
NODE_A17034_length_552_cov_31.951579_S30	511
NODE_A17496_length_543_cov_19.789700_S30	939
NODE_C108_length_529_cov_0.703540_S30	1176
NODE_A19107_length_514_cov_6.141876_S30	509
NODE_A19584_length_506_cov_12.095571_S30	723
NODE_B3059_length_502_cov_2.338824_S30	539
NODE_B225_length_548_cov_0.738854_S33	13056
NODE_A150_length_1248_cov_28.818958_S34	52417
NODE_A258_length_968_cov_2.797980_S34	1780
NODE_A297_length_910_cov_3.854742_S34	1300
NODE_A347_length_850_cov_8.554981_S34	1397
NODE_B64_length_804_cov_1.617607_S34	13257
NODE_A497_length_755_cov_2.352507_S34	2331
NODE_A529_length_739_cov_3.564955_S34	861
NODE_B89_length_704_cov_2.194577_S34	7961
NODE_A647_length_693_cov_14.168831_S34	486
NODE_B107_length_635_cov_0.817204_S34	1111
NODE_A932_length_624_cov_5.599634_S34	1038
NODE_A948_length_620_cov_5.795580_S34	4717
NODE_A963_length_618_cov_3.665434_S34	870
NODE_A1474_length_548_cov_3.624204_S34	2054
NODE_A1627_length_536_cov_3.418301_S34	2300
NODE_A1768_length_525_cov_5.167411_S34	722
NODE_A1871_length_517_cov_5.336364_S34	1041
NODE_A2088_length_505_cov_3.189252_S34	603
NODE_B208_length_502_cov_0.663529_S34	497
NODE_A158_length_1177_cov_4.864545_S37	1263
NODE_A255_length_974_cov_6.739130_S37	74366
NODE_A1213_length_548_cov_1.397028_S37	810
NODE_A1252_length_542_cov_2.208602_S37	1861
NODE_B248_length_527_cov_0.757778_S37	5019
NODE_A1372_length_526_cov_2.066815_S37	625
NODE_A693_length_639_cov_2.911032_S41	695
NODE_A1223_length_502_cov_2.755294_S41	1126
NODE_A27_length_3481_cov_93.207109_S42	135206
NODE_A60_length_1805_cov_17.223380_S42	7721
NODE_A75_length_1524_cov_33.284727_S42	3914
NODE_A146_length_1032_cov_20.401047_S42	3983
NODE_B128_length_682_cov_0.834711_S42	1379
NODE_A299_length_669_cov_13.069257_S42	2858
NODE_B174_length_554_cov_1.639413_S42	6422
NODE_A456_length_550_cov_23.118393_S42	655
NODE_B184_length_539_cov_1.329004_S42	459
NODE_A496_length_529_cov_29.893805_S42	14796
NODE_A554_length_504_cov_10.004684_S42	3031
NODE_A225_length_1160_cov_5.741459_S43	5548
NODE_A434_length_695_cov_35.163430_S43	10454
NODE_A476_length_653_cov_0.909722_S43	1432
NODE_A685_length_524_cov_2.297539_S43	1273
NODE_A727_length_505_cov_1.436916_S43	681
NODE_A11_length_4493_cov_30.246150_S44	17230
NODE_B12_length_4427_cov_19.298161_S44	74418
NODE_A13_length_4398_cov_37.690812_S44	21785
NODE_A26_length_3423_cov_34.191273_S44	10531
NODE_A38_length_2762_cov_50.316946_S44	10121
NODE_A174_length_1656_cov_106.255225_S44	1956
NODE_A305_length_1382_cov_17.423755_S44	6711
NODE_B107_length_971_cov_2.695749_S44	1834
NODE_C25_length_858_cov_6.763124_S44	11893
NODE_A1348_length_856_cov_11.942234_S44	3339
NODE_A1451_length_834_cov_6.986790_S44	757
NODE_B158_length_764_cov_0.342067_S44	1078
NODE_A1926_length_753_cov_10.266272_S44	514
NODE_A1959_length_749_cov_5.059524_S44	8686
NODE_B165_length_749_cov_17.587798_S44	13531
NODE_A2285_length_712_cov_89.149606_S44	4521
NODE_B177_length_710_cov_8.804107_S44	3481
NODE_A2536_length_685_cov_4.287829_S44	502
NODE_A2711_length_666_cov_4.920204_S44	650
NODE_A2775_length_660_cov_5.879931_S44	737
NODE_B204_length_660_cov_5.794168_S44	3017
NODE_C49_length_634_cov_9.766607_S44	16950
NODE_A3332_length_613_cov_5.731343_S44	861
NODE_B249_length_609_cov_19.800752_S44	4205
NODE_C55_length_590_cov_1.157895_S44	1961
NODE_A3663_length_589_cov_10.929688_S44	691
NODE_A3847_length_577_cov_5.690000_S44	776
NODE_A3883_length_575_cov_9.598394_S44	1332
NODE_A4042_length_564_cov_9.513347_S44	4549
NODE_A4140_length_558_cov_4.580042_S44	1112
NODE_A4230_length_553_cov_24.039916_S44	1068
NODE_A4926_length_521_cov_4.022523_S44	671
NODE_C70_length_518_cov_6.414966_S44	10263
NODE_A5432_length_500_cov_3.406619_S44	7190
NODE_B414_length_500_cov_0.692671_S44	426
NODE_A29_length_2081_cov_211.562874_S4	10886
NODE_A172_length_1195_cov_19.234347_S4	1422
NODE_A215_length_1131_cov_32.848197_S4	6115
NODE_B63_length_1094_cov_2.602753_S4	1599
NODE_A264_length_1078_cov_42.713287_S4	1414
NODE_A302_length_1046_cov_74.848297_S4	5831
NODE_A691_length_813_cov_14.960598_S4	868
NODE_A802_length_778_cov_18.931526_S4	1444
NODE_A814_length_773_cov_5.816092_S4	1318
NODE_A857_length_758_cov_25.980910_S4	1565
NODE_B247_length_717_cov_17.517187_S4	8213
NODE_A1046_length_710_cov_16.638231_S4	1251
NODE_A1174_length_684_cov_26.230643_S4	1007
NODE_A1206_length_679_cov_18.078073_S4	877
NODE_A1238_length_672_cov_16.216807_S4	1155
NODE_A1244_length_670_cov_25.446880_S4	2333
NODE_A1249_length_670_cov_9.519393_S4	1480
NODE_A1395_length_645_cov_10.383803_S4	1756
NODE_B355_length_639_cov_13.638790_S4	5458
NODE_A1444_length_636_cov_25.744186_S4	749
NODE_A1447_length_636_cov_11.631485_S4	1980
NODE_A1465_length_633_cov_22.532374_S4	1405
NODE_A1509_length_627_cov_10.114545_S4	1513
NODE_A1552_length_620_cov_16.865562_S4	815
NODE_A1644_length_608_cov_14.536723_S4	1082
NODE_A1740_length_596_cov_9.599229_S4	952
