magnitudes	HG_SW_5
NODE_A4148_length_581_cov_2.904762_S7	968
NODE_A4257_length_577_cov_2.646000_S7	3056
NODE_A4266_length_577_cov_1.408000_S7	744
NODE_A4271_length_576_cov_15.941884_S7	1112
NODE_A4292_length_575_cov_4.634538_S7	415
NODE_A4405_length_571_cov_2.690283_S7	771
NODE_A4523_length_566_cov_4.623722_S7	1232
NODE_C52_length_566_cov_0.670757_S7	1024
NODE_A4541_length_565_cov_3.567623_S7	2250
NODE_A4575_length_564_cov_3.018480_S7	1271
NODE_A4649_length_561_cov_2.483471_S7	879
NODE_A4682_length_560_cov_1.389234_S7	685
NODE_A4717_length_558_cov_6.979210_S7	951
NODE_A4730_length_558_cov_2.361746_S7	654
NODE_A4750_length_557_cov_3.208333_S7	1093
NODE_A4758_length_557_cov_2.564583_S7	619
NODE_A4847_length_554_cov_50.587002_S7	6171
NODE_A4940_length_551_cov_2.609705_S7	1362
NODE_A4941_length_551_cov_2.582278_S7	598
NODE_A4992_length_549_cov_4.025424_S7	910
NODE_A5085_length_546_cov_17.880597_S7	718
NODE_A5095_length_546_cov_2.712154_S7	883
NODE_A5136_length_545_cov_1.991453_S7	719
NODE_A5153_length_544_cov_9.286938_S7	1137
NODE_A5312_length_540_cov_2.136069_S7	493
NODE_A5393_length_537_cov_6.343478_S7	6674
NODE_A5427_length_537_cov_1.673913_S7	741
NODE_A5437_length_536_cov_4.032680_S7	676
NODE_A5458_length_536_cov_1.956427_S7	562
NODE_A5490_length_535_cov_2.292576_S7	775
NODE_A5494_length_535_cov_1.890830_S7	1479
NODE_A5536_length_533_cov_2.839912_S7	744
NODE_B1642_length_533_cov_33.129386_S7	6398
NODE_A5566_length_532_cov_3.956044_S7	1795
NODE_A5586_length_532_cov_1.973626_S7	921
NODE_B1658_length_532_cov_0.613187_S7	571
NODE_A5602_length_531_cov_4.330396_S7	536
NODE_A5604_length_531_cov_3.814978_S7	872
NODE_A5642_length_530_cov_2.545254_S7	1158
NODE_A5668_length_529_cov_4.256637_S7	1160
NODE_A5707_length_528_cov_4.995565_S7	834
NODE_A5710_length_528_cov_3.937916_S7	713
NODE_A5744_length_527_cov_4.780000_S7	530
NODE_A5759_length_527_cov_2.506667_S7	1439
NODE_A5767_length_527_cov_2.122222_S7	674
NODE_A5786_length_526_cov_4.178174_S7	629
NODE_A5798_length_526_cov_2.645880_S7	750
NODE_A5838_length_525_cov_3.265625_S7	977
NODE_A5847_length_525_cov_2.357143_S7	1384
NODE_A5882_length_524_cov_4.375839_S7	652
NODE_A5975_length_522_cov_2.631461_S7	1199
NODE_A6017_length_521_cov_3.533784_S7	2175
NODE_A6025_length_521_cov_2.828829_S7	1048
NODE_A6120_length_519_cov_1.988688_S7	667
NODE_A6129_length_519_cov_1.635747_S7	967
NODE_A6157_length_518_cov_2.238095_S7	762
NODE_A6160_length_518_cov_2.183673_S7	853
NODE_A6164_length_518_cov_2.068027_S7	1308
NODE_A6187_length_517_cov_4.170455_S7	597
NODE_C70_length_517_cov_2.540909_S7	1356
NODE_A6255_length_516_cov_2.018223_S7	617
NODE_A6318_length_514_cov_6.118993_S7	2066
NODE_A6323_length_514_cov_4.066362_S7	714
NODE_A6333_length_514_cov_2.899314_S7	915
NODE_A6336_length_514_cov_2.704805_S7	1230
NODE_A6339_length_514_cov_2.462243_S7	543
NODE_A6356_length_514_cov_1.718535_S7	1087
NODE_A6388_length_513_cov_3.263761_S7	1589
NODE_A6432_length_512_cov_3.788506_S7	698
NODE_A6475_length_511_cov_3.937788_S7	530
NODE_A6487_length_511_cov_2.497696_S7	592
NODE_A6575_length_509_cov_3.474537_S7	843
NODE_A6614_length_509_cov_1.284722_S7	1238
NODE_B1779_length_509_cov_3.030093_S7	2559
NODE_A6628_length_508_cov_3.422274_S7	1628
NODE_A6630_length_508_cov_3.069606_S7	601
NODE_A6632_length_508_cov_2.828306_S7	536
NODE_A6651_length_508_cov_2.097448_S7	533
NODE_A6652_length_508_cov_1.986079_S7	1485
NODE_B1793_length_507_cov_3.413953_S7	641
NODE_A6770_length_505_cov_5.415888_S7	685
NODE_A6796_length_505_cov_1.857477_S7	720
NODE_A6802_length_505_cov_1.598131_S7	610
NODE_A6847_length_504_cov_2.177986_S7	981
NODE_A6880_length_503_cov_7.119718_S7	964
NODE_A6895_length_503_cov_3.070423_S7	658
NODE_A6903_length_503_cov_2.387324_S7	919
NODE_A6964_length_502_cov_2.312941_S7	2318
NODE_A7002_length_501_cov_6.792453_S7	740
NODE_A7070_length_500_cov_3.458629_S7	1736
NODE_A7081_length_500_cov_2.657210_S7	1778
NODE_A14_length_5071_cov_28.907889_S9	46068
NODE_A49_length_3429_cov_19.844272_S9	13742
NODE_A96_length_2876_cov_13.640586_S9	20364
NODE_A408_length_1790_cov_19.669586_S9	2916
NODE_A1113_length_1152_cov_19.960930_S9	5994
NODE_A1503_length_1018_cov_8.997875_S9	5802
NODE_A2454_length_815_cov_33.537940_S9	7296
NODE_A2490_length_810_cov_8.710778_S9	1820
NODE_A2642_length_787_cov_21.030986_S9	4701
NODE_A2690_length_781_cov_12.112216_S9	1324
NODE_A2951_length_748_cov_41.186289_S9	14700
NODE_C14_length_713_cov_2.070755_S9	3592
NODE_A3389_length_699_cov_6.162379_S9	636
NODE_B219_length_683_cov_1.816832_S9	439
NODE_B261_length_636_cov_3.021467_S9	4447
NODE_C23_length_602_cov_674.215238_S9	289401
NODE_B307_length_601_cov_11.301527_S9	12806
NODE_A5116_length_569_cov_7.256098_S9	2642
NODE_B359_length_568_cov_2.099796_S9	911
NODE_B362_length_566_cov_10.361963_S9	11524
NODE_B377_length_558_cov_5.517672_S9	9263
NODE_A5524_length_546_cov_0.980810_S9	1161
NODE_B414_length_542_cov_0.453763_S9	529
