magnitudes	AMG_SW_5
NODE_B1_length_11330_cov_127.593442_S12	10812
NODE_A9_length_6549_cov_16595.860476_S12	99422
NODE_A2_length_39889_cov_4160.075153_S13	33051
NODE_A2926_length_841_cov_6.738220_S14	524
NODE_B2_length_2621_cov_699.047956_S1	724739
NODE_A61_length_1835_cov_40.876564_S1	1294
NODE_A128_length_1347_cov_68.749606_S1	1344
NODE_A286_length_975_cov_24.756125_S1	574
NODE_A352_length_895_cov_388.638142_S1	74286
NODE_A582_length_740_cov_37.324284_S1	1004
NODE_A652_length_705_cov_57.654459_S1	1412
NODE_A14_length_5037_cov_276.344758_S17	48572
NODE_A15_length_4994_cov_9189.904007_S17	1048750
NODE_A16_length_4509_cov_33.733078_S17	4691
NODE_A43_length_2096_cov_142.252600_S17	6442
NODE_A76_length_1614_cov_43.929083_S17	1246
NODE_A78_length_1608_cov_64.872632_S17	4178
NODE_A89_length_1543_cov_40.897681_S17	2065
NODE_A192_length_1157_cov_189.795370_S17	8297
NODE_A199_length_1150_cov_991.887232_S17	103164
NODE_A204_length_1134_cov_19.892148_S17	1053
NODE_A231_length_1088_cov_46.070227_S17	2340
NODE_A234_length_1086_cov_49.483647_S17	807
NODE_A253_length_1064_cov_43.312057_S17	1466
NODE_A267_length_1046_cov_19.480908_S17	894
NODE_A302_length_994_cov_15.892039_S17	719
NODE_A365_length_911_cov_42.205036_S17	679
NODE_A372_length_896_cov_35.400488_S17	568
NODE_B86_length_863_cov_68.325700_S17	23215
NODE_A524_length_796_cov_33.492350_S17	643
NODE_B109_length_788_cov_37.596343_S17	8626
NODE_A568_length_771_cov_52.897695_S17	436
NODE_A569_length_771_cov_18.340058_S17	561
NODE_A666_length_723_cov_21.255418_S17	629
NODE_A900_length_643_cov_56.646643_S17	526
NODE_A1087_length_589_cov_31.357422_S17	699
NODE_A1130_length_578_cov_326.333333_S17	3263
NODE_A1131_length_578_cov_32.415170_S17	605
NODE_A1184_length_568_cov_49.150713_S17	1003
NODE_A1191_length_567_cov_180.493878_S17	2378
NODE_A1203_length_564_cov_10.036961_S17	752
NODE_A1231_length_559_cov_64.029046_S17	1224
NODE_A1261_length_553_cov_40.928571_S17	421
NODE_C81_length_549_cov_1.741525_S17	1644
NODE_A1303_length_545_cov_26.008547_S17	569
NODE_A1386_length_530_cov_359.044150_S17	6252
NODE_A1479_length_515_cov_406.739726_S17	98401
NODE_C88_length_503_cov_6.723005_S17	20964
NODE_A1585_length_500_cov_55.432624_S17	3058
NODE_B32_length_2332_cov_202.653215_S18	1402
NODE_B1_length_64575_cov_138.535489_S19	44193
NODE_B187_length_792_cov_124.485315_S19	774439
NODE_A8_length_2894_cov_145.499468_S21	3484
NODE_A324_length_1078_cov_47.036963_S21	921
NODE_A618_length_891_cov_320.457002_S21	1379
NODE_A1810_length_632_cov_36.225225_S21	646
NODE_A2114_length_598_cov_81.798464_S21	1207
NODE_A2279_length_581_cov_80.902778_S21	463
NODE_A3343_length_508_cov_71.450116_S21	688
NODE_A144_length_1336_cov_5.239873_S23	1459
NODE_A1170_length_507_cov_16.065116_S23	61318
NODE_A23_length_3205_cov_47.009591_S24	2867
NODE_A28_length_2784_cov_36.273365_S24	1877
NODE_A94_length_1569_cov_39.120643_S24	1284
NODE_A129_length_1380_cov_47.116654_S24	1393
NODE_A130_length_1379_cov_58.398618_S24	1415
NODE_A138_length_1349_cov_83.693396_S24	2239
NODE_A175_length_1208_cov_96.792219_S24	2349
NODE_A206_length_1148_cov_67.285714_S24	1551
NODE_A229_length_1104_cov_141.014606_S24	3122
NODE_A299_length_1018_cov_40.574920_S24	827
NODE_A320_length_1001_cov_38.922078_S24	832
NODE_A346_length_980_cov_49.918051_S24	922
NODE_A375_length_954_cov_91.954390_S24	1738
NODE_A458_length_889_cov_30.772167_S24	567
NODE_A463_length_883_cov_93.440447_S24	1556
NODE_A478_length_876_cov_54.478098_S24	939
NODE_A493_length_866_cov_352.841572_S24	6124
NODE_A495_length_863_cov_150.343511_S24	2494
NODE_A508_length_858_cov_50.536492_S24	868
NODE_A540_length_839_cov_45.486877_S24	757
NODE_A552_length_832_cov_54.929801_S24	920
NODE_A559_length_830_cov_39.042497_S24	684
NODE_A613_length_808_cov_131.240766_S24	2163
NODE_A634_length_795_cov_2649.444290_S24	43984
NODE_A747_length_752_cov_75.964444_S24	1568
NODE_A750_length_751_cov_43.074184_S24	654
NODE_A761_length_747_cov_137.786567_S24	1953
NODE_A764_length_746_cov_211.426009_S24	3122
NODE_A817_length_731_cov_88.659021_S24	1349
NODE_A828_length_727_cov_706.195385_S24	9907
NODE_A892_length_710_cov_398.102686_S24	5537
NODE_A983_length_691_cov_71.167752_S24	957
NODE_A984_length_691_cov_34.690554_S24	432
NODE_A1046_length_675_cov_279.295987_S24	3553
NODE_A1163_length_647_cov_121.824561_S24	1309
NODE_A1212_length_637_cov_61.076786_S24	741
NODE_A1221_length_635_cov_69.317204_S24	840
NODE_A1226_length_634_cov_78.152603_S24	965
NODE_A1412_length_604_cov_33.223909_S24	401
NODE_A1433_length_599_cov_76.620690_S24	905
NODE_A1472_length_595_cov_70.083012_S24	765
NODE_A1484_length_594_cov_2237.137331_S24	11290
NODE_A1485_length_594_cov_65.864603_S24	746
NODE_A1495_length_592_cov_40.207767_S24	566
NODE_A1547_length_585_cov_1958.177165_S24	35072
NODE_A1603_length_578_cov_190.283433_S24	3320
NODE_A1624_length_575_cov_5482.096386_S24	71763
NODE_A1674_length_568_cov_310.529532_S24	3361
NODE_A1680_length_567_cov_62.273469_S24	660
NODE_A1760_length_557_cov_638.477083_S24	6881
NODE_A1783_length_554_cov_420.840671_S24	4460
NODE_A2137_length_517_cov_55.813636_S24	405
NODE_A2265_length_506_cov_168.687646_S24	1619
NODE_A2266_length_506_cov_53.419580_S24	313
NODE_A17_length_15349_cov_1246.287323_S25	163828
NODE_A549_length_693_cov_12.087662_S25	1190
NODE_A806_length_574_cov_6.354125_S25	570
NODE_A4_length_2806_cov_29365.524368_S27	3274329
NODE_B18_length_1832_cov_8.486040_S37	1813
NODE_A376_length_842_cov_35.700654_S37	61952
NODE_A515_length_759_cov_50.677419_S37	973
NODE_A600_length_722_cov_82.603101_S37	1337
NODE_A763_length_654_cov_53.767764_S37	820
