magnitudes	AMG_SW_5
NODE_C43_length_650_cov_2.312391_S37	45002
NODE_A983_length_593_cov_328.742248_S37	501
NODE_A1022_length_584_cov_79.867850_S37	961
NODE_A1195_length_550_cov_17.602537_S37	352
NODE_A3840_length_1022_cov_20.626455_S38	1723
NODE_A6_length_15806_cov_1153.172738_S40	9424
NODE_A28_length_2369_cov_47.458551_S41	5350
NODE_A73_length_1632_cov_114.691961_S41	5087
NODE_A91_length_1519_cov_35.300971_S41	2450
NODE_A94_length_1496_cov_26.122622_S41	1265
NODE_A130_length_1288_cov_28.314616_S41	963
NODE_A156_length_1204_cov_17.704525_S41	947
NODE_A158_length_1198_cov_34.428189_S41	1129
NODE_A176_length_1162_cov_34.857143_S41	1171
NODE_A177_length_1153_cov_23.789963_S41	870
NODE_A190_length_1117_cov_121.125962_S41	2246
NODE_A197_length_1101_cov_239.723633_S41	8882
NODE_A233_length_1025_cov_492.495781_S41	5311
NODE_A273_length_941_cov_41.432870_S41	933
NODE_A295_length_910_cov_34.290516_S41	770
NODE_A304_length_899_cov_91.795620_S41	1410
NODE_A308_length_898_cov_29.973203_S41	666
NODE_A310_length_895_cov_78.333741_S41	1810
NODE_B59_length_875_cov_6.721805_S41	1852
NODE_A386_length_811_cov_720.818801_S41	13691
NODE_A391_length_805_cov_325.836538_S41	3041
NODE_A404_length_792_cov_1120.946853_S41	21613
NODE_A435_length_762_cov_22.748905_S41	698
NODE_A442_length_758_cov_46.186490_S41	569
NODE_A532_length_706_cov_58.321145_S41	480
NODE_B160_length_616_cov_12.790353_S41	836
NODE_A781_length_607_cov_153.971698_S41	2936
NODE_A841_length_584_cov_30.220907_S41	491
NODE_A888_length_570_cov_44.324544_S41	1155
NODE_A897_length_568_cov_66.431772_S41	1595
NODE_A1028_length_539_cov_98.359307_S41	4197
NODE_A1062_length_531_cov_2005.469163_S41	7581
NODE_A1079_length_528_cov_104.498891_S41	2058
NODE_A1086_length_527_cov_42.400000_S41	432
NODE_A1114_length_522_cov_15.211236_S41	404
NODE_A1119_length_521_cov_32.795045_S41	412
NODE_A29_length_2081_cov_211.562874_S4	1327
NODE_A61_length_1664_cov_5.951481_S47	1590
NODE_A86_length_1454_cov_22.978940_S47	906
NODE_A148_length_1227_cov_13.520000_S47	2512
NODE_A255_length_999_cov_14.802603_S47	915
NODE_A498_length_784_cov_21.398868_S47	1021
NODE_A834_length_667_cov_10.764407_S47	870
NODE_A1223_length_595_cov_6.328185_S47	450
NODE_A2299_length_508_cov_34.603248_S47	2348
NODE_C6_length_4216_cov_23.041073_S5	3452
NODE_A2_length_16366_cov_68.635644_S6	330150
NODE_A256_length_1334_cov_19.710422_S6	1611
NODE_A935_length_818_cov_9.593792_S6	965
NODE_A1087_length_772_cov_34.333813_S6	1485
NODE_A2317_length_571_cov_32.957490_S6	620
NODE_A2876_length_516_cov_29.954442_S6	638
NODE_A198_length_2282_cov_26.738322_S9	2190
NODE_A2909_length_754_cov_3.172821_S9	864
NODE_C23_length_602_cov_674.215238_S9	1308508
NODE_A4885_length_583_cov_6.120553_S9	1366
