magnitudes	AMG_SW_4
NODE_A177_length_1153_cov_23.789963_S41	837
NODE_A190_length_1117_cov_121.125962_S41	2053
NODE_A197_length_1101_cov_239.723633_S41	4006
NODE_A233_length_1025_cov_492.495781_S41	6754
NODE_A273_length_941_cov_41.432870_S41	1948
NODE_A295_length_910_cov_34.290516_S41	746
NODE_A304_length_899_cov_91.795620_S41	3473
NODE_A308_length_898_cov_29.973203_S41	726
NODE_A310_length_895_cov_78.333741_S41	885
NODE_B59_length_875_cov_6.721805_S41	1320
NODE_A386_length_811_cov_720.818801_S41	14706
NODE_A391_length_805_cov_325.836538_S41	4351
NODE_A404_length_792_cov_1120.946853_S41	22183
NODE_A442_length_758_cov_46.186490_S41	1151
NODE_A532_length_706_cov_58.321145_S41	511
NODE_A567_length_688_cov_17.374795_S41	462
NODE_B160_length_616_cov_12.790353_S41	2455
NODE_A781_length_607_cov_153.971698_S41	1602
NODE_C66_length_588_cov_2.234834_S41	1181
NODE_A888_length_570_cov_44.324544_S41	1647
NODE_A897_length_568_cov_66.431772_S41	502
NODE_A1007_length_543_cov_31.403433_S41	342
NODE_A1028_length_539_cov_98.359307_S41	3059
NODE_A1062_length_531_cov_2005.469163_S41	10568
NODE_A1079_length_528_cov_104.498891_S41	892
NODE_A2_length_29617_cov_204.370379_S45	27495
NODE_A61_length_1664_cov_5.951481_S47	3394
NODE_A86_length_1454_cov_22.978940_S47	1125
NODE_A148_length_1227_cov_13.520000_S47	1939
NODE_A255_length_999_cov_14.802603_S47	616
NODE_A498_length_784_cov_21.398868_S47	724
NODE_A834_length_667_cov_10.764407_S47	715
NODE_A2299_length_508_cov_34.603248_S47	1066
NODE_A2_length_16366_cov_68.635644_S6	154224
NODE_A256_length_1334_cov_19.710422_S6	1227
NODE_A935_length_818_cov_9.593792_S6	549
NODE_A1087_length_772_cov_34.333813_S6	845
NODE_A2317_length_571_cov_32.957490_S6	381
NODE_A2876_length_516_cov_29.954442_S6	2126
NODE_A198_length_2282_cov_26.738322_S9	2176
NODE_C23_length_602_cov_674.215238_S9	1220047
NODE_A4885_length_583_cov_6.120553_S9	879
