magnitudes	NC6
NODE_A22_length_1933_cov_33.709591_S28	1407
NODE_A428_length_958_cov_109.339387_S28	1664
NODE_A648_length_838_cov_46.383706_S28	682
NODE_B409_length_799_cov_19.908587_S28	1164
NODE_A1039_length_727_cov_46.621538_S28	523
NODE_A1625_length_636_cov_213.837209_S28	713
NODE_B1077_length_614_cov_6.111732_S28	616
NODE_B1758_length_534_cov_6.536105_S28	582
NODE_A948_length_558_cov_4.611227_S29	1972
NODE_B23_length_1302_cov_12.453878_NC1	809
NODE_B125_length_847_cov_12.697403_NC1	665
NODE_B445_length_594_cov_9.446809_NC1	610
NODE_B523_length_568_cov_6.942974_NC1	781
NODE_A1212_length_520_cov_82.643341_NC1	529
NODE_A1269_length_513_cov_70.938073_NC1	359
NODE_A1287_length_510_cov_79.429561_NC1	712
NODE_A127_length_1392_cov_73.758175_NC2	2382
NODE_A897_length_819_cov_71.301887_NC2	759
NODE_B501_length_783_cov_10.262040_NC2	477
NODE_A1272_length_728_cov_48.967742_NC2	745
NODE_B820_length_683_cov_5.929043_NC2	419
NODE_A1790_length_638_cov_44.039216_NC2	467
NODE_A2185_length_589_cov_56.763672_NC2	439
NODE_B1807_length_514_cov_13.983982_NC2	387
NODE_A912_length_724_cov_1.783617_NC3	772
NODE_A4505_length_501_cov_6.674528_NC3	994
NODE_A10_length_8776_cov_78.319807_S10	53501
NODE_A20_length_6814_cov_75.956360_S10	23858
NODE_A22_length_6568_cov_73.571869_S10	31195
NODE_A41_length_4501_cov_77.345615_S10	14277
NODE_A78_length_3073_cov_37.040387_S10	8886
NODE_A80_length_3051_cov_59.640888_S10	8791
NODE_A88_length_2907_cov_74.165724_S10	11422
NODE_A101_length_2675_cov_89.714396_S10	16538
NODE_A110_length_2555_cov_9.651735_S10	1728
NODE_A240_length_1758_cov_36.638905_S10	2946
NODE_A244_length_1747_cov_87.532934_S10	1861
NODE_A270_length_1680_cov_11.619464_S10	1924
NODE_A292_length_1633_cov_11.825835_S10	1104
NODE_A349_length_1535_cov_7.363512_S10	1290
NODE_A370_length_1498_cov_10.264602_S10	1021
NODE_A380_length_1486_cov_26.051100_S10	2542
NODE_A394_length_1462_cov_15.298917_S10	3695
NODE_A448_length_1402_cov_3.337358_S10	985
NODE_A505_length_1355_cov_25.868545_S10	903
NODE_A579_length_1298_cov_8.552007_S10	1221
NODE_A589_length_1293_cov_9.311678_S10	1116
NODE_A641_length_1260_cov_8.200338_S10	1508
NODE_A643_length_1259_cov_12.782572_S10	1112
NODE_A664_length_1245_cov_54.380137_S10	1742
NODE_A723_length_1218_cov_7.169150_S10	1079
NODE_A732_length_1214_cov_7.896218_S10	922
NODE_A739_length_1211_cov_8.514109_S10	1454
NODE_A809_length_1181_cov_4.987319_S10	981
NODE_A845_length_1167_cov_12.133945_S10	1466
NODE_A964_length_1121_cov_7.435824_S10	741
NODE_A994_length_1113_cov_6.669884_S10	1951
NODE_A1031_length_1098_cov_7.160627_S10	1107
NODE_A1064_length_1087_cov_12.850495_S10	771
NODE_A1145_length_1061_cov_6.653455_S10	928
NODE_A1152_length_1059_cov_9.094705_S10	865
NODE_A1156_length_1058_cov_6.464832_S10	864
NODE_A1157_length_1058_cov_4.422018_S10	976
NODE_A1224_length_1037_cov_9.323958_S10	894
NODE_A1277_length_1022_cov_15.641270_S10	924
NODE_A1293_length_1019_cov_5.869427_S10	820
NODE_A1392_length_996_cov_5.582155_S10	1597
NODE_A1540_length_964_cov_19.941375_S10	732
NODE_A1564_length_959_cov_8.302721_S10	1017
NODE_A1589_length_955_cov_7.415718_S10	828
NODE_A1606_length_951_cov_9.065217_S10	632
NODE_A1647_length_942_cov_8.227746_S10	979
NODE_A1657_length_941_cov_4.834491_S10	729
NODE_A1734_length_925_cov_6.241745_S10	994
NODE_A1820_length_910_cov_10.272509_S10	919
NODE_A1838_length_908_cov_5.470517_S10	649
NODE_A1885_length_901_cov_4.788835_S10	602
NODE_A1907_length_897_cov_27.148780_S10	625
NODE_A1936_length_892_cov_12.365644_S10	631
NODE_A1954_length_890_cov_11.033210_S10	968
NODE_A1964_length_888_cov_8.943280_S10	719
NODE_A1976_length_887_cov_3.896296_S10	693
NODE_A1980_length_886_cov_10.742892_S10	657
NODE_A2006_length_882_cov_9.786335_S10	579
NODE_A2045_length_877_cov_11.902500_S10	625
NODE_A2078_length_873_cov_9.432161_S10	863
NODE_A2097_length_872_cov_2.803774_S10	832
NODE_A2117_length_869_cov_10.035354_S10	805
NODE_A2129_length_868_cov_9.290771_S10	643
NODE_A2136_length_867_cov_4.944304_S10	815
NODE_A2169_length_863_cov_6.704835_S10	1587
NODE_A2196_length_860_cov_5.583653_S10	563
NODE_A2243_length_854_cov_11.639640_S10	739
NODE_A2292_length_849_cov_7.489637_S10	739
NODE_A2301_length_848_cov_8.695201_S10	606
NODE_A2308_length_847_cov_12.546753_S10	562
NODE_A2331_length_845_cov_15.714844_S10	658
NODE_A2335_length_845_cov_6.954427_S10	606
NODE_A2345_length_845_cov_2.412760_S10	971
NODE_A2346_length_844_cov_12.411995_S10	989
NODE_A2377_length_840_cov_5.530799_S10	773
NODE_A2380_length_839_cov_20.492126_S10	720
NODE_A2393_length_838_cov_9.969777_S10	775
NODE_A2409_length_836_cov_6.386034_S10	927
NODE_A2435_length_834_cov_19.309115_S10	833
NODE_A2472_length_829_cov_15.921543_S10	1585
NODE_A2475_length_829_cov_12.207447_S10	1058
NODE_A2487_length_828_cov_6.773635_S10	638
NODE_A2572_length_820_cov_10.925976_S10	655
NODE_A2591_length_819_cov_5.109164_S10	690
NODE_A2646_length_813_cov_8.930707_S10	506
NODE_A2669_length_810_cov_6.712142_S10	525
NODE_A2681_length_809_cov_5.233607_S10	1278
NODE_A2691_length_808_cov_9.478796_S10	605
NODE_A2702_length_807_cov_13.069863_S10	850
NODE_A2709_length_806_cov_8.699588_S10	523
NODE_B284_length_805_cov_1.024725_S10	502
NODE_A2741_length_803_cov_5.403581_S10	930
NODE_A2769_length_800_cov_11.627939_S10	619
NODE_A2858_length_792_cov_14.283916_S10	532
NODE_A2890_length_790_cov_6.335203_S10	1024
NODE_A2929_length_786_cov_4.262341_S10	677
NODE_A2977_length_781_cov_4.693182_S10	505
NODE_A2989_length_780_cov_4.817923_S10	498
NODE_A3050_length_775_cov_6.170487_S10	638
NODE_A3063_length_774_cov_6.758967_S10	727
NODE_A3076_length_773_cov_3.870690_S10	806
NODE_A3080_length_772_cov_10.343885_S10	1554
NODE_A3189_length_764_cov_9.225619_S10	1970
NODE_A3222_length_761_cov_8.007310_S10	575
NODE_A3223_length_761_cov_7.840643_S10	549
NODE_A3253_length_758_cov_12.732746_S10	1831
NODE_A3254_length_758_cov_6.657856_S10	676
NODE_A3260_length_757_cov_10.332353_S10	870
NODE_A3288_length_755_cov_9.032448_S10	670
NODE_A3318_length_752_cov_6.869630_S10	1018
NODE_A3320_length_752_cov_6.419259_S10	653
NODE_A3328_length_751_cov_8.326409_S10	699
NODE_A3348_length_749_cov_17.122024_S10	631
NODE_A3469_length_740_cov_6.315234_S10	652
NODE_A3483_length_739_cov_10.716012_S10	909
NODE_A3525_length_737_cov_3.748485_S10	762
NODE_A3551_length_735_cov_8.153495_S10	566
NODE_A3566_length_734_cov_7.893455_S10	537
NODE_A3575_length_734_cov_4.648402_S10	553
NODE_A3670_length_728_cov_5.689708_S10	611
NODE_A3716_length_725_cov_10.833333_S10	1723
NODE_A3782_length_721_cov_6.652174_S10	525
NODE_A3846_length_716_cov_5.510172_S10	548
NODE_A3852_length_715_cov_10.415361_S10	733
NODE_A3949_length_709_cov_11.284810_S10	1060
NODE_A3995_length_706_cov_12.352941_S10	764
NODE_A4035_length_703_cov_15.447284_S10	1789
NODE_A4039_length_703_cov_7.579872_S10	749
NODE_A4054_length_702_cov_9.800000_S10	441
NODE_A4103_length_699_cov_10.200965_S10	526
NODE_A4122_length_698_cov_10.095008_S10	980
NODE_A4209_length_694_cov_3.539708_S10	504
NODE_A4303_length_689_cov_2.779412_S10	517
NODE_A4312_length_688_cov_5.165303_S10	482
NODE_A4321_length_687_cov_9.598361_S10	645
NODE_A4355_length_685_cov_9.575658_S10	723
NODE_A4447_length_681_cov_3.322848_S10	460
NODE_A4453_length_680_cov_7.008292_S10	1027
NODE_A4529_length_676_cov_5.509182_S10	582
NODE_A4551_length_675_cov_4.173913_S10	701
NODE_A4555_length_674_cov_13.626466_S10	1278
NODE_A4567_length_674_cov_5.623116_S10	593
NODE_A4577_length_673_cov_9.939597_S10	1434
NODE_A4643_length_670_cov_5.617201_S10	685
NODE_A4695_length_667_cov_9.647458_S10	1912
NODE_A4700_length_667_cov_5.379661_S10	623
NODE_A4707_length_666_cov_7.889643_S10	583
NODE_A4708_length_666_cov_7.843803_S10	649
NODE_A4792_length_662_cov_11.022222_S10	607
NODE_A4799_length_662_cov_5.750427_S10	810
NODE_A4802_length_662_cov_4.227350_S10	497
NODE_A4877_length_658_cov_18.232358_S10	1033
NODE_A4911_length_657_cov_6.465517_S10	739
