magnitudes	MMG_CF_6
NODE_A6_length_13151_cov_57.285834_S10	10213
NODE_A9_length_9301_cov_31.853317_S10	7729
NODE_A10_length_8776_cov_78.319807_S10	18052
NODE_A14_length_7768_cov_37.722403_S10	6527
NODE_A15_length_7622_cov_45.655799_S10	9176
NODE_A17_length_7197_cov_39.957163_S10	4929
NODE_A20_length_6814_cov_75.956360_S10	11951
NODE_A22_length_6568_cov_73.571869_S10	12918
NODE_A24_length_6280_cov_53.976141_S10	8728
NODE_A25_length_6253_cov_30.774126_S10	5726
NODE_A26_length_6197_cov_29.412908_S10	4113
NODE_A30_length_5601_cov_43.120565_S10	6202
NODE_A34_length_5010_cov_28.493817_S10	4151
NODE_A41_length_4501_cov_77.345615_S10	5343
NODE_A43_length_4241_cov_35.140250_S10	3181
NODE_A46_length_4121_cov_29.726508_S10	3355
NODE_A57_length_3776_cov_32.290889_S10	2916
NODE_A65_length_3431_cov_33.096303_S10	2948
NODE_A74_length_3145_cov_28.314211_S10	2615
NODE_A78_length_3073_cov_37.040387_S10	3019
NODE_A80_length_3051_cov_59.640888_S10	4358
NODE_A88_length_2907_cov_74.165724_S10	5679
NODE_A95_length_2786_cov_26.415282_S10	2103
NODE_A101_length_2675_cov_89.714396_S10	6337
NODE_B21_length_2480_cov_11.217645_S10	12109
NODE_A174_length_2014_cov_17.645328_S10	1547
NODE_A205_length_1864_cov_22.383884_S10	1211
NODE_A221_length_1821_cov_247.017202_S10	9056
NODE_A240_length_1758_cov_36.638905_S10	1438
NODE_A244_length_1747_cov_87.532934_S10	2326
NODE_A293_length_1630_cov_44.533806_S10	1454
NODE_A443_length_1404_cov_18.323286_S10	1046
NODE_A471_length_1377_cov_79.551538_S10	3199
NODE_A500_length_1358_cov_32.039813_S10	1116
NODE_A596_length_1289_cov_28.172442_S10	947
NODE_A664_length_1245_cov_54.380137_S10	1540
NODE_A665_length_1245_cov_50.908390_S10	1504
NODE_A695_length_1233_cov_161.165225_S10	4532
NODE_A733_length_1213_cov_26.014965_S10	971
NODE_A799_length_1185_cov_41.610108_S10	1442
NODE_B108_length_1172_cov_3.372603_S10	1060
NODE_A940_length_1131_cov_114.710626_S10	2452
NODE_A970_length_1120_cov_34.423778_S10	1023
NODE_A1212_length_1040_cov_50.238837_S10	1659
NODE_A1397_length_994_cov_16.492912_S10	643
NODE_A1429_length_988_cov_36.326015_S10	721
NODE_B175_length_960_cov_5.706682_S10	2214
NODE_A1736_length_924_cov_36.485242_S10	721
NODE_A1849_length_905_cov_37.904589_S10	1411
NODE_A1878_length_901_cov_26.206311_S10	681
NODE_B234_length_860_cov_5.052363_S10	1049
NODE_B262_length_826_cov_4.895861_S10	754
NODE_A2644_length_813_cov_105.160326_S10	817
NODE_A2841_length_793_cov_30.199721_S10	461
NODE_A3241_length_759_cov_32.032258_S10	506
NODE_A3347_length_749_cov_35.465774_S10	835
NODE_A3391_length_746_cov_26.333333_S10	536
NODE_A3482_length_739_cov_113.427492_S10	2758
NODE_A3816_length_718_cov_405.985959_S10	9523
NODE_A4051_length_702_cov_156.425600_S10	1496
NODE_B409_length_694_cov_10.165316_S10	1532
NODE_B449_length_674_cov_5.420436_S10	1529
NODE_B461_length_668_cov_11.197970_S10	2322
NODE_A5167_length_646_cov_63.247803_S10	1173
NODE_A5169_length_646_cov_18.681898_S10	597
NODE_A5247_length_642_cov_31.589381_S10	405
NODE_A5275_length_641_cov_32.264184_S10	437
NODE_A5645_length_626_cov_27.262295_S10	396
NODE_A7147_length_576_cov_34.078156_S10	437
NODE_A7910_length_555_cov_47.217573_S10	577
NODE_A8348_length_544_cov_78.809422_S10	1364
NODE_A43_length_3384_cov_34.708800_S14	4296
NODE_A235_length_2086_cov_18.104530_S14	1543
NODE_A1601_length_1087_cov_181.991089_S14	2732
NODE_C19_length_921_cov_1.646919_S14	830
NODE_A4188_length_713_cov_42.001572_S14	1071
NODE_B1_length_2920_cov_116.735842_S1	3953
NODE_A194_length_1121_cov_5.315134_S1	2545
NODE_A233_length_1310_cov_45.548256_S15	2313
NODE_A1336_length_724_cov_45.210201_S15	1160
NODE_A3515_length_501_cov_18.990566_S15	682
NODE_B1_length_64575_cov_138.535489_S19	6418468
NODE_A55_length_2675_cov_30.923788_S19	2297
NODE_A149_length_1515_cov_12.080668_S19	3778
NODE_B187_length_792_cov_124.485315_S19	1005
NODE_A278_length_1034_cov_545.521421_S20	1869
NODE_A302_length_975_cov_144.404232_S20	1241
NODE_A792_length_827_cov_23.080000_S21	584
NODE_A1216_length_609_cov_8.176692_S22	1593
NODE_A195_length_1567_cov_5.201342_S2	1022
NODE_B5_length_17739_cov_615.067490_S25	41321
NODE_A2_length_39889_cov_5484.805963_S26	302078
NODE_A11_length_10812_cov_26.336563_S26	43959
NODE_A200_length_1288_cov_9.290669_S26	915
NODE_A613_length_545_cov_2.339744_S26	684
NODE_A1_length_3567_cov_251.245559_S28	4602
NODE_A8_length_2442_cov_97.328964_S28	2019
NODE_A24_length_1909_cov_215.038755_S28	2682
NODE_A106_length_1372_cov_214.502703_S28	1041
NODE_B95_length_1127_cov_29.814286_S28	2088
NODE_B127_length_1059_cov_5.488798_S28	756
NODE_A377_length_984_cov_50.689085_S28	941
NODE_A463_length_938_cov_183.290360_S28	687
NODE_A486_length_920_cov_83.921708_S28	1134
NODE_B1434_length_565_cov_8.235656_S28	341
NODE_A3349_length_511_cov_97.440092_S28	516
NODE_A847_length_2401_cov_28.345525_S30	2829
NODE_A1538_length_1863_cov_15.517917_S30	3325
NODE_A49_length_2690_cov_48.928052_S33	12864
NODE_A77_length_2098_cov_14.993568_S33	12099
NODE_A112_length_1661_cov_12.734848_S33	1302
NODE_A623_length_708_cov_5.068146_S33	788
NODE_A944_length_583_cov_3.177866_S33	1438
NODE_A1218_length_522_cov_3.552809_S33	510
NODE_A1233_length_519_cov_9.128959_S33	1996
NODE_A30_length_1177_cov_9.682727_S3	3464
NODE_A5_length_14854_cov_43.255059_S38	11218
NODE_A552_length_2233_cov_65.002319_S38	4829
NODE_A2101_length_1334_cov_12.695306_S38	1829
NODE_A6180_length_812_cov_42.904762_S38	5267
NODE_A7272_length_747_cov_23.510448_S38	1110
NODE_B1180_length_733_cov_11.275915_S38	1419
NODE_A12745_length_559_cov_5.491701_S38	392
NODE_A13280_length_547_cov_41.891489_S38	2715
NODE_A14529_length_520_cov_20.835214_S38	1356
NODE_A6_length_15806_cov_1153.172738_S40	30676
NODE_B3_length_12473_cov_8.996773_S40	46718
NODE_B3_length_36478_cov_9.655889_S43	32184
NODE_A16_length_2469_cov_54.071488_S4	1833
NODE_A319_length_1026_cov_49.595364_S4	1577
NODE_A670_length_825_cov_7.200535_S4	490
NODE_A823_length_770_cov_9.137085_S4	1216
NODE_B690_length_526_cov_4.155902_S4	2288
NODE_A16_length_3945_cov_15.158738_S47	5884
NODE_A18_length_6969_cov_50.529019_S49	10063
NODE_A23_length_5972_cov_23.976590_S49	4540
NODE_A30_length_4602_cov_16.600221_S49	3366
NODE_A41_length_4004_cov_34.929972_S49	14452
NODE_A84_length_2587_cov_11.841434_S49	2080
NODE_A189_length_1583_cov_41.280876_S49	1723
NODE_A195_length_1522_cov_12.541869_S49	1440
NODE_A2_length_16366_cov_68.635644_S6	32895
NODE_A1383_length_707_cov_16.995238_S6	735
NODE_A736_length_2072_cov_146.553885_S7	2956
NODE_C4_length_7184_cov_17.621078_S8	24776
NODE_B67_length_2172_cov_80.489737_S8	3670
NODE_A241_length_983_cov_6.707506_S8	1074
NODE_A466_length_630_cov_4.875226_S8	581
NODE_A505_length_604_cov_7.609108_S8	2256
NODE_A15_length_5070_cov_126.267775_S9	22408
NODE_B82_length_1089_cov_6.810277_S9	1138
NODE_C23_length_602_cov_674.215238_S9	5598
NODE_A6268_length_512_cov_244.018391_S9	707
