magnitudes	HG_CF_5
NODE_A1757_length_534_cov_14.929978_S22	20445
NODE_A378_length_798_cov_9.447989_S27	1920
NODE_A1446_length_568_cov_35.081466_S27	546
NODE_A1867_length_517_cov_22.622727_S34	1487
NODE_A4982_length_519_cov_1.463801_S44	1482
NODE_A5050_length_515_cov_23.543379_S44	4958
NODE_A1381_length_646_cov_17.216169_S4	851
NODE_A1735_length_597_cov_5.013462_S4	892
NODE_A2171_length_555_cov_103.161088_S4	10914
NODE_A32_length_5410_cov_14.643728_S10	3564
NODE_A941_length_1131_cov_11.314991_S10	3854
NODE_A19_length_1534_cov_14.082361_S11	5036
NODE_B19_length_625_cov_6.516423_S11	1471
NODE_A137_length_589_cov_5.250000_S11	591
NODE_A146_length_565_cov_16.950820_S11	971
NODE_B34_length_548_cov_1.709130_S11	626
NODE_B40_length_512_cov_0.406897_S11	986
NODE_A68_length_3013_cov_29.559264_S14	5437
NODE_B9_length_2604_cov_11.339137_S14	17253
NODE_A1217_length_1206_cov_13.857396_S14	1060
NODE_A1735_length_1047_cov_18.426804_S14	2214
NODE_A3858_length_739_cov_35.663142_S14	2229
NODE_B173_length_706_cov_8.637520_S14	909
NODE_B190_length_697_cov_2.395161_S14	1000
NODE_A6519_length_577_cov_2.226000_S14	498
NODE_A10_length_3617_cov_26.400000_S1	71715
NODE_B264_length_514_cov_3.569794_S1	1104
NODE_A93_length_2663_cov_10.028229_S16	2099
NODE_A14_length_5037_cov_276.344758_S17	8646
NODE_A1422_length_525_cov_2.337054_S17	662
NODE_A3_length_45619_cov_251.714988_S19	73205
NODE_B17_length_3454_cov_14.052710_S19	2268
NODE_A257_length_1091_cov_6.318540_S20	3123
NODE_B183_length_871_cov_4.904282_S20	2405
NODE_A440_length_730_cov_6.811639_S20	646
NODE_A640_length_569_cov_4.473577_S20	561
NODE_A723_length_526_cov_18.670379_S20	2186
NODE_A951_length_785_cov_36.752825_S21	2392
NODE_B548_length_647_cov_4.787719_S21	3746
NODE_B756_length_582_cov_1.687129_S21	1400
NODE_B872_length_556_cov_1.691023_S21	1305
NODE_A2639_length_553_cov_23.176471_S21	701
NODE_A2817_length_541_cov_10.627155_S21	1146
NODE_A3060_length_523_cov_10.410314_S21	927
NODE_A3133_length_519_cov_10.898190_S21	427
NODE_A3252_length_513_cov_2.795872_S21	671
NODE_B10_length_7015_cov_26.363361_S22	5832
NODE_B178_length_798_cov_8.732316_S22	1868
NODE_A760_length_744_cov_11.317841_S22	966
NODE_A1034_length_647_cov_22.885965_S22	689
NODE_B348_length_606_cov_10.052930_S22	1476
NODE_A1330_length_588_cov_9.058708_S22	490
NODE_A1359_length_583_cov_4.371542_S22	841
NODE_A1488_length_565_cov_4.266393_S22	576
NODE_B539_length_515_cov_6.582192_S22	1991
NODE_B556_length_509_cov_6.122685_S22	1246
NODE_A2014_length_508_cov_27.069606_S22	1129
NODE_A3_length_21412_cov_74.714554_S23	46141
NODE_B7_length_4755_cov_3.915348_S23	6805
NODE_A752_length_751_cov_3.537092_S24	2218
NODE_A1036_length_678_cov_3.081531_S24	2275
NODE_A1300_length_622_cov_4.506422_S24	428
NODE_A1445_length_599_cov_2.411877_S24	776
NODE_A2046_length_526_cov_3.681514_S24	811
NODE_A46_length_3884_cov_149.199632_S2	6597
NODE_C16_length_1684_cov_14.721220_S2	2690
NODE_B4_length_18996_cov_14.510334_S25	154456
NODE_B5_length_17739_cov_615.067490_S25	1986195
NODE_A178_length_1222_cov_13.122271_S25	7357
NODE_A682_length_624_cov_19.893967_S25	909
NODE_A566_length_579_cov_2.629482_S26	1505
NODE_A575_length_571_cov_9.121457_S26	1270
NODE_A612_length_546_cov_1.963753_S26	555
NODE_B245_length_537_cov_1.732609_S26	1631
NODE_A4_length_2806_cov_29365.524368_S27	1968
NODE_B5_length_1769_cov_33.682624_S27	5118
NODE_A64_length_1223_cov_31.004363_S27	1292
NODE_A109_length_1078_cov_10.336663_S27	1120
NODE_B28_length_962_cov_15.966102_S27	3233
NODE_A227_length_913_cov_22.061005_S27	760
NODE_A612_length_696_cov_222.373183_S27	1345
NODE_B95_length_677_cov_2.971667_S27	746
NODE_C5_length_663_cov_0.585324_S27	756
NODE_B107_length_661_cov_5.794521_S27	3657
NODE_B113_length_653_cov_2.508681_S27	1096
NODE_A872_length_642_cov_9.099115_S27	1045
NODE_A925_length_633_cov_54.372302_S27	519
NODE_A1214_length_594_cov_32.754352_S27	1144
NODE_A1280_length_586_cov_13.929273_S27	582
NODE_A1370_length_575_cov_8.983936_S27	662
NODE_A1619_length_553_cov_25.079832_S27	891
NODE_A1913_length_534_cov_12.129103_S27	627
NODE_B259_length_534_cov_12.096280_S27	560
NODE_A2040_length_527_cov_20.184444_S27	585
NODE_A2041_length_527_cov_14.957778_S27	912
