NODE	Virus	Class	Order 	Family
NODE_B32_length_2332_cov_202.653215_S18	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A18_length_6934_cov_23.801225_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A91_length_2379_cov_20.665508_S20	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A51_length_2858_cov_12.975908_S19	phage	Caudoviricetes	Unclassified	Unclassified
NODE_C11_length_2493_cov_9.776904_S5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A6_length_12681_cov_55.755236_S13	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A44_length_1929_cov_5.147408_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A157_length_1223_cov_4.253927_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A6_length_13151_cov_57.285834_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A240_length_4174_cov_9.094459_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A10_length_6806_cov_10.891960_S23	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A18_length_2942_cov_29.856894_S13	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A11_length_4564_cov_20.177179_S13	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A19_length_6823_cov_911.523125_S8	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A25_length_5840_cov_18.615131_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A120_length_5135_cov_10.005931_S7	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2_length_4908_cov_109.014076_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A40_length_2820_cov_6.492162_S32	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A10_length_4234_cov_5.891749_S41	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B8_length_8311_cov_47.404299_S8	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A10_length_28537_cov_28.863387_S25	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A79_length_1933_cov_10.656250_S40	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A8_length_4685_cov_73.797092_S34	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A123_length_2432_cov_18.871338_S10	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A171_length_4815_cov_22.573449_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A57_length_2757_cov_7.498881_S43	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A49_length_1295_cov_15.566502_S27	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A25_length_5015_cov_14.925881_S33	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A68_length_2930_cov_42.017876_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A57_length_3339_cov_52.217964_S2	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A133_length_1287_cov_3.775207_NC3	phage	Malgrandaviricetes	Petitvirales	Microviridae
NODE_A2646_length_1470_cov_4.904523_S30	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2512_length_1237_cov_5.557759_S38	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A30_length_4602_cov_16.600221_S49	phage	Caudoviricetes	Unclassified	Unclassified
