NODE	Virus	Class	Order 	Family
NODE_C1_length_51383_cov_30.087007_G_SW_1B	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A17_length_17772_cov_62.503589_G_SW_2A	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1_length_61901_cov_134.253009_G_SW_1B	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1_length_91689_cov_27.893933_WG_SW_6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A5_length_45221_cov_336.145512_G_SW_2B	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A6_length_24068_cov_1497.284607_G_CF_2B	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3_length_50881_cov_2074.477994_G_SW_3C	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B5_length_15826_cov_86.764302_WL_CF_5	phage	Caudoviricetes	Rountreeviridae	Unclassified
NODE_A1_length_39926_cov_51.069387_WG6_5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3_length_31489_cov_52.580415_WG6_5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A13_length_10383_cov_26.281292_G_SW_3A	phage	Caudoviricetes	Unclassified	Unclassified
NODE_B7_length_16490_cov_25.721623_G_CF_2B	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A2_length_41430_cov_168.649046_WG_SW_5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A3_length_16273_cov_4992.803840_AMG_CF_4	phage	Caudoviricetes	Rountreeviridae	Unclassified
NODE_A8_length_42813_cov_902.857123_G_SW_2A	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A1_length_17727_cov_3623.682890_HG_CF_5	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A8_length_40594_cov_89.852556_WG_SW_6	phage	Caudoviricetes	Unclassified	Unclassified
NODE_A185_length_1433_cov_4.554572_CF6_6	eukaryotic_virus	Repensiviricetes	Geplafuvirales	Genomoviridae
NODE_A195_length_1379_cov_9.382488_CF6_6	eukaryotic_virus	Repensiviricetes	Geplafuvirales	Genomoviridae
NODE_B7_length_5818_cov_14.194043_Swill6_5	eukaryotic_virus	Revtraviricetes	Ortervirales	Retroviridae
NODE_A178_length_1098_cov_6.290891_CF6_5	eukaryotic_virus	Repensiviricetes	Geplafuvirales	Genomoviridae
NODE_A44_length_1532_cov_16.316838_WL_SW_5	eukaryotic_virus	Arfiviricetes	Cirlivirales	Circoviridae
NODE_B10_length_7424_cov_15461.806043_G_SW_3A	eukaryotic_virus	Chrymotiviricetes	Ghabrivirales	Totiviridae
NODE_A73_length_6002_cov_33.441688_HG_SW_5	phage	Faserviricetes	Tubulavirales	Inoviridae
